"","fabL","sspE","spoVT","yfhP"
"fabL",1,0.926201001257832,0.667641779356207,0.207491021855843
"sspE",0.926201001257832,1,0.663396368133665,0.246157338415272
"spoVT",0.667641779356207,0.663396368133665,1,0.425145190138018
"yfhP",0.207491021855843,0.246157338415272,0.425145190138018,1
