"","acpA","fapR","fabD","fabG","plsX","comA"
"acpA",1,0.47193000962926,0.882023679233193,0.831208033578869,0.787729101960467,-0.184362891588677
"fapR",0.47193000962926,1,0.63404770099638,0.681137938642305,0.817993167887213,-0.259024679590202
"fabD",0.882023679233193,0.63404770099638,1,0.93289811280204,0.920187269370827,-0.304574644339546
"fabG",0.831208033578869,0.681137938642305,0.93289811280204,1,0.898370687680494,-0.268552400420326
"plsX",0.787729101960467,0.817993167887213,0.920187269370827,0.898370687680494,1,-0.260597989132582
"comA",-0.184362891588677,-0.259024679590202,-0.304574644339546,-0.268552400420326,-0.260597989132582,1
