"","phrK","rapK","yjdB","yurI","abrB","phoP"
"phrK",1,0.864432040555578,0.917428483657113,0.849635933843123,-0.564629264562754,0.867620708871819
"rapK",0.864432040555578,1,0.83360094982356,0.786953396955565,-0.445810265851867,0.849756758412421
"yjdB",0.917428483657113,0.83360094982356,1,0.808287130525121,-0.610842440151757,0.874809815398522
"yurI",0.849635933843123,0.786953396955565,0.808287130525121,1,-0.321291816555773,0.724202128988974
"abrB",-0.564629264562754,-0.445810265851867,-0.610842440151757,-0.321291816555773,1,-0.640702430474163
"phoP",0.867620708871819,0.849756758412421,0.874809815398522,0.724202128988974,-0.640702430474163,1
