"","yodF","tnrA","yoyD","yttA","yvgT","ywdI","ywdJ","ywdK","ywlF","ywlG","yycB","yycC","pval","z","inv_cof_var"
"GSM672802",12.93473197,10.43080074,13.28452677,10.92844275,9.782928996,11.68608067,10.35812435,10.66082342,13.38884164,12.38281004,12.14044424,12.46749591,0.244031797536397,0.693391978156397,9.60887907418007
"GSM672803",13.4367223,10.21153717,13.59499257,10.88007955,10.08529814,12.00036022,10.71840037,11.02599331,13.38685874,12.78051896,12.46816375,12.84075093,0.220235847952558,0.771396927177219,9.74539175329425
"GSM672804",12.97208327,10.17617398,12.9836684,11.3084513,10.03135093,12.04739517,10.59065781,10.94041004,13.33719963,12.6938881,12.36678959,12.69711524,0.081935616866075,1.39216898018912,10.8317748243638
"GSM672805",13.0950171,9.906015985,13.40705576,11.65836766,9.942540149,11.63990818,10.56048587,10.43198662,13.35817584,12.84514201,12.5077974,12.61245019,0.231424985305564,0.734162064946234,9.6802288262825
"GSM672806",12.84992788,9.933688848,13.30005502,12.30886543,9.086720446,11.72602565,10.43198662,10.20901524,13.32318773,12.67875353,12.44216766,12.65605019,0.468820812593201,0.0782343666045136,8.53232156488648
"GSM672807",13.00295056,10.6408119,13.41469164,10.71228216,9.758434201,12.22743866,11.09961338,11.35999851,13.64276654,12.76461152,11.6998658,12.26005576,0.180400858522942,0.913838492420455,9.99467183016965
"GSM672808",12.76600149,10.82198364,12.79503234,10.86693086,9.954214126,12.4776539,10.89814201,11.30724907,13.46775725,12.43471264,11.43881301,12.16032193,0.0506777313577611,1.63831757788623,11.262547550372
"GSM672809",12.93810186,10.33973569,13.42184944,10.99896283,9.959482156,11.78463792,10.32005799,11.07624796,13.30973011,12.94290967,11.77964126,12.3683684,0.196023165203517,0.855912228592768,9.8932978844719
"GSM672810",12.88760223,10.47985502,12.34201004,11.34575651,10.11590446,12.34049442,10.42009851,10.78990446,13.48916357,12.63599665,11.71235911,11.95485762,0.0602024872224393,1.5530760191547,11.1133704314792
"GSM672811",12.53408699,10.65360335,13.10802045,10.8178684,9.812004461,11.48629777,10.40780558,11.06789331,13.43237621,12.52685316,11.94133643,12.55561822,0.159549305281826,0.99631192687838,10.1390045889872
"GSM672812",12.97456059,10.29585874,13.4345881,10.95881636,9.781756506,11.74700781,10.45853197,10.87889517,13.30005502,12.73350074,12.04992751,12.35709721,0.22294024395785,0.762300814464553,9.72947308747218
"GSM672813",13.14322714,10.08286914,13.63642639,10.79227621,9.670372119,11.64227658,10.56574944,10.74380595,13.36243383,12.88760223,12.07172602,12.62237993,0.367969103476279,0.337237053510237,8.98558960917216
"GSM672814",13.10414349,10.3697052,13.29824572,11.22958513,10.21271413,11.86852528,10.61782416,11.03527658,13.6744539,13.28644796,12.47473234,12.58011896,0.164251776664981,0.977132513113072,10.1054396268943
"GSM672815",12.97032825,10.10964312,13.37626729,11.5059539,9.668441264,11.57879851,10.55808699,10.48109219,13.20315836,12.69864721,12.25424572,12.70778104,0.251275861517661,0.670480201973753,9.56878228558885
"GSM672817",12.26996654,10.59003234,12.87134275,12.37427993,9.2902829,11.56434796,10.46197286,10.16996877,13.10414349,12.39445725,12.40504387,12.9632026,0.311627924145577,0.491241219758799,9.25510483343986
