"","ureA","ureB","ureC","codY","glnR","pucR","tnrA"
"ureA",1,0.996455532303188,0.986489850784792,0.108092528632403,-0.0246022679550646,0.725224379308307,0.527961445160319
"ureB",0.996455532303188,1,0.991427377937472,0.0745290500710313,-0.0676210795718213,0.725620736765206,0.520623779642237
"ureC",0.986489850784792,0.991427377937472,1,0.125479412370317,-0.10019664405086,0.72928040743455,0.478178990603252
"codY",0.108092528632403,0.0745290500710313,0.125479412370317,1,0.264729866934116,0.017524556763214,-0.23154838316931
"glnR",-0.0246022679550646,-0.0676210795718213,-0.10019664405086,0.264729866934116,1,0.207068494421892,0.36598122900676
"pucR",0.725224379308307,0.725620736765206,0.72928040743455,0.017524556763214,0.207068494421892,1,0.790929355466369
"tnrA",0.527961445160319,0.520623779642237,0.478178990603252,-0.23154838316931,0.36598122900676,0.790929355466369,1
