"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB"
"fpbQ",0.395280040513869,0.277841561916992,0.353754822643267,0.64929892852625,0.479780010139301,0.759872585861981,0.802472943060389,0.808274146499846,0.358805125034147,0.784936163532617,0.743240598813007,0.674378787511042,0.686343236798325,0.671313533314929,0.698444713239969,0.699732902219428,0.69307917496939,0.924069528183289,0.9423100569487,0.968574047956783,1,0.27366401541124,0.299885973161627,0.339696907349199,0.351282102893065,0.237208594885471,0.337505831325311,0.618684442058766,0.163170021091366,-0.0757904815965263,-0.068095087207424,0.547783335507696,0.821956669143784,0.441451316950974,0.656567911111974,0.814877676262053,-0.47084979586669,-0.551270095311755,0.708952109664861,-0.134423943566948,0.569742200618569,0.623524743053592,0.5198045610254,-0.387278935266796,0.513439413268389,0.524560278976728,0.726271209936043
"hemA",0.437605012103636,0.54817936967455,0.50718250473214,0.20566787995016,0.162985261483261,0.507432461168548,0.333125886123345,0.27768086018042,0.457426218713868,0.0786478560628043,0.122973486435028,0.202125630808407,0.258172050453739,0.308345409066463,0.309790077595943,0.269404335693671,0.329705617459514,0.367112932494607,0.337715897969394,0.331674868483823,0.27366401541124,1,0.723767014521995,0.766768310123898,0.725220777436772,0.738919560826677,0.826664430113824,0.154197824233733,0.446896384637634,0.467059777884582,0.362381685933357,0.239575185145903,0.236289361059926,-0.0248909953201772,0.0114857897905256,0.193679622413398,0.033733763281466,-0.292437192712382,0.174716760532131,0.202643343069487,0.276823307797524,0.314654099990691,0.0632786345064545,0.245657126412511,0.236043192285473,0.193295971355635,0.25862953419681
"hemB",0.494716478971328,0.615793680495129,0.602503541278976,-0.00623737167566854,0.407507620725051,0.423991836029207,0.309774348211355,0.271019821269539,0.13625946397346,0.056979184453819,0.263456990466243,0.319653171521491,0.389201086553839,0.199897271424085,0.167875892877729,0.10179426538267,0.21191888523331,0.363215610644691,0.35573734785815,0.370557673891574,0.299885973161627,0.723767014521995,1,0.931275697637444,0.972733469236387,0.962041729928808,0.878331046291287,0.0735786810857821,0.581181286136917,0.511740354536722,0.0058274090224636,-0.0114964377942659,0.302401993899929,-0.242825873946188,-0.199177362138925,0.256923502443577,-0.140806292787403,-0.586203305856361,0.00937246240301934,0.0200447320409758,0.246564169175367,0.283885479068991,-0.0571404251847083,0.131169527593012,0.206843156369048,0.191635994683296,0.115748141342167
"hemC",0.47394197072623,0.648402723424806,0.525599734722779,0.0701999905705389,0.428497309638224,0.47121018368384,0.353790836193973,0.3108083028065,0.206222089224955,0.0409806575901616,0.242705412007914,0.339689650617712,0.380278379235422,0.332807194616288,0.255771648026255,0.168276401154548,0.335910221625207,0.469733663020514,0.461665361940857,0.445455846773352,0.339696907349199,0.766768310123898,0.931275697637444,1,0.956822915625621,0.900927518812854,0.951692552188375,0.136727133735471,0.558041952774366,0.523246138932036,0.104029737415099,0.0974855883728895,0.290410276670237,-0.237593334046556,-0.153702928868482,0.24561947277837,-0.181636162767322,-0.659225207728021,0.0640783910610928,0.0666431914777907,0.297933281588551,0.369299852750047,-0.0438282560506423,0.0770402605311964,0.259071761167883,0.214501280473179,0.1752107570566
"hemD",0.516953530846326,0.598963975200184,0.591993075897124,0.0445499072145741,0.446581239958175,0.480402420906693,0.373306465500759,0.350578720000989,0.155864066780609,0.107196076761006,0.310512888407038,0.385720322848357,0.429641442006613,0.275082859360779,0.21997067343931,0.157599063486908,0.281284431309512,0.437327807119323,0.434235499958979,0.437119811265812,0.351282102893065,0.725220777436772,0.972733469236387,0.956822915625621,1,0.933847219623576,0.907045346864423,0.113487059160191,0.599255733522454,0.501986957392407,-0.0150130391199165,0.0393321795451052,0.331604573313388,-0.235917955165388,-0.141574991222356,0.292642397696668,-0.211502396200544,-0.631378838966221,0.0756978786062504,-0.0135122119504273,0.293233639896879,0.322292610375261,-0.028576733000644,0.0777760651811557,0.239002104608111,0.205778881042334,0.167826656661957
"hemL",0.460441543920882,0.621333046572869,0.585588349123836,-0.0166653924338024,0.331351489073029,0.433500390594014,0.293372203169949,0.245176594093672,0.170569944266837,0.00332239770618591,0.187583928951281,0.255026152581212,0.329416851709405,0.184091208327193,0.151856917226225,0.110435314415396,0.194102277060202,0.315101138949752,0.299066402590952,0.307558610150619,0.237208594885471,0.738919560826677,0.962041729928808,0.900927518812854,0.933847219623576,1,0.848614960486586,0.0806180444536462,0.561601569922381,0.522966372766906,0.0833277297330486,0.00490248983924711,0.294016265634681,-0.212346957526114,-0.218493007059546,0.243074252605035,-0.0919342856096724,-0.508186626893238,-0.0277421930444335,0.100053402131162,0.244020439710056,0.236090002482915,-0.0259650092065952,0.207430587023996,0.207623856382668,0.183878565984676,0.124629688834218
"hemX",0.451829213714785,0.603451954874087,0.497874720849403,0.129204866009463,0.384621911737901,0.493554340916623,0.367846479749714,0.323604107373874,0.282252749861078,0.0519713041832109,0.249557802809306,0.277905484252343,0.29775244281971,0.368542696364534,0.287509264374052,0.212861822073039,0.371555262597352,0.482471195340861,0.47296557010092,0.440077249501349,0.337505831325311,0.826664430113824,0.878331046291287,0.951692552188375,0.907045346864423,0.848614960486586,1,0.151484936384525,0.530549979529957,0.535889603735685,0.140356038300238,0.136987124516895,0.293052053000052,-0.185379115093699,-0.08571211168293,0.25397317182288,-0.184234340880169,-0.575032674024746,0.122326488083625,0.0852332289287505,0.29910648599529,0.417458610555545,0.0329565120479805,0.0667459889687959,0.265087425757563,0.208107022642079,0.209769424609738
"hmoA",0.490091844614199,0.328407158138546,0.477110279580821,0.83635079959157,0.36245925897734,0.57229133751875,0.621800896238262,0.598562407065548,0.652845664368583,0.629366270242214,0.446139876799579,0.546773692576359,0.529780616677726,0.750589070001749,0.748075274987954,0.789508982868149,0.737043506054216,0.628487455776512,0.619661127535364,0.608377322355181,0.618684442058766,0.154197824233733,0.0735786810857821,0.136727133735471,0.113487059160191,0.0806180444536462,0.151484936384525,1,0.314643007076888,0.0846333500089352,0.350388916244623,0.84846572740396,0.634578332193832,0.767778328550911,0.5787282139874,0.658141580442388,-0.0668770825102416,-0.116215491675248,0.749979037244756,0.109389734689627,0.674423360016358,0.60226555186797,0.779181487404496,-0.107359563758674,0.763353008954219,0.781994906869047,0.838574946041756
"katA",0.677353602102959,0.652496884039284,0.759717564746644,0.197443684911141,0.516159178981527,0.285974227146846,0.317380482483621,0.297147213514958,0.14261348019836,0.0420457488046301,0.0921983610343174,0.38178420292455,0.357877523263832,0.285658118318319,0.232841777682274,0.239917890289378,0.282715230654102,0.270739187252997,0.240242279664106,0.218951412740781,0.163170021091366,0.446896384637634,0.581181286136917,0.558041952774366,0.599255733522454,0.561601569922381,0.530549979529957,0.314643007076888,1,0.695105700336382,0.22871136554388,0.226601537582896,0.163631473445511,0.00750253780121147,-0.128976776189674,0.155908548248359,0.0542608933103967,-0.199310794940864,0.1770574018379,0.094310500838545,0.204375100648416,0.296346590630487,0.121946054515949,0.192508153440987,0.36303072422916,0.339918524330598,0.234692236603055
"mrgA",0.249777355392939,0.531617856840263,0.351692124831324,-0.0224482071803762,0.161749616873219,0.0853911274748894,0.0431208229285316,-0.0475461093303867,0.156662383106712,-0.333179354327921,-0.220449059871376,-0.0131874582926286,-0.0208913087137755,0.132730366846464,0.076451945083132,0.0801018106108481,0.117517386205166,0.0473249836305722,0.0169909525025962,-0.00422472063777794,-0.0757904815965263,0.467059777884582,0.511740354536722,0.523246138932036,0.501986957392407,0.522966372766906,0.535889603735685,0.0846333500089352,0.695105700336382,1,0.282152614367857,0.0511390484040229,-0.0720294476500949,-0.194589248126267,-0.307980076504367,-0.12451403757076,0.055726673958535,-0.148368144454496,-0.0645666596649515,0.201683611207802,0.00312306256366038,0.294453157099952,-0.0162615013042723,0.226283525510469,0.123488305264067,0.0963529721783798,0.0281897766526849
"spx",0.119496676487413,0.278451894859466,0.173556025941501,0.362283697762585,-0.178637287390434,0.217812741769151,0.101297253201568,-0.0413860175757126,0.564194288739129,-0.110863382336711,-0.252049109859912,0.0346263475528654,0.024252674331222,0.332981953414552,0.353590567318631,0.338408838846127,0.349438103730153,0.0386403751595259,-0.00847973821674919,-0.0438836717916265,-0.068095087207424,0.362381685933357,0.0058274090224636,0.104029737415099,-0.0150130391199165,0.0833277297330486,0.140356038300238,0.350388916244623,0.22871136554388,0.282152614367857,1,0.485794949076732,-0.100761585889238,0.288753651757496,0.0201277738836456,-0.15195463008831,0.55020475523085,0.179951184984455,0.189135573664268,0.760543738422359,0.141637731845845,0.256185102666896,0.167929454152896,0.454403128305015,0.429593232622548,0.398420555023177,0.283507795624944
"ycgT",0.35465347168671,0.268782002779001,0.342680492632682,0.947854652190744,0.155157363503261,0.632051044949158,0.655425582784017,0.604819041176843,0.832018746462743,0.601801801477037,0.450605933353621,0.498037918579752,0.465647477143637,0.888921155365457,0.902613922349694,0.908456922140336,0.888095651225819,0.617543686854502,0.577920567006949,0.564544091940842,0.547783335507696,0.239575185145903,-0.0114964377942659,0.0974855883728895,0.0393321795451052,0.00490248983924711,0.136987124516895,0.84846572740396,0.226601537582896,0.0511390484040229,0.485794949076732,1,0.601984683026353,0.772613784248741,0.663834275387071,0.611286262966649,0.0799167268286944,-0.0381297399556344,0.847672982649845,0.22789643856169,0.786016925219688,0.695793686705895,0.791328424855107,0.00656049772248222,0.839294783152237,0.821761402097835,0.89540953513753
"yfhA",0.413979122694975,0.352266534134478,0.431671440296529,0.643810947349414,0.463221014702136,0.747548966333904,0.766269435198095,0.819431491949565,0.432419002574812,0.76989924666111,0.813746813604555,0.651507508111171,0.692244704368174,0.705309692293252,0.729239064645317,0.710235121156483,0.709736684697433,0.802104340820075,0.790093746140391,0.81295017055975,0.821956669143784,0.236289361059926,0.302401993899929,0.290410276670237,0.331604573313388,0.294016265634681,0.293052053000052,0.634578332193832,0.163631473445511,-0.0720294476500949,-0.100761585889238,0.601984683026353,1,0.53414187892197,0.669836727162868,0.975336929820528,-0.307722714054712,-0.416898847792877,0.731843746984557,-0.186382355875658,0.74325970317963,0.58681217092718,0.651093020138709,-0.226160938733142,0.624425295314756,0.645215026460597,0.774063486012871
"yfhC",0.236486889959444,0.0245830249522395,0.212143729829138,0.761714862467318,0.110241637103581,0.445641724262212,0.496215100626115,0.457753680193254,0.586733620615454,0.655646648777426,0.409314907647025,0.272865873689233,0.305232289147451,0.615311232275556,0.679643041512328,0.718850746813128,0.608865015329659,0.354765622713191,0.346428375366591,0.374115840813263,0.441451316950974,-0.0248909953201772,-0.242825873946188,-0.237593334046556,-0.235917955165388,-0.212346957526114,-0.185379115093699,0.767778328550911,0.00750253780121147,-0.194589248126267,0.288753651757496,0.772613784248741,0.53414187892197,1,0.769673175285474,0.570646743600592,0.0313184944032806,0.201362759711108,0.749794746552202,-0.00635598795388442,0.584766727942631,0.371814755560678,0.751341243603312,-0.191563952456591,0.574105970139211,0.638064003160966,0.72354588117173
