"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA"
"nupQ",0.714768008720404,-0.151047465786368,0.225281028869233,0.417176333346587,-0.402962691278463,-0.137740300901613,-0.144517937146568,-0.0667220804283836,0.709053752341112,0.68843633556982,0.683280696414593,0.658738503607243,0.653517369563927,0.142162471380448,0.129399113079138,0.356910601279592,0.357951611495189,0.838120660791016,0.960200764851834,0.982470151125508,1,-0.126273257876418,0.316193407906448,0.299067377261197,0.349891009028952,0.662719278338609,0.666017549616867,0.678455857440857,0.725033409983334,0.0814246565707897,0.202616467753341,0.203642310531685,-0.063621919918439
"trmFO",-0.25749985521694,0.590311508653962,-0.642423741784968,0.0871768160875815,4.63131566976798e-05,0.38401467771151,0.344931854467248,0.413527620014829,-0.230492551536205,-0.191553371051848,-0.175706998390707,-0.124050600250125,-0.149546240309599,-0.172774008024733,-0.372091652979281,0.0834646351675284,0.386608456464461,-0.0288330012937746,-0.0885724065662113,-0.122990076750917,-0.126273257876418,1,0.430069366409138,0.129853180757592,-0.478252222002734,0.0153668875759268,0.000810603536016898,-0.0297641102810046,-0.11366487439661,-0.347736201244025,-0.0918062957702621,0.559974462412357,-0.248836142497826
"ybfJ",0.388630563859197,0.352585638547045,-0.451998850430992,0.342636926037485,-0.625675686084247,-0.0388790623954469,0.0380505012990388,-0.106495870991154,0.505947111642931,0.595272549892954,0.62444154566789,0.676976997432749,0.662602335647058,-0.3545650637759,-0.656596377044704,0.782629606020866,0.986523071630799,0.61898404013362,0.340764419892876,0.273918957492935,0.316193407906448,0.430069366409138,1,0.576299226528789,-0.43982126886245,0.736647941238359,0.731906561570443,0.714898611892691,0.637517736597868,-0.562670280224138,0.102386551700999,0.814495568133162,-0.667963584380701
"ybgE",0.702740879864268,-0.0484878542423536,-0.34697357629078,0.800144693523663,-0.169272546571157,-0.297019609225884,-0.33434602806628,-0.336518585422713,0.572518289230597,0.558089733084166,0.552568060556873,0.582703981759252,0.592416602068325,-0.127560047142273,-0.37012495076373,0.640471956829643,0.607143197456418,0.555473415130775,0.337903453861221,0.289641800416003,0.299067377261197,0.129853180757592,0.576299226528789,1,0.0120482873787215,0.591835718842763,0.606619172190759,0.59515375896488,0.549135279343938,-0.32888305232457,0.0918384949811296,0.654008372907227,-0.416550447229445
"ycgA",0.47285657433188,-0.233853484523098,0.509585419707043,0.297019617099199,0.244226346570116,0.0915210669729381,-0.0120176298201965,0.0909096179216924,0.279005100345365,0.146512330043415,0.102603620263397,0.0434540936512916,0.0640775025434741,0.701329595294263,0.761686230607077,-0.273776635671557,-0.418917061194197,0.0158156479138406,0.307382669529136,0.380407814011859,0.349891009028952,-0.478252222002734,-0.43982126886245,0.0120482873787215,1,0.0331600063919097,0.0429354556182106,0.0656045042760957,0.17296748048063,0.7538117029732,0.328849781275358,-0.222600651218482,0.740849156079981
"ykfA",0.754060008543992,0.0999593800942504,-0.0928291547483983,0.446853270213423,-0.693079729564607,-0.159585873304314,-0.0814829249940049,-0.197462223665979,0.910298995035323,0.950086400764142,0.959264481243533,0.974330167092243,0.969293040554522,0.00368096778602384,-0.31118317507192,0.769212988018382,0.776252942690656,0.865719431289037,0.714620771595441,0.65840753717751,0.662719278338609,0.0153668875759268,0.736647941238359,0.591835718842763,0.0331600063919097,1,0.99686229431457,0.994242184108722,0.976647335125785,-0.231675420354089,0.331677433437292,0.665149469233569,-0.364137317826333
"ykfB",0.772405814670833,0.086982571192907,-0.0953954490743611,0.456794249084224,-0.681336046449105,-0.173174214958676,-0.095290319451875,-0.21606234231265,0.909957798448036,0.949272210049347,0.959458890469519,0.97575597629559,0.972353733818806,-0.00888633092440437,-0.314191472029343,0.780623202245273,0.772637143346967,0.869367538969273,0.717036617807903,0.662446583712006,0.666017549616867,0.000810603536016898,0.731906561570443,0.606619172190759,0.0429354556182106,0.99686229431457,1,0.995852034994165,0.979628020559434,-0.245166315431885,0.323954197600968,0.659112241038296,-0.371219155328044
"ykfC",0.776260686397057,0.0761470793767869,-0.0709367688318293,0.462271147381221,-0.688024561067337,-0.192576773694859,-0.106833235191728,-0.229069621033945,0.919358183417884,0.958204007551736,0.967995399974268,0.981036210059589,0.979240859939691,0.0113168878598132,-0.293212338617561,0.767125457895041,0.755661098493608,0.871232666470356,0.723051124071305,0.67241238810272,0.678455857440857,-0.0297641102810046,0.714898611892691,0.59515375896488,0.0656045042760957,0.994242184108722,0.995852034994165,1,0.985459059041211,-0.225565937543248,0.34344040453901,0.639686652628634,-0.358748508860654
"ykfD",0.813533008720755,0.0503701409726877,0.0136005998103073,0.451075713852029,-0.663381534976175,-0.191138452503979,-0.104940723209542,-0.219618357233475,0.938335299058084,0.966082076553279,0.972488677431332,0.975114910209104,0.975477055587784,0.0737989977780526,-0.201517776943632,0.719548064299174,0.679980177828189,0.858653014280745,0.751999527461386,0.718520846089045,0.725033409983334,-0.11366487439661,0.637517736597868,0.549135279343938,0.17296748048063,0.976647335125785,0.979628020559434,0.985459059041211,1,-0.13976905924226,0.391873908253024,0.569064124170546,-0.280578640165013
"ylmA",0.0261365330750055,-0.207197407891927,0.661271219078167,-0.0836744282601096,0.286404296259592,0.268436480698046,0.13803386420615,0.313802388631849,0.0303750814763026,-0.11011169027737,-0.168597372139394,-0.240023971827758,-0.229444848361063,0.799878867600369,0.868561299815419,-0.577337323732665,-0.562335943285674,-0.251275697269484,0.0951626401692602,0.130761831791855,0.0814246565707897,-0.347736201244025,-0.562670280224138,-0.32888305232457,0.7538117029732,-0.231675420354089,-0.245166315431885,-0.225565937543248,-0.13976905924226,1,0.274153315079585,-0.347200618435384,0.865826994062905
"ypmP",0.281244603907288,0.114833817766598,0.178620266637367,0.0813551233118699,-0.35512910454817,-0.00477627885634954,0.062666550396123,-0.0362628762984809,0.417538264589824,0.387489847965736,0.366592880258061,0.34000206904391,0.344442084670646,0.559823113800797,0.269550252654206,0.191463935041745,0.114359782330117,0.157911759411461,0.205111218889067,0.220895932299356,0.202616467753341,-0.0918062957702621,0.102386551700999,0.0918384949811296,0.328849781275358,0.331677433437292,0.323954197600968,0.34344040453901,0.391873908253024,0.274153315079585,1,0.269717811740699,0.183583469986894
"yuiC",0.414354455094838,0.444719921497446,-0.512281170338478,0.500620525418776,-0.41634209658691,0.103262256043678,0.10776637694332,0.0440600988977211,0.488902751044884,0.52359926948236,0.529399158002532,0.572623528304683,0.55905192403749,-0.0410753660277114,-0.435118285851213,0.608774712387132,0.803807776460882,0.4663741399107,0.25927643974527,0.19668438579712,0.203642310531685,0.559974462412357,0.814495568133162,0.654008372907227,-0.222600651218482,0.665149469233569,0.659112241038296,0.639686652628634,0.569064124170546,-0.347200618435384,0.269717811740699,1,-0.399864017842791
"ywaA",-0.0933254425966525,-0.104068573640753,0.519673720415551,-0.107054206788523,0.390926127956982,0.325228259672972,0.21594669803915,0.337625986118509,-0.176977487826962,-0.300014836072612,-0.340100477661568,-0.392871755318384,-0.386260085637971,0.766321334174672,0.871845996460242,-0.633641217298617,-0.674998426092986,-0.418547097741307,-0.0749182198100148,-0.0205991516940986,-0.063621919918439,-0.248836142497826,-0.667963584380701,-0.416550447229445,0.740849156079981,-0.364137317826333,-0.371219155328044,-0.358748508860654,-0.280578640165013,0.865826994062905,0.183583469986894,-0.399864017842791,1
