"","ydjM","ydjN","phoP","walR"
"ydjM",1,0.967511932178921,-0.704621234502981,0.292298391789999
"ydjN",0.967511932178921,1,-0.788901116538614,0.414564436564537
"phoP",-0.704621234502981,-0.788901116538614,1,-0.741249732294436
"walR",0.292298391789999,0.414564436564537,-0.741249732294436,1
