"","birA","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","spx"
"ylbQ",0.228736473640494,0.259581142294786,0.236060247972741,0.235974894066424,0.485590179318033,0.271419610190011,0.188818500879937,0.236463454099023,0.176306346432481,0.188826155451276,-0.0350383042037263,0.20543005560616,0.228914320572516,0.128814019062569,-0.00396963439821306,0.0125433430930612,0.0968196242241673,0.0965349353340775,-0.0870457440156964,-0.0239421590607984,1,0.307360430709573,0.346617417769476,0.217661552729921,0.101365621579364,0.11393982683543,0.0280233918340988,-0.112028821289158,0.0223085322687899,0.422413848571192,0.000509627866846431,-0.246059137807946
"yojF",0.842163709157891,0.766349135626594,0.798336302162003,0.976301982772233,0.806719798383966,0.776830750446198,0.892507061143215,0.842618461095742,0.823287625418368,0.0359087269856396,0.102433794218442,0.575413046295964,0.743287575701358,0.89599992397828,0.767310851284331,0.692856354858921,0.657367186697086,0.876018608524348,0.802252807153973,0.713966461512796,0.307360430709573,1,0.973882815301861,0.851579262315496,0.887249949123908,0.894482563870729,0.877355895173391,0.290805929729713,0.869969057985499,0.733774335880808,-0.411456119842655,-0.249067123442433
"yoyC",0.82431769792409,0.742892842185819,0.773493606122003,0.939636850048597,0.804775333482023,0.760314526735707,0.872472787492316,0.810063483343043,0.784148449309657,0.0677689578559506,0.114397392221303,0.58818089150912,0.737892488534551,0.868098755614455,0.730381423412042,0.635221105986279,0.613065219106782,0.864760045682797,0.784779844156493,0.688525848010386,0.346617417769476,0.973882815301861,1,0.829888698884208,0.850096455531389,0.847794566739945,0.841489700857487,0.271952149107632,0.830664079782215,0.726360121482963,-0.397020947084245,-0.241930971553707
"ypjD",0.853886667297569,0.857749823174802,0.900353857681522,0.815829022230596,0.741175442215797,0.815579578770235,0.824823803892381,0.969981187430111,0.934415586260604,-0.0684516542720473,0.0445526347686244,0.741997179718171,0.539271721673506,0.819623757400989,0.884576196559515,0.58557484740995,0.597619507823838,0.773463390780919,0.661863720679659,0.569077010555953,0.217661552729921,0.851579262315496,0.829888698884208,1,0.923146481687596,0.922018500081994,0.888852552619145,0.255827312121787,0.828103467330397,0.591519514520642,-0.444341836123348,-0.331393166106099
"ytpP",0.789724389109548,0.735823856692448,0.793499375531096,0.859349096101215,0.639315155538317,0.720340742628103,0.829875425665573,0.881500942323641,0.864955539731727,-0.0844872856166594,0.0159215939341123,0.610490245739533,0.591603676814377,0.843589399466702,0.924564279389391,0.747236676742891,0.752422604958194,0.833554017159254,0.786025746711809,0.600182751182852,0.101365621579364,0.887249949123908,0.850096455531389,0.923146481687596,1,0.967923781755143,0.939963487991239,0.291748697028238,0.837290345357473,0.538671720575552,-0.579732084248172,-0.281632088593516
"ytpQ",0.835785756497766,0.779556100483723,0.840730297088559,0.876154832642127,0.68392035755318,0.772085450093574,0.844384478431652,0.908573630306704,0.895427053189732,-0.0785001836215011,0.0495990293320937,0.643237204677931,0.596294562817653,0.870142833833251,0.922164673463084,0.74122927120532,0.728801119172548,0.823876720092161,0.768450073004382,0.626029595913343,0.11393982683543,0.894482563870729,0.847794566739945,0.922018500081994,0.967923781755143,1,0.954491568418311,0.316371930873333,0.883886215385012,0.579334357663166,-0.540547459378768,-0.28155680532605
"ytpR",0.852502090862991,0.789261341481352,0.833589373705004,0.877258860368971,0.69090408023292,0.781711579374736,0.861796421131837,0.870952405417629,0.883904453148924,-0.131310091873627,0.0300590889387378,0.639181237669391,0.649828442691678,0.896672834388255,0.876620707916909,0.703682574190517,0.661574999949087,0.84810023418044,0.805716994610234,0.680227863651948,0.0280233918340988,0.877355895173391,0.841489700857487,0.888852552619145,0.939963487991239,0.954491568418311,1,0.306226042607428,0.921811115724683,0.591450811772474,-0.494408327578913,-0.259720493496698
"ytvA",0.310999786953558,0.314849869480364,0.330261062675128,0.375514108671128,0.33948747748925,0.321020867399552,0.365728142264509,0.284396553573325,0.300140164371423,0.341115244946469,0.571637085728272,0.270500775922901,0.468603410456388,0.360239180205294,0.1800206585702,0.384282723529851,0.252457959877931,0.25155243346025,0.318701542974892,0.578138293808525,-0.112028821289158,0.290805929729713,0.271952149107632,0.255827312121787,0.291748697028238,0.316371930873333,0.306226042607428,1,0.409785495133149,0.444809290258353,0.169310769182189,0.363366116005188
"ytxK",0.84998290865798,0.791733433121786,0.820117779210577,0.885097044946152,0.723605480909738,0.790053694455355,0.898953459968064,0.831019549595518,0.840354123046185,-0.0345430663499275,0.13791542499134,0.633544515399825,0.714801648268037,0.908914848701855,0.780852414409473,0.640160107103401,0.566977207309129,0.877354861493661,0.8385166523534,0.773257681945284,0.0223085322687899,0.869969057985499,0.830664079782215,0.828103467330397,0.837290345357473,0.883886215385012,0.921811115724683,0.409785495133149,1,0.661371396046244,-0.320449643460478,-0.139233318799693
"yugJ",0.767450799401189,0.765390298003647,0.74535223299486,0.747546072255338,0.838206745740253,0.781511415619886,0.753317629225812,0.668842058951579,0.688492875420645,0.124471849385032,0.18252143218572,0.525017250963776,0.783185253078978,0.740713904419966,0.357409366397409,0.368958083380228,0.291823275635795,0.57186139841373,0.452985504850499,0.59521555948729,0.422413848571192,0.733774335880808,0.726360121482963,0.591519514520642,0.538671720575552,0.579334357663166,0.591450811772474,0.444809290258353,0.661371396046244,1,0.00732554597533316,0.0108011110310979
"yugT",-0.218275337693199,-0.12139172672792,-0.19860762224045,-0.327960799228194,0.0383375822946082,-0.115533135666048,-0.292795318800239,-0.367749799375798,-0.324011889734136,0.211952693645489,0.217771399750427,-0.315470112256513,-0.0287509065950543,-0.33816501460734,-0.689420261006671,-0.515310047490559,-0.664093364114787,-0.405736785739589,-0.387912223544744,0.0465521148992137,0.000509627866846431,-0.411456119842655,-0.397020947084245,-0.444341836123348,-0.579732084248172,-0.540547459378768,-0.494408327578913,0.169310769182189,-0.320449643460478,0.00732554597533316,1,0.228549543366612
"spx",-0.370223050208851,-0.309813165203455,-0.31063111059029,-0.226421162373042,-0.243230467354677,-0.341977580499959,-0.247896957851766,-0.347184718297915,-0.304717664557479,0.471333348500736,0.412580487164251,0.0326874050322017,-0.0707998246450224,-0.297039375452425,-0.294808350964263,0.0745713406523842,0.0163189846278512,-0.141522723678038,-0.0219462160799636,0.0243350679211203,-0.246059137807946,-0.249067123442433,-0.241930971553707,-0.331393166106099,-0.281632088593516,-0.28155680532605,-0.259720493496698,0.363366116005188,-0.139233318799693,0.0108011110310979,0.228549543366612,1
