"","cheA","swrA","codY","degU","spo0A","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","pval","z","inv_cof_var"
"GSM672683",12.988971,12.85165985,13.61633086,13.27671636,12.04866431,12.95315316,12.42432045,12.70008885,12.83733197,13.89516245,13.23309777,12.86164312,13.66987732,13.55989331,12.55874387,12.78678773,12.78208439,12.77562007,13.38058216,13.42601599,13.39986357,13.5084171,13.02275428,14.08764126,13.73822305,14.00300297,13.56426171,13.56203011,12.60967212,12.6836,13.38058216,13.57313309,13.14873532,14.01974312,13.4450803,0.113960235048331,1.20573296495786,28.086772602317
"GSM672684",12.82942007,12.92828178,13.60378104,13.35045167,12.03546171,12.83733197,12.32371208,12.72569926,12.74603086,13.91054387,12.9397052,12.80924201,13.40495093,13.48706506,12.42567472,12.60530818,12.71816097,12.5077974,13.34303457,13.37430892,13.21222714,13.37626729,12.9736632,14.16922491,13.54336506,13.88738959,13.62670483,13.46569219,12.40504387,12.54327509,13.34864684,13.49568401,13.12992751,13.91315353,13.4345881,0.175281765020236,0.933496784220561,26.2086312532329
"GSM672685",12.39295911,12.67568848,13.7522145,13.19072825,12.18972751,12.40940483,11.7644632,12.12742509,12.22038662,13.59952639,13.10802045,12.61541041,13.1376223,12.99596394,11.93608848,12.05292342,12.21173457,11.95485762,13.24435279,12.97704498,12.56328699,13.22730074,12.31169033,13.92297026,13.09848885,13.62101933,13.00380112,12.82326543,11.85426952,11.97375353,12.83102602,12.89221561,12.5327658,13.6081974,13.09337732,0.395731386732919,0.264411600695592,21.5926520478445
"GSM672686",12.69864721,12.63741822,13.80104535,13.1633513,12.17309703,12.82172268,12.23644888,12.50924944,12.51217212,13.84591078,12.90368476,12.79503234,13.69168178,13.41359628,12.51518699,12.53408699,12.6836,12.56771524,13.34864684,13.30005502,13.11539071,13.51702342,12.85165985,14.18383309,13.63389182,14.05076654,13.52142082,13.39199796,12.34942305,12.39153123,13.39879777,13.49133829,13.17423792,13.96540669,13.35045167,0.272488771342454,0.605303219427521,23.9444432130109
"GSM672687",12.82326543,12.64667732,13.62670483,13.35250967,12.05938885,12.81725688,12.32301375,12.76600149,12.73028625,13.79981822,12.89381004,12.9632026,13.61280632,13.38472454,12.58011896,12.77562007,12.82483383,12.68047472,13.33719963,13.35631375,13.43237621,13.53679182,13.10592714,14.09313569,13.71904721,13.97367398,13.66292007,13.41130855,12.52395651,12.58745911,13.46987881,13.44308773,13.15065688,13.79981822,13.37430892,0.116124552568045,1.19458527510868,28.0098653477565
"GSM672688",12.60364461,12.69864721,13.91054387,13.28852007,12.08145093,12.66280353,12.0542368,12.36217918,12.48055799,13.6246145,12.88276766,12.80614647,13.6722223,13.29238922,12.31592825,12.55941877,12.63741822,12.48666022,13.15597175,13.2692461,13.08133792,13.41359628,12.89724424,13.94112825,13.42815502,13.93093309,13.45721859,13.15417807,12.41017472,12.43023309,13.1633513,13.20139963,12.90971413,13.66292007,13.14143123,0.185538600823168,0.89445742089097,25.9393009889284
"GSM672692",12.33601004,13.08627212,13.30973011,13.56203011,13.33519294,12.19250186,11.83742714,12.2163461,12.35069814,13.52997026,13.31737249,13.15688309,13.50399368,13.30585762,11.77836766,11.95349405,12.17875688,12.04866431,13.26346171,13.25872286,13.09337732,13.35250967,12.82796729,13.76078401,13.44091413,13.70143383,13.23987621,13.10414349,11.93357212,11.96693457,13.24969777,13.22549963,12.76934647,13.62222788,12.90971413,0.474111680806146,0.0649380040109573,20.2164954731772
"GSM672693",12.31169033,12.83902974,13.47196803,13.56651933,13.24083643,12.05551227,11.96963309,12.22466394,12.26005576,13.42601599,13.22730074,12.93473197,13.33519294,13.14322714,11.59762937,11.81046245,12.08414498,11.93752491,13.45721859,13.09676506,12.71507175,13.18693197,12.60967212,13.64514461,13.23891599,13.6722223,13.14049257,12.92673643,11.99907435,12.03818364,13.02354647,13.20315836,12.69099182,13.65160669,12.73350074,0.447147731269682,0.132870923652452,20.6851606777696
"GSM672694",12.44358959,13.28071041,13.38884164,13.41359628,13.24788216,12.40504387,11.9083223,12.31870483,12.52395651,13.59952639,13.38472454,13.04265836,13.52354052,13.46152045,11.85939182,11.99124944,12.2829855,12.00980706,13.59271896,13.39496283,13.25970781,13.39298996,12.84514201,14.09866691,13.4345881,14.05076654,13.29824572,13.3702461,12.24467361,12.27727844,13.23109554,13.41777658,12.82026617,13.80104535,12.90368476,0.495383505923638,0.0115720928525426,19.8483272006621
"GSM672704",12.94134015,13.19629331,13.0917539,13.09337732,12.50036468,12.85840781,12.58602528,12.79829665,12.84992788,13.7109197,13.20139963,13.21045353,13.6744539,13.46775725,12.55260149,12.69237249,12.74146729,12.75551227,13.27106394,13.43348216,13.30585762,13.48706506,13.0950171,14.05645093,13.6246145,14.05076654,13.5084171,13.32130186,12.58170112,12.59922416,13.40275985,13.51256134,13.14873532,13.86665948,13.34507323,0.0651773056344574,1.51270499092942,30.2045544982716
"GSM672705",13.04901599,13.17780409,12.97208327,13.10802045,12.46005688,13.00544758,12.55413048,12.80614647,12.89065985,13.80827249,13.40705576,13.20505651,13.80343717,13.64514461,12.58894312,12.80753569,12.84824535,12.86164312,13.40495093,13.38685874,13.23707546,13.52764833,13.05679517,14.04813494,13.63154052,14.10748848,13.55356059,13.35631375,12.81230186,12.83584424,13.44308773,13.67681933,13.22549963,13.89382955,13.32938104,0.0472751113731961,1.67186866615437,31.3026153030572
"GSM672706",12.97120576,13.21222714,13.29444201,13.14143123,12.51217212,12.91305019,12.47327881,12.74146729,12.83102602,13.60618996,13.23499331,12.79829665,13.59952639,13.36438513,12.36678959,12.52685316,12.73666097,12.48819219,13.40705576,13.19966617,12.95488401,13.23109554,12.64033755,14.00300297,13.49977695,14.07067323,13.25572045,13.46367286,12.48971413,12.60212045,13.27671636,13.42601599,13.54336506,13.61400651,13.16499442,0.102671678072531,1.26647421251595,28.5058228855116
"GSM672710",12.83102602,13.93093309,12.72426729,12.98202045,12.56328699,12.89544572,12.61945911,12.8156342,12.83418104,13.07361654,13.30389257,13.04989703,13.70977825,13.43859219,12.65290223,12.66046617,12.89381004,12.90213346,13.19629331,13.04114164,13.06929071,13.22356468,12.96858699,14.02572788,13.70641859,13.85627844,13.23891599,12.92503755,12.45543494,12.5327658,12.91651264,13.11192862,13.2749487,13.76423197,13.37237472,0.026819771349534,1.92973611510799,33.0816276193149
"GSM672711",12.78510967,14.00014721,12.79829665,12.9736632,12.69711524,12.85924703,12.33152714,12.66355688,12.62019164,12.98202045,13.36243383,12.81874535,13.64514461,13.11002677,12.41861375,12.44507026,12.93724182,12.69864721,13.23891599,12.85326877,12.64667732,13.02025465,12.52544535,13.8509658,13.71375353,13.75453086,12.99432751,12.94628513,12.11406171,12.3046145,12.65458104,13.02854461,13.4450803,13.5084171,13.1376223,0.0986018655850542,1.2895592523531,28.6650852133402
"GSM672712",12.63887881,14.2077948,12.86480892,12.93810186,12.71352639,12.60530818,12.08289703,12.17875688,12.53873903,13.18883978,13.38058216,12.87947621,13.57092379,13.13574721,12.30192082,12.35485911,12.84075093,12.19107955,13.2692461,12.98028141,12.84223494,13.1468632,12.18706394,13.98711561,13.36928383,13.84591078,13.15971115,12.90368476,12.16240836,12.34049442,12.75551227,12.9007197,13.24606989,13.36438513,13.25970781,0.217225085142065,0.781599177746383,25.1606986280638
"GSM672716",13.35442714,13.26346171,13.04265836,13.27671636,12.95401859,13.14322714,12.89381004,13.22549963,13.32938104,14.18383309,13.59499257,13.49777063,14.06484089,13.88486654,12.87134275,13.02854461,13.08627212,12.91991375,13.83859442,13.65160669,13.68882788,13.81311004,13.4593829,14.5076632,13.98436729,14.41200297,13.92820372,13.76680818,12.9836684,13.06405353,13.75689926,13.79624275,13.47410706,14.14266803,13.55989331,0.0687664664362556,1.48504111580699,30.0137030559592
"GSM672717",13.29444201,13.20139963,13.03040297,13.17780409,12.89221561,13.05331524,12.88900186,13.1395539,13.19629331,14.10146097,13.81311004,13.50188959,13.95159331,13.78598662,12.79137658,13.04989703,13.10802045,12.96507435,13.92297026,13.62914721,13.65857993,13.89249665,13.41992007,14.28199294,13.95716766,14.26946022,13.82056989,13.63154052,13.18522751,12.9397052,13.70401115,13.71644461,13.40705576,14.19217844,13.53453569,0.045772371138655,1.68730488446603,31.4091088624588
"GSM672718",13.23707546,13.38058216,12.98202045,13.28852007,13.06752156,13.20690632,12.89065985,12.9836684,13.1376223,14.07336952,13.62914721,13.51702342,13.81090595,13.76680818,12.84223494,13.01521004,13.12605204,12.86639294,13.72369888,13.60378104,13.52997026,13.61981078,13.30389257,14.46736729,13.9254487,14.39777584,13.77660149,13.67681933,13.12422305,13.13379517,13.59499257,13.75095725,13.40495093,14.177971,13.5191461,0.0479103074009455,1.66546202025963,31.2584162310189
"GSM672719",12.34349182,11.70990037,13.30585762,13.14143123,12.18972751,11.97030483,12.24872342,12.67413941,12.75695279,12.47040149,11.83088699,11.7445632,12.48356283,12.33601004,11.21893048,11.11013494,11.77321896,11.77697584,11.92156208,11.77196952,11.83214907,11.98584164,11.69346877,12.76934647,12.5327658,12.61541041,12.18154349,11.77446952,11.16270446,11.23174721,12.03546171,11.91645465,13.57092379,12.42890074,11.85551673,0.35345943100354,0.375997355521626,22.3624755868757
"GSM672720",12.24240613,11.85276729,13.43237621,13.1468632,12.13914164,11.70109888,12.04601524,12.60816022,12.4661171,12.35069814,11.97097658,11.55183606,12.3463026,12.1154171,11.14142193,10.97474461,11.59652825,11.77836766,11.87109368,11.55308104,11.4235684,11.82700706,11.48265204,12.38714758,12.31454387,12.50707491,12.08414498,11.67314796,11.05744312,11.25578067,11.75379684,11.81292007,13.46987881,12.32742639,11.752071,0.338989325908869,0.415223015417076,22.6330911001966
"GSM672721",12.41567323,11.68098401,13.30973011,13.10414349,12.07040112,11.98993309,12.31318253,12.64338773,12.70469665,12.51664089,12.12293587,11.77635967,12.59049108,12.30192082,11.34097472,11.20329851,11.7975223,11.85426952,12.09219442,11.9170816,11.78955725,12.06771041,11.77635967,12.79137658,12.59637175,12.84992788,12.30054126,11.92414164,11.21065762,11.33414907,11.95349405,11.99250855,13.64061375,12.59852695,12.03818364,0.328207520566855,0.444868149593172,22.8376111318268
"GSM672725",13.10225725,13.80343717,13.82567398,13.5984355,13.12800297,13.05512156,12.63002937,12.91488662,13.03748513,14.22263903,13.74295651,13.5191461,14.15794052,13.8485,12.70912007,12.82326543,12.96507435,12.66205019,14.20445688,14.09040223,13.69896357,14.17513717,13.48706506,14.8169052,14.31325613,14.3805052,14.06780892,13.56203011,12.51075985,12.59489368,13.93337732,13.6722223,13.62222788,14.00300297,13.96823197,0.408336954460524,0.231825038409439,21.3678392772261
"GSM672726",12.88900186,13.56203011,13.94646394,13.31737249,12.44072714,12.72266468,12.22743866,12.76934647,12.74756208,13.74743383,12.82640149,12.89065985,14.01120595,13.57092379,12.33457361,12.49129033,12.58323271,12.51146599,13.58615465,13.51256134,13.55558736,13.37626729,13.31923978,14.42209108,13.97636729,14.26317249,13.79859108,13.4302974,12.47178253,12.50113011,13.61520669,13.63389182,13.15417807,14.15506134,13.29238922,0.402828119475368,0.24603357903615,21.4658631607117
"GSM672727",12.943771,13.62222788,13.93848699,13.55765056,13.02672268,12.80153755,12.31870483,13.01151115,12.9331223,14.02859517,13.34708364,13.37131041,14.18951673,13.92297026,12.36989182,12.58323271,12.72266468,12.66205019,13.94646394,13.79092788,13.59952639,13.74509665,13.48460855,14.65737807,14.15506134,14.37716803,13.86665948,13.45520892,12.34786914,12.58011896,13.73822305,13.64276654,13.27297993,14.40846283,13.53224944,0.468228709828005,0.0797231843999859,20.3184975603616
"GSM672731",13.36020558,13.55765056,13.79224684,13.70641859,12.97032825,13.31923978,12.80000632,13.16680669,13.22169145,14.35301933,13.72369888,13.62222788,14.40126208,14.11328476,13.02854461,13.08300781,13.19072825,12.88900186,14.27227695,14.18104015,13.93848699,14.37361413,13.77660149,14.88252156,14.44320929,14.70303309,14.28199294,13.83597807,12.85840781,12.88760223,14.10146097,13.89762082,13.76194498,14.36693011,13.95421375,0.320243963735886,0.467016703549243,22.9904126988142
"GSM672733",12.75841524,13.51702342,13.7935658,13.6561342,13.06578587,12.65458104,12.42150967,12.9007197,12.70008885,13.89516245,13.16499442,13.35045167,14.01388922,13.69896357,12.26289851,12.55260149,12.52544535,12.46536784,13.85341561,13.52764833,13.55765056,13.47196803,13.35442714,14.27576691,13.68882788,14.02859517,13.59734461,13.29238922,12.50036468,12.52980595,13.52142082,13.64514461,12.99944721,14.04552862,13.35817584,0.329508153647201,0.441271705600327,22.8127994769089
"GSM672737",12.32020335,12.72122491,13.80104535,13.13379517,12.20774981,12.22879703,11.80505465,11.99907435,12.17742788,13.48236691,12.6836,12.71352639,13.59499257,13.32130186,11.95198364,12.20520706,12.15306543,12.11264312,13.24435279,13.24788216,13.21045353,13.40275985,12.94463234,13.99217212,13.45520892,13.77875762,13.25773792,12.85165985,12.08075818,12.1154171,13.11699257,13.02196208,12.51217212,13.6744539,13.10592714,0.467473909397105,0.0816213554082338,20.3315929301562
"GSM672738",12.46166171,12.51518699,13.43859219,13.19436877,12.51800186,12.45103717,11.85025242,12.08414498,12.31592825,13.63642639,13.07797286,12.89221561,13.68176245,13.51368346,12.05679591,12.43399796,12.31169033,12.06073494,13.55136803,13.41777658,13.16149219,13.41992007,12.95315316,14.21958662,13.59499257,14.02572788,13.44724164,13.19072825,12.2903119,12.31733383,13.28852007,13.24435279,12.62237993,13.82848513,13.25168253,0.491074852390879,0.0223738939075863,19.9228481888391
"GSM672743",11.45513903,12.01857677,13.30585762,12.34349182,10.67870929,11.35883048,11.15429703,11.30724907,11.4285632,11.87752714,11.55500204,11.2284513,12.01304089,11.77384424,11.04578699,11.20118141,11.26048625,11.25685576,11.39101301,11.32936877,11.34454126,11.67184201,11.29645688,12.38563941,11.99639963,12.27143792,11.83996506,11.57041264,11.1896948,11.18580558,11.71836989,11.78200855,11.69219926,12.11942565,11.62737993,0.0278248707865045,1.91376850389076,32.9714680116097
"GSM672744",11.47787249,12.06562639,14.43977026,12.56087937,11.4285632,11.35399554,11.21293494,11.45005353,11.44300781,12.09369554,11.92684275,11.48741822,12.02602751,11.72348773,11.09211171,11.25578067,11.30964275,11.31970967,11.84635353,11.79238513,11.5136026,11.83474164,11.34212082,12.54092193,12.12893922,12.42003234,11.92156208,11.73237063,11.14697993,11.19026506,11.6522461,11.84121078,11.95618216,12.17742788,11.752071,0.0539327481495772,1.60786158757565,30.8610342443339
"GSM672746",11.36668494,12.91816022,13.24435279,12.49129033,11.72602565,11.49590892,10.92505576,11.24473197,11.11823309,12.59637175,11.83996506,11.69346877,12.57407212,12.33017993,11.17968941,11.3258513,11.40524758,11.25578067,12.00707993,12.05132193,11.8387684,12.37832454,12.02055242,12.91142379,12.66502602,12.63741822,12.35709721,11.92944684,11.32135353,11.21893048,12.16173569,11.96963309,11.67184201,12.42432045,12.31027584,0.398058875132881,0.258374687131271,21.5510037373396
"GSM672747",11.49827212,13.00465167,13.19436877,12.59637175,11.64603123,11.56554647,11.07504796,11.40038773,11.43100372,12.67875353,12.28434275,11.92684275,12.87304684,12.46461859,11.17905353,11.35999851,11.4657,11.30724907,12.46749591,12.33317249,12.24804182,12.59205613,12.13114796,13.21581859,12.85165985,12.96507435,12.50189554,12.05679591,11.41637175,11.42728327,12.33085353,12.25859294,11.7975223,12.80310595,12.52103866,0.495645573653464,0.0109151449352552,19.8437949557404
"GSM672748",11.36244796,12.81874535,13.43237621,12.45247361,11.6620948,11.40274498,10.8370197,11.25749758,11.25749758,12.34786914,11.79868662,11.67574201,12.48819219,12.11406171,11.00848364,11.11124164,11.35883048,11.00122007,11.96415093,11.95198364,11.87367249,12.22466394,11.87881301,13.01608216,12.61667063,12.63150967,12.14741227,11.87618959,11.02773922,10.9382052,12.05551227,12.00707993,11.83214907,12.33601004,12.31733383,0.455404307002636,0.112018656398457,20.5413021162595
"GSM672749",11.69607844,11.99392119,14.09866691,13.55136803,12.58011896,11.9151855,11.34212082,11.94402528,11.59652825,12.39295911,11.78955725,11.71356952,12.88193643,12.49129033,11.6064513,11.61259814,11.81170372,11.66956506,12.04013717,12.31169033,12.29753643,12.41861375,12.43925799,12.92828178,12.95834721,13.00624349,12.52544535,12.48208364,11.56299777,11.45253383,12.35069814,12.44432993,11.99639963,12.74445799,12.49575204,0.227131425934852,0.748327150361866,24.9311568741739
"GSM672750",11.76571784,11.99250855,14.27893866,13.5084171,12.28434275,11.78463792,11.37801599,11.81923755,11.66706952,12.80753569,12.08145093,12.0179461,12.79137658,12.37427993,11.4622,11.47189517,11.60009591,11.63251747,12.22038662,12.26860632,12.35485911,12.56927323,12.16812268,13.2139171,12.80310595,12.97873309,12.42890074,12.11942565,11.51967435,11.56434796,12.35640037,12.29166617,12.16308104,12.7173645,12.49886208,0.250760615101973,0.672098124844327,24.4052573246095
"GSM672751",11.85276729,12.1703171,14.39460335,13.3702461,12.51217212,11.6998658,11.51795558,11.73350112,11.61993123,12.77562007,12.13522082,11.98993309,12.87134275,12.67265651,11.49220149,11.68734461,11.73589108,11.55055688,12.15306543,12.28581264,12.35640037,12.51800186,12.07722007,13.93337732,12.77412974,13.08300781,12.70008885,12.00844572,11.46694833,11.43453903,12.41861375,12.50329219,12.18221747,12.78130167,12.60364461,0.429571048154561,0.177466347681949,20.9928218770375
"GSM672752",10.87436729,12.04223755,14.64878104,13.31340074,11.92807175,10.90512491,10.65846506,10.87328067,10.85192937,11.68161171,11.4622,11.35176059,11.77964126,11.4886,10.57802751,10.78119089,10.80278067,10.68212305,11.52934052,11.48022454,11.33935204,11.49286375,11.04516803,12.36989182,11.74211264,11.89740595,11.41517398,11.1493119,10.75825539,10.75950632,11.35883048,11.48741822,11.40038773,11.62187658,11.57041264,0.187929175333767,0.885553180109893,25.8778711571263
"GSM672753",10.96807138,11.73846877,14.6281855,13.41359628,11.7148948,10.95179145,10.77360446,11.06557435,10.95418476,11.6522461,11.47189517,11.2363461,11.73722937,11.5471777,10.71840037,10.86634126,10.84170743,10.79635372,11.36849442,11.40966245,11.33414907,11.55800706,11.28929814,12.16173569,11.76822193,11.93357212,11.56554647,11.1695632,10.87436729,10.90396134,11.45388848,11.35399554,11.52282584,11.69090818,11.49220149,0.0664914211839747,1.50244259664749,30.1337548455976
"GSM672754",10.71840037,11.77836766,14.5973803,13.31058439,11.60519591,10.76958048,10.33478216,10.83579108,10.71943829,11.50759814,11.07273717,10.91926171,11.52987026,11.24241227,10.46812714,10.52022342,10.65589554,10.42480074,11.14367621,11.12637026,11.07978216,11.3258513,10.99780372,11.92279405,11.64738439,11.6362881,11.28562714,11.05172937,10.47046803,10.48109219,11.18252342,11.13121933,11.45741599,11.26294796,11.28091301,0.152415268677179,1.02612951997651,26.8476990319199
"GSM672755",12.22743866,12.41567323,14.22564647,13.40275985,12.2903119,12.12968401,11.54170613,11.99124944,11.9329,13.04114164,12.70845056,12.48520074,13.26165428,12.8679223,11.82700706,11.9387881,12.11117286,11.72348773,12.88597286,12.87304684,12.77089368,13.07284758,12.54327509,13.85627844,13.33340483,13.48460855,13.01695428,12.65978978,11.74086617,11.7049197,12.8108052,12.91488662,12.73823494,13.10592714,12.98548327,0.422229391776436,0.196193412978732,21.1220187956308
"GSM672756",11.90186766,12.30746208,14.10146097,13.30585762,12.40042639,12.01652491,11.38041859,11.80120297,11.74338513,12.87464238,12.44648699,12.1967829,13.03748513,12.60668736,11.59519071,11.65346208,11.84758067,11.69475316,12.61541041,12.68047472,12.38281004,12.96154498,12.27423903,13.61280632,13.12992751,13.10047026,12.65458104,12.63150967,11.49410688,11.54416561,12.51800186,12.65290223,12.57254721,12.89724424,12.82172268,0.409626061241868,0.228506990185578,21.3449482582931
"GSM672757",11.90059108,12.11672937,14.31325613,13.53887881,12.38351487,11.92414164,11.42192286,11.9097197,11.80381487,12.83584424,12.37832454,12.12665576,12.78829182,12.53577732,11.56165688,11.84240669,11.79868662,11.78330967,12.54641822,12.61245019,12.21495725,12.79665613,12.26289851,13.42404535,12.99944721,13.20863941,12.77884796,12.47178253,11.74211264,11.85426952,12.50707491,12.48971413,12.3138632,12.99767955,12.56009368,0.254596641924293,0.660094350591451,24.3224439942567
"GSM672758",13.04114164,13.35631375,13.07116617,13.42404535,13.03222825,12.92992751,12.57565725,12.98028141,13.18357249,13.9974171,13.72151636,13.63154052,13.97082379,13.88212491,12.72717732,12.86961896,12.93638178,12.76305799,13.82567398,13.71375353,13.85627844,13.91054387,13.54736245,14.24770112,13.75962305,14.16068439,13.84591078,13.45721859,12.9331223,12.81155353,13.59952639,13.69896357,13.34118773,13.90030558,13.6081974,0.11627295301841,1.19382633972237,28.0046294973033
"GSM672759",13.15779442,13.37838364,13.01324461,13.2904829,13.11002677,13.02507807,12.69864721,13.21968216,13.17780409,13.84114201,13.64935428,13.55558736,14.01692193,13.78122565,12.80000632,12.80310595,12.92992751,12.82640149,13.9054052,13.93093309,13.71904721,13.91831896,13.61981078,14.49293792,14.06186803,14.2572026,13.97367398,13.51702342,12.75389331,12.55092639,13.70143383,13.77660149,13.5191461,14.08764126,13.5423026,0.177985314047648,0.923070190399584,26.1366987976267
"GSM672760",13.03222825,13.7730145,12.98548327,13.21222714,13.00295056,13.01695428,12.59049108,12.9836684,12.988971,13.8485,13.70641859,13.46775725,13.95421375,13.63843383,12.60967212,12.81402342,12.93230428,12.62842751,14.02859517,13.85909405,13.55136803,13.82056989,13.48706506,14.69077807,13.94393941,14.23481264,13.89762082,13.55356059,12.83257361,12.63150967,13.49333755,13.63154052,13.34303457,14.00869331,13.61520669,0.231533585489602,0.733805691992719,24.8309741896452
"GSM672761",12.91142379,13.72863755,13.14322714,13.3970368,12.89544572,12.8679223,12.51518699,12.92503755,13.04626283,13.93337732,13.63743011,13.55989331,13.95421375,13.78374796,12.69864721,12.87464238,12.9397052,12.73977435,13.82848513,13.65388439,13.79859108,13.97082379,13.44939033,14.29261134,13.7522145,14.15794052,13.71904721,13.38058216,12.92150372,12.83584424,13.58394275,13.64276654,13.17966803,13.98155204,13.49672732,0.137362114402279,1.09224772888563,27.3038446542368
"GSM672762",13.01324461,13.69168178,13.08980112,13.24435279,12.9632026,12.97704498,12.67714424,12.86480892,12.74905093,13.94912751,13.67938253,13.60160558,13.81818216,13.6106,12.719671,12.81725688,13.03222825,12.90826059,14.01388922,13.9974171,13.38058216,13.88212491,13.37626729,14.28826431,14.21381301,13.98711561,13.64726729,13.71904721,12.65290223,12.78286561,13.57313309,13.86400483,13.45721859,14.09866691,13.69645948,0.180091700625306,0.915015674896716,26.0811311703855
"GSM672763",13.19629331,13.50622305,13.2139171,13.07957993,12.80390725,13.12244907,12.69559926,13.03394164,13.21968216,13.93337732,13.54124015,13.49568401,13.95989033,13.81582714,12.78984721,12.87633978,13.04444907,12.86480892,13.87933941,13.75962305,13.69645948,13.88999294,13.56426171,14.37716803,14.10461152,14.26634535,13.92068736,13.58394275,12.66046617,12.65138587,13.68176245,13.73361487,13.41578699,14.02859517,13.64061375,0.13628347394356,1.09717031323528,27.3378052732346
"GSM672764",13.1633513,13.56203011,13.01151115,13.19436877,12.92588699,13.18166543,12.6938881,13.15779442,13.07116617,13.93337732,13.59499257,13.49333755,13.88999294,13.68668848,12.85840781,13.06752156,13.10592714,12.87304684,13.82289926,13.78122565,13.48460855,13.85627844,13.47410706,14.46736729,14.07896877,14.28505874,13.83597807,13.64935428,12.82483383,12.84514201,13.62914721,13.7522145,13.40495093,14.11735892,13.73361487,0.0865492082223832,1.36231525151732,29.1670245590002
"GSM672765",13.30210743,13.35817584,13.20863941,13.34507323,12.77243197,13.26165428,12.86639294,13.21222714,13.3970368,14.00300297,13.60618996,13.57540669,14.05076654,13.8912448,12.94134015,13.12605204,13.14873532,13.0185829,13.82289926,13.87933941,13.83597807,14.00590855,13.78374796,14.46059071,14.0958948,14.32645576,14.04813494,13.73590855,13.22356468,13.02196208,13.80343717,13.96823197,13.57959368,14.14860818,13.68668848,0.0440638791739033,1.70535756060328,31.5336532100293
"GSM672766",13.20863941,13.56426171,12.98548327,13.41992007,12.88900186,13.11192862,12.73666097,13.20690632,13.10592714,13.77175465,13.56203011,13.2786855,14.00014721,13.64935428,12.85326877,12.85840781,13.08473941,12.71058885,13.72863755,13.76919963,13.72151636,13.94112825,13.64514461,14.43247509,14.14266803,14.3002197,13.88738959,13.50399368,12.67875353,12.45830409,13.7405171,13.77427435,13.58394275,14.10748848,13.65857993,0.168441666115137,0.960341575114989,26.3938318817819
"GSM672767",12.7530368,13.48023494,12.99076729,13.23707546,12.70008885,12.6482026,12.08684164,12.59637175,12.73028625,13.57092379,13.51256134,13.16149219,13.81818216,13.29628699,12.34201004,12.46005688,12.5479145,12.45247361,13.7086368,13.48236691,13.25970781,13.56877881,13.08807955,14.37716803,13.75453086,14.0958948,13.48706506,13.36649851,12.22879703,12.37568327,13.30005502,13.56203011,13.11002677,13.83099145,13.40275985,0.35884723302599,0.361541796185915,22.2627475358907
"GSM672768",13.10592714,13.38265911,13.11539071,13.29444201,13.06315056,13.01521004,12.72122491,12.97704498,12.91142379,14.03726022,13.53679182,13.62914721,14.08764126,13.78840558,12.80000632,12.91488662,12.96701115,12.94463234,14.04280037,14.04813494,13.63642639,13.9974171,13.35442714,14.33275836,14.12791078,14.38917974,13.77427435,13.52354052,12.9331223,12.93148625,13.53453569,13.87665688,13.48023494,14.21067918,13.7109197,0.171372923043294,0.948753796336197,26.3138884796612
"GSM672769",13.21045353,13.44308773,12.75065836,13.07957993,12.72872639,13.19072825,12.60065019,13.16865353,13.15065688,14.12176357,14.08764126,13.77175465,14.29703011,14.01692193,12.67875353,12.85326877,12.98028141,12.85683234,14.23797286,13.99478104,13.86665948,14.03459963,13.53887881,14.88252156,14.26634535,14.71898885,13.95159331,13.59271896,12.87794796,12.88597286,13.73822305,13.9974171,13.41777658,14.23481264,13.8509658,0.353615595533744,0.375577270667662,22.359577446253
"GSM672770",13.24788216,13.61745502,12.97704498,13.23309777,13.11699257,13.29444201,12.94134015,13.38884164,13.33519294,13.93848699,13.57092379,13.56877881,14.04552862,13.81937602,12.92150372,13.06405353,13.16865353,12.97032825,14.02859517,13.94912751,13.7497,13.92820372,13.64935428,14.4894368,14.15794052,14.28826431,13.81090595,13.60618996,12.92828178,12.94970781,13.69025483,13.69025483,13.46152045,14.05925799,13.6246145,0.0465204395310196,1.67957066583138,31.3557509444141
"GSM672771",13.21777212,13.88486654,13.2291658,13.10414349,13.07957993,13.16680669,12.93810186,13.20505651,13.26165428,13.98155204,13.78598662,13.79981822,14.04552862,13.8692948,12.99767955,13.10592714,13.09676506,13.06578587,14.14266803,13.91054387,13.9789632,13.99609907,13.84343978,14.46409554,14.3002197,14.23481264,14.00014721,13.72616989,13.1395539,13.04626283,13.79092788,13.90416914,13.55765056,14.16922491,13.71375353,0.0645011374730116,1.51804809381743,30.2414162498551
"GSM672772",13.00807138,14.02859517,13.33340483,13.11539071,12.77089368,12.9736632,12.80614647,12.99076729,13.09337732,14.16357621,13.84343978,13.85341561,13.98971487,13.86665948,12.73350074,12.87947621,12.91142379,12.75841524,14.04023532,13.85909405,13.66987732,13.94112825,13.51044907,14.35976208,14.06780892,14.11179126,14.00157509,13.46152045,12.90971413,12.78678773,13.7497,13.59032751,13.1468632,14.2572026,13.74295651,0.198539357646621,0.846850034954996,25.6108604421723
