"","resA","resD","resB","resC","resE","ccpA","phoP"
"resA",1,0.8888577901416,0.945010188165602,0.904091132912283,0.898221760539085,0.219299878704031,0.0852934840728728
"resD",0.8888577901416,1,0.948943050868198,0.976430285478668,0.982441934386351,0.0843648365039453,0.307622193152177
"resB",0.945010188165602,0.948943050868198,1,0.972093120726311,0.950118351281103,0.146603880060333,0.204200909985043
"resC",0.904091132912283,0.976430285478668,0.972093120726311,1,0.971333568896231,0.087905012125398,0.24585884446591
"resE",0.898221760539085,0.982441934386351,0.950118351281103,0.971333568896231,1,0.169397970428599,0.200441838630338
"ccpA",0.219299878704031,0.0843648365039453,0.146603880060333,0.087905012125398,0.169397970428599,1,-0.469154997397884
"phoP",0.0852934840728728,0.307622193152177,0.204200909985043,0.24585884446591,0.200441838630338,-0.469154997397884,1
