"","mntA","mntB","mntC","mntD","mntH","mntR"
"mntA",1,0.998178834599279,0.99552604402253,0.992131093149755,0.976735706481788,-0.160938686111023
"mntB",0.998178834599279,1,0.997225740885325,0.994873553988882,0.979621234133677,-0.176107330971302
"mntC",0.99552604402253,0.997225740885325,1,0.997706662748773,0.976037814682904,-0.19177700443865
"mntD",0.992131093149755,0.994873553988882,0.997706662748773,1,0.97536566502996,-0.204843938635921
"mntH",0.976735706481788,0.979621234133677,0.976037814682904,0.97536566502996,1,-0.168218764360799
"mntR",-0.160938686111023,-0.176107330971302,-0.19177700443865,-0.204843938635921,-0.168218764360799,1
