"","ftsH","hprT","tilS","pval","z","inv_cof_var"
"GSM672572",14.2572026,13.47196803,12.98724424,0.454979093881291,0.113091280542604,21.1774259753109
"GSM672573",14.37000297,13.48023494,12.82326543,0.49741078423512,0.00649024701019122,17.4650635937465
"GSM672574",14.2572026,13.14873532,12.89301283,0.485280204800611,0.0369054307315991,18.5242670567354
"GSM672575",14.88252156,14.57775836,14.32280074,0.158542974641603,1.00046412784893,52.0800304585974
"GSM672576",14.91167472,14.53674944,13.92068736,0.368957542362237,0.334615587858606,28.8919713022284
"GSM672577",14.87743532,14.04552862,13.73822305,0.421603421791489,0.197793229524244,24.1271565606999
"GSM672578",14.83115242,14.68241227,13.51480558,0.469596593364728,0.0762839599915877,19.8956174632178
"GSM672579",14.81200037,14.23797286,13.81818216,0.371670736943577,0.327431593758445,28.6417899619254
"GSM672580",14.69494015,14.18383309,13.34864684,0.460287637564909,0.0997091008365304,20.7113939034075
"GSM672582",14.75811599,14.18951673,13.18166543,0.495980193698227,0.0100763306443711,17.5899483302217
"GSM672584",14.11871338,13.9054052,12.80614647,0.476143952393998,0.0598339261796464,19.3227479076863
"GSM672586",14.11328476,13.77660149,12.95128178,0.436904313289046,0.158822620319398,22.7700118989201
"GSM672587",14.11871338,13.84591078,12.90368476,0.452801985168659,0.118585226452744,21.3687516824576
"GSM672589",14.05355316,13.77875762,12.83733197,0.454106942813445,0.115291739500143,21.2540565743347
"GSM672590",14.26004424,14.00869331,13.10802045,0.436914086049399,0.158797812774532,22.7691479805013
"GSM672591",14.34210483,13.87665688,13.05331524,0.456087605831905,0.110295265849448,21.0800552517709
"GSM672592",14.46736729,13.89249665,13.09337732,0.468123383054729,0.0799880426135273,20.0246114938405
"GSM672593",14.17215799,13.7935658,12.73350074,0.489087131507902,0.0273579170343306,18.191776559104
"GSM672594",14.18664647,13.89516245,12.88276766,0.4689406599178,0.0779330366957556,19.9530462715323
"GSM672595",14.33275836,14.02859517,12.99944721,0.471473929540152,0.0715652959133271,19.7312908105119
"GSM672596",14.16068439,13.69168178,13.19966617,0.373478449276992,0.322654520739499,28.4754292280576
"GSM672623",14.09040223,13.34507323,12.60816022,0.491165505045484,0.022146605093939,18.0102935306095
"GSM672630",13.87933941,13.48236691,12.90368476,0.385716087125141,0.290502061042383,27.3557254325213
"GSM672631",13.38472454,12.93638178,12.41094461,0.39526852914675,0.265613278227938,26.4889779162772
"GSM672632",13.42503067,12.86639294,12.30957063,0.433509919208286,0.167445103783923,23.0702883801949
"GSM672680",14.32986134,13.56203011,12.94134015,0.473333759377097,0.0668922048683812,19.5685512307346
"GSM672681",14.43977026,13.72369888,13.18166543,0.447455526480026,0.132092594953931,21.8391434322945
"GSM672682",14.45026283,13.87415316,13.46569219,0.376903603711051,0.313623238798041,28.1609164111947
"GSM672689",14.54011041,13.54539665,13.04444907,0.491182566048282,0.0221038290332291,18.0088038617635
"GSM672691",14.8030119,13.54539665,13.34864684,0.495691529448031,0.0107999440510439,17.6151480407752
"GSM672709",14.9356,14.47455279,13.57959368,0.459462908292783,0.101786909248253,20.7837532185865
"GSM672713",14.47455279,14.45737881,14.54790446,1.6635165436772e-16,8.16083975879974,301.438861694788
"GSM672714",14.32645576,14.8074855,14.58946431,0.107026475297708,1.24249780297759,60.5088109389127
"GSM672715",14.57775836,14.61673569,14.63629591,2.52408739565359e-42,13.5830471393284,490.266287072379
"GSM672719",15.42020595,14.3002197,14.05925799,0.467330871629035,0.0819810995159256,20.0940193525038
"GSM672720",15.45458067,14.41536729,14.20299201,0.446373936910383,0.134827991588575,21.9344031425301
"GSM672721",15.51421413,14.55602639,14.23157435,0.44400625403634,0.140819537627981,22.1430576873037
"GSM672729",14.52209926,13.78122565,12.94290967,0.498140462753431,0.00466118551858283,17.4013668466324
"GSM672730",14.95582342,14.21381301,13.31923978,0.499497088658711,0.00126061212159095,17.2829424717796
"GSM672740",15.26197249,14.87297918,14.78045019,0.117514871278738,1.18750181128907,58.5935851299695
"GSM672741",15.68112788,15.21045093,15.0717881,0.188768553939666,0.882443338900251,47.9699770884075
"GSM672742",15.55620743,15.02109257,14.8030119,0.26573724459082,0.625756772520663,39.0309122284896
"GSM672743",16.1452197,15.74199963,15.30189331,0.282366563699685,0.575825512282041,37.2920648080506
"GSM672744",15.3676855,14.69906245,13.95290353,0.460048768067082,0.100310859765462,20.732350053048
"GSM672746",15.75899182,15.06617509,14.9261052,0.313153165925497,0.486932266614499,34.1963730473229
"GSM672747",15.44358327,15.36026208,14.98346506,0.0980706421668014,1.29262356777363,62.2544319466056
"GSM672748",15.58130781,15.23706097,15.15962193,0.0713866572619874,1.46554122122733,68.2762590388798
"GSM672751",15.30855836,15.04395688,13.80583271,0.487288531592042,0.0318683194917926,18.3488505372255
"GSM672752",15.52257435,15.24909405,14.16357621,0.458842847403636,0.103349368694604,20.8381655960198
"GSM672753",15.70693346,15.12831859,14.14860818,0.479429475926308,0.0515855268913475,19.0354988425382
"GSM672754",15.74199963,15.13492268,14.61295725,0.39144659975845,0.275550674283669,26.8350459989734
