"","mta","ydfK","ymfD","ymfF","ymfH"
"mta",1,0.520788992465692,-0.1343333963058,0.144097603627523,0.451613927356422
"ydfK",0.520788992465692,1,0.307141686491142,0.535486187847196,0.602471901813315
"ymfD",-0.1343333963058,0.307141686491142,1,0.265164910742802,0.310763942373384
"ymfF",0.144097603627523,0.535486187847196,0.265164910742802,1,0.85166359395528
"ymfH",0.451613927356422,0.602471901813315,0.310763942373384,0.85166359395528,1
