"","ykoL","ykzB","phoP","tnrA"
"ykoL",1,0.998540596289479,-0.361073059595543,-0.0543798374510939
"ykzB",0.998540596289479,1,-0.36169851825082,-0.054415225666137
"phoP",-0.361073059595543,-0.36169851825082,1,0.224674783255018
"tnrA",-0.0543798374510939,-0.054415225666137,0.224674783255018,1
