"","yrkN","yrkP","yrkO","yrkQ","yrkR"
"yrkN",1,0.864949443215229,0.946354276782199,0.841385360836762,0.796495015932095
"yrkP",0.864949443215229,1,0.852216327207898,0.954553747837043,0.860328487681697
"yrkO",0.946354276782199,0.852216327207898,1,0.840097680781782,0.808717332329138
"yrkQ",0.841385360836762,0.954553747837043,0.840097680781782,1,0.90474607853496
"yrkR",0.796495015932095,0.860328487681697,0.808717332329138,0.90474607853496,1
