"","spoIIID","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","pval","z","inv_cof_var"
"GSM672703",10.36729665,8.323040892,10.28045836,10.0742026,9.916043494,8.993447584,10.44512714,10.24398885,10.69138996,8.319688104,10.98844647,11.11236022,7.891243123,9.102701487,8.909420074,9.575063197,0.0434354914964427,1.71213939450045,9.47178084264493
"GSM672716",8.827584758,7.966381413,8.901939033,8.583566914,8.628068773,8.579858364,10.21271413,8.921110409,9.934946097,8.044633086,10.64563569,10.87543271,7.949214498,8.152455019,8.297544238,8.151339033,0.0969175539799507,1.29931715929454,8.92217419533066
"GSM672717",9.129148699,7.852019888,9.190962082,9.003201487,8.974035688,8.640388476,10.12423866,9.284888476,9.877958736,8.104676952,10.67258401,10.83013309,7.815310781,8.198053346,8.367407435,8.452079554,0.0597279429694334,1.55706149458852,9.26531947168554
"GSM672718",9.533196654,7.94874052,9.662597398,9.429528625,9.38253829,8.91187026,9.921168401,9.423149442,9.931973048,8.156835688,10.77595948,10.92440372,7.848711896,8.593413755,8.519863197,8.668460967,0.0283903410886933,1.9049952990641,9.72853757249772
"GSM672719",9.055988104,7.711727881,9.051658364,8.576081413,8.56395316,8.085531599,9.116951673,8.942527509,10.56290074,8.089684015,10.51658141,9.84866803,7.083947212,8.043572119,8.854895539,8.488292565,0.0854783939224748,1.36913593333405,9.01512670381245
"GSM672720",9.479197398,7.697311524,9.242672119,9.134895911,9.041450186,8.279827881,8.91650632,9.184917472,10.53672193,8.225892565,10.81843457,9.844852788,7.108245353,8.375895167,9.060899257,8.779644238,0.0674770392561215,1.49484814327597,9.18249236472019
"GSM672721",7.525672491,7.506061338,7.76787026,7.752718959,7.726288476,7.703069517,9.034102602,8.458105948,10.72635353,8.071515242,10.30404015,9.581556877,7.150183271,7.541188476,8.890312639,7.785002045,0.336090342868693,0.423157043290308,7.75570741422963
"GSM672749",7.305377323,8.696739033,8.068419703,7.941649071,8.227668216,8.735318587,9.912310037,10.40512788,9.947730112,9.569909294,11.5190974,10.85440372,8.109185874,7.633748327,8.65225223,7.912741264,0.404048857058432,0.242880832977436,7.51569853125083
"GSM672750",7.348572862,8.625594052,8.090775465,7.977144424,8.00638513,8.594514498,9.84866803,10.00507361,9.942540149,9.386327138,11.28802677,10.65194814,8.327762825,7.507008178,8.419263569,7.779686989,0.318137041730307,0.472914634746524,7.82195167310547
"GSM672751",7.45163513,8.814584758,8.363724164,7.967410409,8.027893309,8.441049442,9.494378067,10.01761338,10.17872528,9.271420074,11.42134944,10.17371152,7.960021933,7.933356506,8.62324461,8.110748699,0.175554993878427,0.932438438239235,8.43373397420357
"GSM672752",7.479095167,8.857243123,9.005653532,8.534192193,8.437373606,8.539452788,9.281081041,10.02264535,10.74508104,9.64251487,11.41876506,9.765004461,7.893216357,8.025824907,8.830134572,7.60192119,0.148631856360713,1.04231920186675,8.58002260149016
"GSM672753",7.430656506,8.64275539,8.764030483,8.454589219,8.506366543,8.35060855,9.505805576,9.847455762,10.56992156,9.560557621,11.17175985,9.853855762,7.895799628,7.755745725,8.846454275,7.646154275,0.123956972730274,1.15543106809599,8.73061292407465
"GSM672754",7.517730112,8.831322305,8.692287546,8.630512268,8.674690335,8.572614126,9.332309294,10.11089517,10.94041004,9.871837546,11.24473197,9.818199628,7.593509294,7.778707063,8.864891078,7.825005019,0.196730208525124,0.853358700023879,8.32845197608311
"GSM672755",7.593509294,8.827584758,8.009399628,7.847688476,7.978186617,8.584775836,10.22354126,10.3433171,9.975315242,9.328658364,11.67314796,10.78880818,8.539452788,8.072568773,8.15352119,8.080995167,0.417669728166557,0.207858496503988,7.46907190291362
"GSM672756",7.438365428,8.867563197,7.841605948,7.845779182,7.922072862,8.472410781,10.28045836,9.919852788,9.799172862,9.173247955,11.45253383,10.77818476,8.461734572,7.690520446,8.239889591,8.198600743,0.383646443057839,0.295917762006431,7.58630870255842
"GSM672757",7.285741264,8.545669888,8.075726022,7.9902,8.034003346,8.332564684,10.02391561,9.832570632,9.869347584,9.000723048,11.53286245,10.7487777,8.607624907,7.477835316,8.195918216,7.740816729,0.419726157503202,0.202594083224592,7.46206318030661
"GSM672759",7.868198885,8.17870632,8.004321933,8.109748699,8.215446097,8.721894796,10.47617472,8.764030483,9.936259851,8.441049442,10.45367881,11.26915056,8.239889591,7.475075093,7.781533457,7.945713755,0.377874656833331,0.311067491950703,7.60647814008456
"GSM672760",7.72549145,7.939507435,7.815310781,7.665922677,7.722937546,8.351857993,10.1464539,8.536673606,10.01624201,8.052826022,10.51658141,10.71943829,8.082105948,7.43247658,7.634766543,7.971537918,0.424880252101232,0.189424014649952,7.44452934463374
"GSM672761",7.701094424,8.047924535,7.8041171,7.565977695,7.858394796,8.493020818,9.830095911,8.70936803,9.961820446,8.25673829,10.43198662,11.01078959,8.143390706,7.454666543,7.724405948,7.784542379,0.394062077637887,0.268747293382647,7.55013557792325
"GSM672762",7.669763569,7.999137918,7.722443123,7.655596654,7.679235688,8.327184015,9.537186989,8.726693309,9.933688848,8.050930112,10.60271673,11.00848364,8.138221933,7.421697026,7.875115242,7.905511896,0.411021332236501,0.224918516208171,7.49178458511218
"GSM672763",7.653642379,7.835530855,7.742886245,7.607939591,7.779686989,8.343217472,9.615347955,8.817110037,9.936259851,8.113799628,10.79346208,10.87773792,7.966381413,7.340056877,7.691536431,7.810763383,0.486388838499851,0.0341247441437702,7.23777325420493
"GSM672764",7.561815428,7.742416914,7.714724907,7.631891822,7.653642379,8.333586989,9.847455762,8.595686989,9.83315,8.213257249,10.64919294,10.72878178,8.116738662,7.399576208,7.710728625,7.764849442,0.430318241547824,0.175564004749368,7.42607696265532
"GSM672766",7.265292565,8.045720074,8.237660223,7.944212825,8.404481041,8.946330112,10.29002602,8.966280669,9.866166914,8.586149442,10.83579108,11.20686022,8.305863941,7.603724535,7.701561896,7.866197398,0.372457226345863,0.325352299547483,7.62549607211742
"GSM672780",7.122063197,7.653642379,7.410212639,7.347610037,7.462750558,8.222346097,9.790525651,8.320828996,9.908577323,7.891243123,10.01624201,10.62261115,7.890224164,7.269249814,7.599091078,7.798363941,0.454397414863547,0.114558809775809,7.34485832223629
"GSM672781",7.218219331,7.580478067,7.43247658,7.395525651,7.572773606,8.15352119,9.646335316,8.359057249,9.890813011,7.720615985,10.07806877,10.73348922,7.890224164,7.45163513,7.565977695,7.901559108,0.442845002255947,0.143759981710257,7.38373500288924
"GSM672784",7.27630855,7.761926022,7.464967472,7.423486245,7.546432714,8.243223048,9.513952416,8.735318587,9.932549814,8.223567658,10.37321041,10.8462368,8.227065428,7.304376952,7.679235688,8.123189219,0.429244388783813,0.178298218833393,7.42971713052324
"GSM672786",7.527495539,7.710728625,7.620645725,7.411239405,7.337719888,7.873057621,9.485410037,8.402105204,10.16996877,8.035083271,10.66789145,10.41518587,7.773342937,7.805177323,7.633254461,7.997119703,0.46584844087361,0.0857100890448621,7.30645087387699
