"","yflA","ylaE","ywoF","abh","abrB"
"yflA",1,0.366311942445014,0.200605505937615,-0.32978859068539,-0.058602202898882
"ylaE",0.366311942445014,1,0.653069887375595,-0.600177080356622,-0.264654657853726
"ywoF",0.200605505937615,0.653069887375595,1,-0.666635332218406,0.0240519722201228
"abh",-0.32978859068539,-0.600177080356622,-0.666635332218406,1,0.0604205963217629
"abrB",-0.058602202898882,-0.264654657853726,0.0240519722201228,0.0604205963217629,1
