"","gapB","pckA","speD","sr1","ccpN"
"gapB",1,0.884086917686466,0.952528728028554,0.90384724203301,-0.14579275694124
"pckA",0.884086917686466,1,0.889348138285363,0.773348399632119,0.0455626888294983
"speD",0.952528728028554,0.889348138285363,1,0.918032451445693,-0.176397350618161
"sr1",0.90384724203301,0.773348399632119,0.918032451445693,1,-0.265618011622248
"ccpN",-0.14579275694124,0.0455626888294983,-0.176397350618161,-0.265618011622248,1
