"","dnaJ","hrcA","dnaK","groEL","groES","grpE","yqeT","yqeU","yqeV"
"dnaJ",1,0.815188603986436,0.939544423241921,0.762941770028598,0.753975701514821,0.929685999738207,0.964082516260045,0.956824645234578,0.911548835382337
"hrcA",0.815188603986436,1,0.88324431914333,0.742329500142541,0.674799370244967,0.83817983146476,0.796751997230006,0.782654600730479,0.776932025605152
"dnaK",0.939544423241921,0.88324431914333,1,0.852981200830333,0.833239312334046,0.974854003291098,0.917861937575207,0.885453556580046,0.833395815007402
"groEL",0.762941770028598,0.742329500142541,0.852981200830333,1,0.950389407163232,0.840215220752301,0.719016240757727,0.655850164936488,0.616742698373713
"groES",0.753975701514821,0.674799370244967,0.833239312334046,0.950389407163232,1,0.862090444224943,0.705391394302796,0.635700405492755,0.550567341073812
"grpE",0.929685999738207,0.83817983146476,0.974854003291098,0.840215220752301,0.862090444224943,1,0.893627900971558,0.863530329484368,0.783962936703183
"yqeT",0.964082516260045,0.796751997230006,0.917861937575207,0.719016240757727,0.705391394302796,0.893627900971558,1,0.975833662192956,0.939887374995118
"yqeU",0.956824645234578,0.782654600730479,0.885453556580046,0.655850164936488,0.635700405492755,0.863530329484368,0.975833662192956,1,0.948162027180757
"yqeV",0.911548835382337,0.776932025605152,0.833395815007402,0.616742698373713,0.550567341073812,0.783962936703183,0.939887374995118,0.948162027180757,1
