"","ctaA","yclJ","yclK","resD"
"ctaA",1,0.85163209302022,0.829748711112664,0.785256637965842
"yclJ",0.85163209302022,1,0.967415259451141,0.829457464897531
"yclK",0.829748711112664,0.967415259451141,1,0.809760299492424
"resD",0.785256637965842,0.829457464897531,0.809760299492424,1
