"","spoIIAA","spoIIGA","abrB","sinR","spo0A"
"spoIIAA",1,0.943000285200327,-0.678387427001124,0.171979994942404,0.288775877749842
"spoIIGA",0.943000285200327,1,-0.685488726427528,0.0266963586813275,0.242893413385087
"abrB",-0.678387427001124,-0.685488726427528,1,0.463017062125541,0.214097351489862
"sinR",0.171979994942404,0.0266963586813275,0.463017062125541,1,0.82075386717923
"spo0A",0.288775877749842,0.242893413385087,0.214097351489862,0.82075386717923,1
