"","ansZ","tnrA","codY","gabP","pval","z","inv_cof_var"
"GSM672549",8.439206691,9.887065428,13.68668848,8.424176208,4.40121744219302e-45,14.0405519768737,793.335277490944
"GSM672550",8.581058364,10.22354126,13.61280632,9.034102602,0.412717223894912,0.220560772547183,27.4935618334719
"GSM672551",8.606457249,9.959482156,13.59499257,8.887666543,0.302147030380644,0.518235368343514,43.9893482476441
"GSM672558",8.495408178,9.815632714,14.2572026,8.287225279,0.225701315467431,0.753078687012229,57.0033080556386
"GSM672559",8.631756506,9.987192565,13.74743383,8.474837918,0.13232314911704,1.1154764651924,77.0857619507664
"GSM672560",8.619519331,9.494378067,14.28826431,8.188528253,0.41213688566841,0.222051527439821,27.5761727604778
"GSM672561",8.948910409,10.09135651,13.71233662,9.288671004,0.341138210023646,0.409358731995779,37.9558950606796
"GSM672562",9.10020223,9.723099628,13.59499257,9.222212268,0.0504375222860623,1.64062614387324,106.187193706526
"GSM672563",8.296347212,8.848271747,14.66993086,7.854380669,0.424373942039235,0.190716278889215,25.8397143101254
"GSM672564",8.38036803,9.035304089,14.13102342,8.554138662,0.166537736409653,0.967937723676477,68.9098288942297
"GSM672565",8.715765799,9.708602974,14.49293792,8.397209294,0.340938645505956,0.409902745894475,37.9860418626102
"GSM672566",10.11830706,12.24009331,13.9254487,10.74750632,0.441336231207678,0.147582252181733,23.4494206747335
"GSM672567",9.400621561,12.1703171,13.94646394,9.975315242,0.438554364610111,0.154635439670446,23.8402765824795
"GSM672568",9.625894424,12.15105037,13.95989033,10.06807993,0.384863355855353,0.29273238802402,31.4929879547598
"GSM672581",9.877958736,10.50383271,13.82289926,10.65717695,0.475799432436787,0.0606990793870881,18.6347462562733
"GSM672582",9.92234461,10.98158476,13.7935658,10.24754089,0.302978098212403,0.515854268458216,43.8573984081436
"GSM672583",9.862908178,10.53447063,13.78374796,10.76431338,0.493449569397204,0.01642023241168,16.1810118338979
"GSM672584",10.18469814,10.07056989,13.49133829,10.65360335,0.385338867256335,0.291488504414935,31.4240575232439
"GSM672585",11.44888067,10.98619703,12.99944721,11.04578699,0.331235719898766,0.436503528391911,39.4601375117659
"GSM672586",10.08529814,9.810822305,13.4450803,10.39436654,0.284358448955845,0.569942205303689,46.8547084452977
"GSM672587",10.0693658,10.26606654,13.31143866,10.70406654,0.443517425988657,0.142057165458256,23.1432452341775
"GSM672588",11.39696357,10.76070037,13.2904829,10.87672565,0.393294783644782,0.270741875391204,30.2743727129765
"GSM672589",10.01140335,9.970596283,13.45520892,10.43080074,0.364529970018577,0.34637629181373,34.4656916783349
"GSM672590",9.396359108,9.94911487,13.59499257,10.26731784,0.495008935614313,0.0125110694884075,15.9643836178824
"GSM672591",9.571112639,9.775313755,13.41992007,10.30092751,0.471353142411335,0.0718688439690365,19.2537243398665
"GSM672596",9.158375465,10.35981673,13.25572045,9.785500743,0.456253813641397,0.109876112500983,21.3599161101513
"GSM672597",9.224525279,10.87672565,13.19436877,8.919800372,0.314120637978185,0.48420374978694,42.1034691065771
"GSM672606",8.385220818,10.27239833,14.52939071,8.330726952,0.000137076495120474,3.63857293478793,216.904413097189
"GSM672607",8.427192565,9.92234461,14.6741539,8.873246097,0.413195241140622,0.219333224814756,27.4255366627208
"GSM672618",13.9789632,12.27877435,13.98971487,13.38058216,0.379098013622136,0.307850586304202,32.3307704639788
"GSM672619",14.05355316,12.13645688,14.04023532,13.50399368,0.35782521318607,0.36427800004142,35.457723781655
"GSM672722",8.665937918,9.632133457,13.80104535,8.958167286,0.310661521881007,0.493976120961211,42.6450099364876
"GSM672724",8.450677695,9.735805576,13.57313309,8.341881784,0.0451387830818409,1.69393536342479,109.141350735869
"GSM672725",8.854895539,9.986601859,13.82567398,9.665223792,0.493593732647781,0.0160588210766971,16.1609840442453
"GSM672727",8.825094796,10.1897539,13.93848699,9.386327138,0.444931356489665,0.138477927330052,22.9448999654778
"GSM672733",8.724292565,10.25863271,13.7935658,9.228067658,0.428913809173376,0.179140198907221,25.1982200556845
"GSM672737",8.488292565,9.591734201,13.80104535,8.601725651,0.0497911072026188,1.64688242785811,106.533888808554
"GSM672738",8.468365985,9.778504089,13.43859219,8.958167286,0.429198785919431,0.17841436094563,25.1579973824877
"GSM672739",8.410509294,9.930198141,13.56651933,8.959613011,0.449045452474492,0.128073376548242,22.3683265868426
"GSM672740",9.180263569,9.475285502,12.24164052,9.591734201,0.379587948027916,0.306563162893369,32.259427252601
"GSM672741",9.186043866,9.890813011,12.02798086,8.947592565,0.24359049145131,0.694799465991217,53.7737359123553
"GSM672742",9.140149628,9.750860223,11.97375353,8.756268401,0.374750591363058,0.319297164395859,32.9650883064805
"GSM672745",8.53545948,9.623286617,13.90805539,8.500448327,1.48455859109131e-09,5.93329662818093,344.067672778409
