"","ndh","resD","rex","yjlC","pval","z","inv_cof_var"
"GSM672598",14.84014647,13.86400483,12.94290967,15.08894944,0.496887605203274,0.00780169594216719,85.0595419851442
"GSM672599",15.05480706,13.26346171,13.10802045,15.1469052,0.358742297832357,0.361822609054674,231.881290354948
"GSM672607",14.69077807,11.89925465,11.90566059,14.8536461,0.455414980872374,0.111991732621735,128.269880079342
"GSM672616",12.69635725,13.00544758,12.96003271,12.69237249,7.33916827839497e-27,10.6660176107876,4505.30093778984
"GSM672621",13.47812268,12.72426729,11.73466357,13.7109197,0.499267879019443,0.00183515618038724,82.5850616166241
"GSM672649",13.96823197,11.60768401,12.18972751,14.14860818,0.472703130145014,0.0684765831023398,110.223007433204
"GSM672652",14.64045799,12.44216766,12.00305651,14.64447732,1.13799228243244e-34,12.2253503004848,5151.9970602835
"GSM672653",14.57414535,12.20774981,12.25148216,14.54011041,0.10361907707601,1.26119623679966,604.875098269474
"GSM672691",14.01974312,13.19793569,12.65138587,14.10461152,0.356541474556309,0.367718762160412,234.326579533007
"GSM672746",14.5076632,11.88815149,14.53294684,14.66569628,0.453251376824028,0.117450896383059,130.533938326714
"GSM672768",14.78045019,11.66081524,12.09898662,15.02109257,0.494473557524196,0.0138531800505594,87.5692509998314
"GSM672774",15.190129,11.63192007,11.7060368,15.43592342,0.493957579655856,0.0151466808253901,88.1056996621678
"GSM672803",15.01087881,12.10581004,11.74700781,15.15316729,0.434806689120346,0.164149597384091,149.901113184521
