"","gamA","gamR","gamP","ybgB","pval","z","inv_cof_var"
"GSM672552",9.739531599,9.546230855,9.780388104,8.972713011,0.269712371363628,0.613683123372915,25.5443119323873
"GSM672558",11.06557435,11.15065874,11.17175985,10.37459182,0.191001013626665,0.87421344160738,28.7797698373317
"GSM672559",11.90122937,12.1503,11.64111115,10.81124015,0.433898211471914,0.166458140037643,19.9903417939925
"GSM672560",10.9382052,11.00363941,11.11236022,10.11462639,0.323939856294312,0.456709707329111,23.5949001201775
"GSM672561",8.737226766,9.721840149,8.809375836,8.747633457,0.472694749398864,0.0684976398428959,18.7737959544324
"GSM672562",9.168436059,9.732179926,9.326156134,8.931406691,0.218256740766373,0.778094200330829,27.5860901108685
"GSM672572",8.652879182,9.484101859,8.501655019,8.619519331,0.44815381361756,0.130327116407128,19.5416400581973
"GSM672573",8.745098513,9.358621933,8.622026766,8.675730855,0.262007127066079,0.637169788708611,25.8359866884622
"GSM672574",8.645266171,9.329881041,8.64275539,8.62324461,0.272926797889201,0.603985028778173,25.42387383124
"GSM672577",7.679235688,7.967410409,7.510104647,7.980317472,0.0991198138964425,1.28658312723555,33.900881146628
"GSM672578",7.546432714,8.241036059,7.47696803,7.815310781,0.358132575101157,0.363454829110755,22.4367921696292
"GSM672579",7.6393,8.20664052,7.500678067,8.001172491,0.307892124742436,0.501834063948493,24.1552877070008
"GSM672580",7.610263941,8.165575836,7.436165428,8.053842379,0.359310071844065,0.360303551542669,22.3976572774316
"GSM672598",11.33291115,11.19509517,11.25813941,10.16879219,0.433691747680388,0.166982910768711,19.9968587844972
"GSM672599",11.23069257,11.09734126,11.2352461,10.31040186,0.291484937117125,0.549051840197561,24.741672924868
"GSM672603",10.60737249,11.17542156,10.51419851,9.954214126,0.398265786239807,0.257838470998082,21.1251702322563
"GSM672604",10.6382342,11.173071,10.6097052,9.94911487,0.397889549293023,0.258813555228298,21.1372795483697
"GSM672605",10.60167435,11.24473197,10.56183123,10.15888587,0.320836344173876,0.46536137664531,23.7023429393847
"GSM672608",10.89689591,11.31913494,11.13242119,10.53330372,0.122158220026953,1.16426548322152,32.3818503062971
"GSM672609",11.29289665,11.47787249,11.23750149,10.21334517,0.453575909946475,0.116631821506685,19.3715617715454
"GSM672610",9.996260595,10.00068439,10.1606119,9.040770446,0.460522388291213,0.0991177530743772,19.1540591348425
"GSM672611",10.16996877,10.07311375,10.17985465,9.092923048,0.472724292361447,0.0684234128761114,18.772874149139
"GSM672618",8.558926394,8.421766914,8.238844238,8.326605204,0.000247400201580749,3.48355556240692,61.1845074074419
"GSM672619",8.439837918,8.511257993,8.154679926,8.502789963,0.00489123523327202,2.58342510277678,50.006022573786
"GSM672620",7.968440892,8.254450186,7.779197026,8.008369145,0.0318199720333693,1.85469394395832,40.9561008435382
"GSM672621",7.936965242,8.277677695,7.787331599,8.132902602,0.0596694994893819,1.5575540477516,37.2659981615494
"GSM672648",8.561458364,8.814584758,8.351857993,8.094953903,0.217139170615255,0.781891499283066,27.6332477737298
"GSM672649",8.660651673,8.821174721,8.614675465,8.263677323,0.0666168196009582,1.50147155242052,36.5695243151364
"GSM672650",8.661983643,9.011796654,8.519863197,8.310448699,0.18093689682225,0.911800411639184,29.2465525908186
"GSM672661",9.936259851,9.681794424,9.930198141,8.980534201,0.390080111401184,0.27911024274356,21.3893388039315
"GSM672662",9.326156134,9.208952416,9.374982156,8.356741636,0.466996009523959,0.0828233289342604,18.951702941721
