"","cgeC","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","gerE","gerR","spoIIID"
"yfnF",0.978855990673465,0.904285021248664,0.700898841663008,0.951112160842308,0.956747737180506,0.954326912401637,0.958338956595905,-0.570618611551229,0.931495703840086,0.965377383495382,0.967737193826014,0.967969768728084,0.967480542064915,0.971606517887139,0.969210202808199,0.970453434278642,0.966320649042435,0.961326359580897,0.955692954045873,0.956388374431181,0.944361613610467,0.952486519976504,0.922721304926404,0.982171633702269,0.987413292312633,1,0.998692746411033,0.997912889023649,0.935321611651849,0.939999507404224,0.887633140049428,0.877753793477484,0.927337645252318,0.978556730062309,0.892367561885238,0.946406487163183,0.96324564806787,0.911772959480015,0.933651223498059,0.804425163857516,0.797787953045621
"yfnG",0.981308829675909,0.908881512224551,0.708349739058078,0.953608574588703,0.961671999535733,0.960120198694247,0.954768711209844,-0.566314663048741,0.937015618736023,0.969792937794659,0.971350177725933,0.97195366345926,0.970872930753875,0.974773239536372,0.972355098150537,0.9737712024311,0.970001510638556,0.964472955674141,0.959127250796639,0.959955936049194,0.948991059228414,0.956622432619686,0.92936429579718,0.983783498760294,0.989454562249879,0.998692746411033,1,0.998311579879405,0.940605993079357,0.938688572956017,0.89605656765919,0.886117906284355,0.933249492106346,0.976557905556944,0.900660499615364,0.952899309885004,0.966503133823039,0.918479105270754,0.937120521728672,0.810162653641448,0.802354779562991
"yfnH",0.980588822500826,0.901938546635214,0.700334628236126,0.946893005838782,0.955658322656521,0.954233740202987,0.956990391591033,-0.560607617630246,0.937185674629761,0.966213339426878,0.96666369567353,0.967490436822375,0.966642445623942,0.969906762559665,0.967257294988182,0.969410661551879,0.964885286597664,0.959465213388306,0.954294378891979,0.95551584918063,0.947987136201137,0.957482971413828,0.92494462733143,0.980942738995712,0.987490795378933,0.997912889023649,0.998311579879405,1,0.933545378370621,0.936642237310084,0.888194573780199,0.879062335448482,0.930051468872887,0.975629491921601,0.891889610717317,0.947415766303975,0.966783845740629,0.916270864143189,0.933466487032625,0.805357537614851,0.797898498840583
"yjzB",0.914546939064751,0.895853879627086,0.716181086052259,0.965479299767507,0.977148433753625,0.974380813879739,0.873646199939393,-0.594851055683493,0.881424797359162,0.954956317549496,0.958050419479475,0.962757814005812,0.958665584236557,0.962434787662768,0.961843096695475,0.958714240513876,0.962724373040656,0.961588558021258,0.962470898978136,0.962197816034028,0.913695428928189,0.875500553926379,0.932571824775663,0.959806022287121,0.954040849137979,0.935321611651849,0.940605993079357,0.933545378370621,1,0.929382951060965,0.959902508624601,0.959414915270714,0.921526338468462,0.91559565882776,0.961542649776048,0.979510273907548,0.889849626924225,0.899289145853068,0.941934370972075,0.835191333960362,0.801045560971334
"ykzQ",0.897736120343077,0.864923239226457,0.66700326127189,0.932956191635192,0.927481674362316,0.919559049504627,0.907473502883732,-0.593363326549505,0.846502386353047,0.916747111433417,0.9231998806474,0.926097562487007,0.925734124379885,0.932670053871505,0.931792668492867,0.933496296430633,0.937651389016206,0.928952656982789,0.928675855142631,0.925140654454331,0.878636135806701,0.856303145804609,0.876911795045657,0.939235518187419,0.936271410670001,0.939999507404224,0.938688572956017,0.936642237310084,0.929382951060965,1,0.905483199649166,0.902862353926417,0.87332928419803,0.916064983874425,0.89429127249156,0.918395773468471,0.873710924984147,0.847900641884201,0.881700163250009,0.761218117913151,0.746044751388546
"ylbD",0.887820001360851,0.851731943529637,0.665978433268333,0.948137440437716,0.972439330107052,0.972263800610112,0.806984992053739,-0.580927683485807,0.882517461341695,0.951775605685158,0.952102245781677,0.956892663463072,0.954646730649588,0.957623944508557,0.95833343631967,0.957665131674754,0.959422905177636,0.958352129622638,0.962512284615327,0.959878948848863,0.913588985318848,0.84129293130327,0.946084552115925,0.932319314127399,0.935039504657943,0.887633140049428,0.89605656765919,0.888194573780199,0.959902508624601,0.905483199649166,1,0.994809730317689,0.935793122936425,0.865550137919144,0.986530911128031,0.972349704137802,0.851887229760204,0.91959969920057,0.932984733842688,0.832535434147944,0.808854579344337
"ylbE",0.872687768608902,0.851223088547884,0.674715958915365,0.939991544398226,0.964549785157979,0.963022307800442,0.806091111871941,-0.580645465482911,0.866907871114903,0.944025754529737,0.946061189574919,0.951893218377522,0.948941903539128,0.949942151348075,0.950663234170327,0.948789442099147,0.950765087198637,0.950881162483255,0.954826786287762,0.953616431467978,0.901504168040334,0.824232080610873,0.938400566244334,0.924439910843173,0.926639122378509,0.877753793477484,0.886117906284355,0.879062335448482,0.959414915270714,0.902862353926417,0.994809730317689,1,0.92461530714805,0.858241041017875,0.986999664131497,0.964666452373397,0.836137373804373,0.906274919910614,0.929881467729605,0.836016462198898,0.805899041920234
"ymaG",0.961854003006993,0.849521365327016,0.658280060702211,0.929463043633856,0.962529317510793,0.967681682237957,0.864836468922234,-0.548753586171687,0.973611611902627,0.979651204853839,0.974608492381196,0.965997149639706,0.967530621810714,0.968008496971198,0.966773658057751,0.968714568719017,0.957211569574055,0.956880319120667,0.958810646772117,0.964564577745598,0.987411215099721,0.924651942305359,0.982391171830463,0.955070036842867,0.964741782202318,0.927337645252318,0.933249492106346,0.930051468872887,0.921526338468462,0.87332928419803,0.935793122936425,0.92461530714805,1,0.914533255803624,0.937166033193707,0.953083349516925,0.930548433404577,0.992426485524123,0.937784886069114,0.852625852992702,0.871786512855951
"yodU",0.968031751405703,0.908621150396248,0.706345890238428,0.933030223465558,0.940996272870851,0.936697963365905,0.948666502882074,-0.649153832229931,0.916852534427283,0.95068372837511,0.954004283744635,0.950889424991968,0.951050902114156,0.952162084624215,0.950638492348839,0.951042860330718,0.938566811601409,0.939678636158246,0.937634982655054,0.941289805452024,0.932139208907132,0.937037569142413,0.91800520337784,0.951233376609045,0.968713516027066,0.978556730062309,0.976557905556944,0.975629491921601,0.91559565882776,0.916064983874425,0.865550137919144,0.858241041017875,0.914533255803624,1,0.869856072642073,0.931575828178688,0.947493939356464,0.901042897752906,0.920577575660209,0.804085306735742,0.803287163374614
"yppG",0.889884346468631,0.859543996331934,0.676360186117732,0.950723415101572,0.968562086696835,0.967791955200643,0.820105768687016,-0.595370754832402,0.890512553730439,0.956520251910634,0.959692436180122,0.962144939953092,0.961546346243044,0.962021298380879,0.963715571073249,0.959652797625521,0.960708229500531,0.96471371440894,0.96616348008838,0.968124072462557,0.91841179895904,0.847531361952471,0.943518158790911,0.935427561508572,0.93767720539995,0.892367561885238,0.900660499615364,0.891889610717317,0.961542649776048,0.89429127249156,0.986530911128031,0.986999664131497,0.937166033193707,0.869856072642073,1,0.965842801810179,0.85914137626821,0.922964349044889,0.939939961936139,0.864582037546541,0.847290668159259
"ytxO",0.945647832601792,0.908466654369654,0.716805682380625,0.975332390324023,0.994586029991409,0.994430409061444,0.873949769868088,-0.594068265091723,0.916093526330314,0.97631080487633,0.975646850272113,0.981211512746198,0.97770477529083,0.980122741271005,0.979192494150302,0.980057773684239,0.979749342615955,0.978236884464809,0.980364627682513,0.978202864086056,0.942794904967319,0.898916311229283,0.960559944513693,0.970784024842893,0.974193521906098,0.946406487163183,0.952899309885004,0.947415766303975,0.979510273907548,0.918395773468471,0.972349704137802,0.964666452373397,0.953083349516925,0.931575828178688,0.965842801810179,1,0.908633114709504,0.93790274662288,0.956484540022292,0.845026123461459,0.817253250208568
"yurS",0.982199593499025,0.85703587587236,0.678411919684234,0.895418612956004,0.920348940968089,0.923758826550025,0.907241207832378,-0.549606575426037,0.970944520123756,0.947208154236358,0.941063088077017,0.932659697990223,0.932363316435791,0.937547782089458,0.934573002133636,0.93778571233438,0.923743470099088,0.918636108402803,0.915464942126857,0.922723969062123,0.963154830375554,0.99799823841629,0.910707476378988,0.945744621111148,0.957524873996491,0.96324564806787,0.966503133823039,0.966783845740629,0.889849626924225,0.873710924984147,0.851887229760204,0.836137373804373,0.930548433404577,0.947493939356464,0.85914137626821,0.908633114709504,1,0.923916474630068,0.90350563379758,0.787061701012231,0.804355690762244
"yxeE",0.953037690292491,0.827996695302601,0.637232882282766,0.912746149363335,0.944835045310065,0.95144556030785,0.854051752632456,-0.539656329736878,0.974997408930805,0.971449785554528,0.964248157349654,0.954604922821505,0.956722931852841,0.955296377835129,0.954436768816892,0.957586793299316,0.942125125129197,0.943328142231989,0.945249612396223,0.95191125987208,0.982936082373987,0.919921431976658,0.978344139532596,0.937596752497088,0.950602727593533,0.911772959480015,0.918479105270754,0.916270864143189,0.899289145853068,0.847900641884201,0.91959969920057,0.906274919910614,0.992426485524123,0.901042897752906,0.922964349044889,0.93790274662288,0.923916474630068,1,0.919171831487443,0.846785342846135,0.879159759455434
"gerE",0.929154940331441,0.878724506831647,0.673448181058954,0.933745263285765,0.967712773931641,0.966108465322244,0.863414349127429,-0.554084203870828,0.909249379653941,0.957755901913622,0.958837798139599,0.958596035728944,0.959501159410984,0.962679177086325,0.963100408215146,0.958105345425635,0.957849074363469,0.952274045479175,0.94937740743529,0.949476250231265,0.931840184373022,0.891857658643448,0.94199247790741,0.94829993147344,0.957887077548675,0.933651223498059,0.937120521728672,0.933466487032625,0.941934370972075,0.881700163250009,0.932984733842688,0.929881467729605,0.937784886069114,0.920577575660209,0.939939961936139,0.956484540022292,0.90350563379758,0.919171831487443,1,0.811035236593792,0.79531325513382
"gerR",0.826379359737617,0.749947693609617,0.520580940416911,0.840390048693539,0.845277905591691,0.848020387349161,0.769292407140403,-0.661411010332945,0.821320333838728,0.858720511271218,0.857424630772157,0.850298301792779,0.850714195033935,0.849650911426576,0.851655985265599,0.848215117416551,0.826750541158855,0.881467439106365,0.887262348416696,0.893948824564766,0.844095327333289,0.776635722650343,0.862989729135748,0.836729589987846,0.840526894756373,0.804425163857516,0.810162653641448,0.805357537614851,0.835191333960362,0.761218117913151,0.832535434147944,0.836016462198898,0.852625852992702,0.804085306735742,0.864582037546541,0.845026123461459,0.787061701012231,0.846785342846135,0.811035236593792,1,0.962090538302055
