"","ykoL","phoP","tnrA","ykzB","pval","z","inv_cof_var"
"GSM672728",8.021720446,14.89745725,10.71478104,7.984951301,0.458131253458444,0.105142788774956,307.824023009804
"GSM672739",8.050930112,11.42134944,9.930198141,8.038151301,0.179115003663919,0.918743010423083,890.278334204516
"GSM672744",9.184917472,11.40524758,9.617849071,9.15257658,0.407025423791115,0.235203425272457,400.934098977139
"GSM672748",7.881148327,11.15801487,9.378848327,7.909552788,0.41127891673503,0.224256356932436,393.097120839803
"GSM672750",8.743177695,11.01554164,9.898328625,8.723092565,0.296638514004957,0.534093237817323,614.908548905729
"GSM672751",8.923778439,11.10790929,9.841120818,8.908772305,0.197963425135227,0.848918129138155,840.290880844831
"GSM672762",7.923060595,11.75077844,10.47263569,7.956737175,0.443971480018677,0.140907572260915,333.427939744418
"GSM672765",8.03609145,11.38389442,10.45007435,8.004846283,0.42769532159301,0.182244765772433,363.021130518998
"GSM672773",8.219395353,11.70737026,10.47503271,8.204286617,0.22697572545131,0.74884364389655,768.647813625051
"GSM672777",7.980865428,12.19544498,10.31709591,8.018659851,0.46283597791618,0.0932915362768647,299.339741753603
"GSM672778",8.106679554,11.45127844,10.68536877,8.121063569,0.214914240072267,0.789485193845958,797.742994958354
"GSM672782",8.225892565,11.47313457,10.60271673,8.198600743,0.393741812039752,0.269579693885689,425.54398147693
"GSM672784",8.303515613,11.50287249,10.71119851,8.302290706,2.59274963855805e-39,13.0654822146276,9586.0977651714
"GSM672790",8.089177881,11.87109368,10.72286952,8.04244052,0.493586952517131,0.0160758185377708,244.061207539313
"GSM672791",7.839541636,11.77321896,10.26606654,7.881148327,0.480714580121013,0.0483602222439585,267.173529319324
"GSM672794",7.925253903,11.51009108,10.24892193,7.970501487,0.491163440178511,0.0221517822176352,248.410974348411
"GSM672796",7.873057621,11.71601041,10.47734089,7.825569888,0.499328630336201,0.00168287497634513,233.757336172179
"GSM672800",8.019628996,11.8141171,10.228229,8.053842379,0.444649492776852,0.139191296991267,332.199262682386
"GSM672802",8.253332714,11.6026777,10.43080074,8.20664052,0.490684915692537,0.023351575785915,249.269903485589
"GSM672804",8.048455948,11.33772937,10.17617398,8.013526394,0.448539471816038,0.129352231691499,325.155501078723
"GSM672805",8.065120818,11.45388848,9.906015985,8.033117472,0.43171873698048,0.172000070007057,355.686979105748
"GSM672806",7.862695167,11.63809963,9.933688848,7.823384758,0.472379076741151,0.0692907939596439,282.157671908267
"GSM672813",7.966381413,11.5471777,10.08286914,7.978735688,0.171064516059621,0.949966977679678,912.631492251063
"GSM672816",8.029918216,11.7049197,10.09491599,7.9902,0.470683838615477,0.0735509806153817,285.207528604596
