"","ykoL","phoP","tnrA","ykzB","pval","z","inv_cof_var"
"GSM672550",8.223567658,11.72728216,10.22354126,8.257919703,0.440757139379181,0.149049873930574,339.256992618732
"GSM672552",8.137688104,14.66175056,11.33878662,8.161189963,0.359364496114808,0.360157985214716,490.38874783942
"GSM672554",7.653642379,13.30585762,10.01624201,7.617057249,0.465162547035016,0.0874358251332073,295.147653170066
"GSM672556",7.641281413,13.31737249,10.67985911,7.648112639,0.0296583241098471,1.8858390404546,1582.61990079121
"GSM672557",7.583214498,13.70641859,10.73932156,7.55290223,0.433147082839561,0.168367510997584,353.086439431052
"GSM672558",8.870406691,11.3258513,9.815632714,8.900716729,0.399642938860906,0.254271420205908,414.58482762656
"GSM672560",8.204286617,11.21533234,9.494378067,8.193048327,0.132146254220309,1.11630288192107,1031.7109393235
"GSM672561",7.993636989,12.33601004,10.09135651,7.989667658,0.000129893018649971,3.65241456799259,2847.30678838966
"GSM672564",10.17751747,11.63497546,9.035304089,10.13176691,0.454768794345266,0.11362182103031,313.894140446456
"GSM672572",8.341881784,12.09219442,11.37209145,8.316217472,0.375900447745385,0.316265631385688,458.9663243494
"GSM672587",9.502141264,13.04114164,10.26606654,9.505805576,7.98175356063424e-07,4.79877993917909,3667.98681635145
"GSM672603",9.092923048,11.29171004,10.41699888,9.07303197,0.281896557747951,0.577216643083238,645.780484092334
"GSM672604",9.142577323,11.29765019,10.45131152,9.108434572,0.419510595987812,0.203145650026932,377.984019930648
"GSM672605",9.363047212,11.15365539,10.38173197,9.326156134,0.430326244063002,0.175543633918983,358.223807418447
"GSM672624",7.82287658,11.4235684,10.24510112,7.851584015,0.415093458640202,0.214461845939656,386.085255550199
"GSM672627",7.977637546,11.79868662,10.14274461,7.930322305,0.4971104362208,0.00724312560231846,237.737905329179
"GSM672628",7.97259145,11.79619814,10.40029442,8.020653532,0.498469846378223,0.00383553573716357,235.29842048769
"GSM672629",7.859383271,11.63251747,10.41638848,7.856371375,6.86164188428386e-07,4.82898196177896,3689.60836684029
"GSM672635",7.900626766,11.1778052,9.970596283,7.884095539,0.268196243219906,0.618277415708158,675.175785863422
"GSM672641",8.001172491,11.44184461,10.35518699,7.980865428,0.325449336878335,0.452514089059208,556.506245620333
"GSM672642",7.66315539,12.32020335,10.09075093,7.694331227,0.435763504138725,0.161719169368376,348.32690871659
"GSM672663",7.706005204,12.38049331,9.636028996,7.737766543,0.438239972117522,0.155433032754774,343.826679643478
"GSM672666",7.905511896,11.52692491,10.45909944,7.866197398,0.471539260180906,0.0714011173534122,283.668447011334
"GSM672667",8.005370632,11.01674572,10.62915149,7.994171375,0.138685904011001,1.0862422983931,1010.19064470334
"GSM672669",8.105662082,11.25331078,11.57569219,8.110748699,0.002370924946412,2.82406681336236,2254.29475617133
"GSM672679",7.904584015,14.11600446,11.98454572,7.874073978,0.426233404792094,0.185971884522438,365.689365269325
"GSM672681",7.485827881,13.74295651,11.37323197,7.467078439,0.32172568321711,0.462878629459942,563.926193500547
"GSM672682",7.515012639,13.57540669,11.50065985,7.55949145,0.496045727626108,0.00991205324348566,239.648583779728
"GSM672706",8.140407807,11.49708959,9.753242379,8.121063569,0.30661316525404,0.505473465831158,594.419727571606
"GSM672712",9.243945353,9.727094424,12.79327175,9.230539033,0.15003552869249,1.0362810217035,974.423494908686
"GSM672713",7.576928996,12.20774981,9.143704089,7.550502416,0.404946996967417,0.240562788253992,404.77085318491
"GSM672715",7.594366171,12.21031896,8.952978439,7.575073978,0.3257052163985,0.451803660009284,555.997651286266
"GSM672723",7.982855019,14.3392342,10.61667584,7.975606691,0.0321712310815032,1.8497994362117,1556.81924058182
"GSM672724",8.274050558,11.70866914,9.735805576,8.299976952,0.379580780718579,0.306581993098255,452.033832545083
"GSM672725",8.055976952,12.58472156,9.986601859,8.097211524,0.475246339313651,0.0620880936110533,277.001277208937
