"","yfmI","yfmJ","yqcF","yqcG","abrB","spo0A"
"yfmI",1,0.717821748551386,0.769122124645471,0.755466676127913,-0.477758111614672,0.718297389923818
"yfmJ",0.717821748551386,1,0.620176524269388,0.623334050277656,-0.223351017258238,0.722255988616135
"yqcF",0.769122124645471,0.620176524269388,1,0.884875172609637,-0.343926035672454,0.539608488126545
"yqcG",0.755466676127913,0.623334050277656,0.884875172609637,1,-0.481174501494487,0.508857550609471
"abrB",-0.477758111614672,-0.223351017258238,-0.343926035672454,-0.481174501494487,1,-0.398850984443028
"spo0A",0.718297389923818,0.722255988616135,0.539608488126545,0.508857550609471,-0.398850984443028,1
