"","fabF","fabHA","fabHB","fabI","plsC","yhdN","fapR"
"fabF",1,0.95502459932532,0.739253153151879,0.787388630687981,0.565868000971203,0.155687595156456,0.760792160474637
"fabHA",0.95502459932532,1,0.717707073638575,0.770768736246748,0.604108874283345,0.117783725246326,0.785873183355665
"fabHB",0.739253153151879,0.717707073638575,1,0.521261629547469,0.469769742753435,0.0499016601241077,0.480796337490184
"fabI",0.787388630687981,0.770768736246748,0.521261629547469,1,0.688175712434357,0.106702893819709,0.779461323161148
"plsC",0.565868000971203,0.604108874283345,0.469769742753435,0.688175712434357,1,0.441717537801281,0.703286964018423
"yhdN",0.155687595156456,0.117783725246326,0.0499016601241077,0.106702893819709,0.441717537801281,1,0.147854185190005
"fapR",0.760792160474637,0.785873183355665,0.480796337490184,0.779461323161148,0.703286964018423,0.147854185190005,1
