"","fatR","yrhJ","pval","z","inv_cof_var"
"GSM672550",11.07624796,11.09271227,0.0651190605675074,1.51316354718292,952.109266072368
"GSM672553",11.19026506,11.11351933,0.46359499140429,0.091380843399775,205.4988230393
"GSM672554",11.24241227,11.18137621,0.42279377447073,0.194751427990375,259.781068668268
"GSM672558",10.92615725,10.83579108,0.49029750257414,0.0243229524368797,170.285198940869
"GSM672561",10.76773309,10.68093011,0.486927275059653,0.032774328476928,174.723208766639
"GSM672563",9.655317472,9.725816729,0.47200489570791,0.070231011794896,194.392565309073
"GSM672564",10.14157732,10.21035353,0.460762766390388,0.0985122656170064,209.243695084019
"GSM672574",9.082944981,9.136124535,0.435901150439287,0.161369609729177,242.251516469521
"GSM672577",8.690523792,8.760095167,0.484922353372018,0.0378030572992173,177.363908673813
"GSM672585",10.99196914,10.90858253,0.478585682037287,0.0537035378505149,185.713612744101
"GSM672587",8.241036059,8.249947584,0.0141941703164381,2.1918776730714,1308.51749418912
"GSM672610",10.11346208,10.13419145,0.154979157489025,1.01530950493535,690.674782406745
"GSM672622",9.481560223,9.453789963,0.268220334542058,0.618204310390089,482.145810686048
"GSM672639",9.108434572,9.103892193,1.7076430002407e-07,5.09895784132091,2835.09142603831
"GSM672645",9.292084387,9.281081041,0.0242493668308608,1.97297216546623,1193.56523208846
"GSM672658",10.97369777,10.90736766,0.44265174696306,0.144249449813513,233.261331017539
"GSM672659",10.4978948,10.56992156,0.462589050271021,0.0939132095127162,206.828626096036
"GSM672667",9.744597026,9.784247584,0.358206625965597,0.363256544301736,348.266938701578
"GSM672668",10.03850483,9.952976208,0.494099795466767,0.0147901587129804,165.279312087269
"GSM672683",9.461452788,9.545039405,0.497512660590836,0.00623487568680177,160.786738339219
"GSM672686",9.475285502,9.477910781,2.22347465672172e-21,9.42149864085118,5104.95593682367
"GSM672688",9.313763941,9.359849442,0.402971395592239,0.245663419927487,286.516113872237
"GSM672691",9.447581784,9.46970539,0.197260169651822,0.851448356958157,604.627565795069
"GSM672726",11.21293494,11.20221599,0.005936065440855,2.51592243101185,1478.68076853808
"GSM672731",10.52528401,10.44165911,0.484978379777926,0.0376625199155437,177.290109296449
"GSM672735",9.608845725,9.585373606,0.211512142353074,0.80118546467941,578.233377588598
"GSM672742",9.937569888,9.890813011,0.39316272377713,0.271085273685991,299.865707622994
"GSM672758",9.259670632,9.250950186,0.00525870409120827,2.55833710502715,1500.953678789
"GSM672759",9.328658364,9.326156134,1.02797345730021e-22,9.73898643122266,5271.67599833244
"GSM672761",9.265012082,9.270202602,3.26344934516403e-06,4.50856040547479,2525.06030105011
"GSM672768",9.414117472,9.352210781,0.456902925759047,0.108239324780936,214.351595139679
"GSM672770",9.505805576,9.433663197,0.478644517205688,0.0535558477173248,185.636057295242
"GSM672772",9.224525279,9.199481413,0.244887878647585,0.690665528035873,520.196844550281
"GSM672790",9.286335316,9.344704833,0.448340700172275,0.129854680478589,225.702310161602
"GSM672791",9.604932714,9.543722677,0.451728329435985,0.121295910727145,221.207905454793
"GSM672794",9.352210781,9.293330483,0.449684790654405,0.126457762384987,223.918511191434
"GSM672800",9.678159108,9.636028996,0.375484206564178,0.31736269126074,324.167032393632
"GSM672814",9.90340855,9.847455762,0.430394967560698,0.175368697578048,249.602755975455
