"","ytrA","ytrB","ytrC","ytrD","ytrE","ytrF","ywoB","ywoC","ywoD"
"ytrA",1,0.976132863114514,0.953529764255031,0.94491500493001,0.928957189343217,0.887040552307111,0.883395088467266,0.538832979775858,0.586045538337968
"ytrB",0.976132863114514,1,0.986809382334728,0.977889116565582,0.962436768402396,0.932577464443423,0.893772654529869,0.582911584704038,0.63314194735289
"ytrC",0.953529764255031,0.986809382334728,1,0.989823944167122,0.96815184395808,0.943035896706642,0.885186295953346,0.575447231165855,0.635256319876325
"ytrD",0.94491500493001,0.977889116565582,0.989823944167122,1,0.970277568171895,0.940938468310079,0.902801192771818,0.571387257594204,0.644974002967903
"ytrE",0.928957189343217,0.962436768402396,0.96815184395808,0.970277568171895,1,0.972753186574382,0.853824783397817,0.470136955652912,0.53301203937121
"ytrF",0.887040552307111,0.932577464443423,0.943035896706642,0.940938468310079,0.972753186574382,1,0.821508231599019,0.418028433669844,0.477795505895957
"ywoB",0.883395088467266,0.893772654529869,0.885186295953346,0.902801192771818,0.853824783397817,0.821508231599019,1,0.652649983519805,0.717495651516011
"ywoC",0.538832979775858,0.582911584704038,0.575447231165855,0.571387257594204,0.470136955652912,0.418028433669844,0.652649983519805,1,0.966035130147452
"ywoD",0.586045538337968,0.63314194735289,0.635256319876325,0.644974002967903,0.53301203937121,0.477795505895957,0.717495651516011,0.966035130147452,1
