"","iolR","iolS","iolT","pval","z","inv_cof_var"
"GSM672553",13.95421375,14.20152714,12.92150372,0.185157563092033,0.895883240244612,20.1660410601798
"GSM672554",13.37626729,13.98971487,12.05809554,0.3349018287682,0.426417492171401,13.3144083980473
"GSM672570",11.96963309,12.43328327,9.596961338,0.490219013865178,0.0245197531317825,7.44889917412056
"GSM672581",10.67029442,11.07444944,8.760095167,0.469014037127312,0.0777485492310062,8.22574851705188
"GSM672582",11.07978216,11.34097472,8.898016357,0.481105557947268,0.0473790626094936,7.78252008702869
"GSM672583",10.68536877,11.03757584,8.684418216,0.475552523615043,0.0613191409267714,7.98596899954967
"GSM672584",10.77595948,11.27260967,9.769912639,0.321558795248293,0.46334430885254,13.853337988373
"GSM672585",11.14255428,11.62122007,11.34212082,0.00294366191057807,2.7539918277092,47.2842654246034
"GSM672586",10.93322082,11.21065762,8.990778439,0.459361539904859,0.102042325127799,8.58030479534086
"GSM672587",10.70532379,11.31439294,9.205351301,0.432045835836631,0.171167995874085,9.58916157652444
"GSM672588",11.11124164,11.63750186,11.2654855,0.00852250665457771,2.38573532600703,41.9097342996793
"GSM672589",10.65717695,11.30602491,9.004359108,0.456161640103155,0.110108559160641,8.69802770225507
"GSM672591",10.50714535,11.01436617,8.464214126,0.491441035922358,0.0214557874431064,7.4041820302728
"GSM672592",10.3433171,10.84913197,8.267745353,0.497601920388616,0.00601113035923458,7.17877449550459
"GSM672597",9.243945353,10.29585874,8.56395316,0.401395172038125,0.24973751548772,10.7358469077595
"GSM672610",12.08006543,12.98028141,11.6386974,0.229645841596044,0.740013697220138,17.8911981000676
"GSM672611",12.11672937,13.0393197,11.59519071,0.254002525849241,0.661947214100097,16.7518543507986
"GSM672616",11.31089517,13.05512156,10.18349442,0.476263445421936,0.0595338676222972,7.95991377201929
"GSM672617",11.47546394,12.84668736,10.18716803,0.457490862378863,0.10675704628631,8.64911394194013
"GSM672674",11.98993309,12.91651264,10.48577063,0.431302503625453,0.1730590567809,9.61676072455258
"GSM672675",11.8387684,12.66355688,9.655317472,0.493608788573347,0.0160210766128341,7.32486497170832
"GSM672723",14.08497249,14.26946022,11.11879647,0.490424653463364,0.0240041393612393,7.44137403268948
"GSM672728",13.47410706,13.6722223,13.35817584,4.65905461541639e-08,5.33954314665491,85.0191756693135
"GSM672729",13.7405171,13.95421375,13.77875762,2.50678579862093e-15,7.8265707654872,121.316178666345
"GSM672730",14.90230818,14.72338401,15.25573643,0.00048675590044464,3.2980719655927,55.2248601513541
"GSM672732",14.07336952,14.26946022,11.06917918,0.493634691008666,0.0159561405366162,7.32391726009658
"GSM672734",14.04023532,14.31640743,14.16068439,3.34369880949952e-11,6.527505671799,102.356932198033
"GSM672735",13.94646394,14.34591822,13.87415316,0.000475788690100535,3.30446534964728,55.3181685965169
"GSM672736",14.84428699,14.84911041,14.66993086,1.87193527341543e-21,9.43954907957436,144.856841527201
