"","yqaF","sknR","yqaG","yqaH","yqaI","yqaJ","yqaK","yqaL","yqaM","yqaN","yqdA","yqzO","pval","z","inv_cof_var"
"GSM672793",7.263282528,11.84635353,7.061997398,7.013033457,7.101850929,7.174947026,7.203504833,7.275887175,7.360777323,7.418300743,7.124948327,7.426362454,0.226351192604243,0.750917371258607,51.0795857254661
"GSM672794",7.436599814,12.23849145,6.8905,7.10982342,7.344720818,7.253958364,7.232099628,7.213489591,7.21709368,7.527495539,7.064322677,7.287647584,0.448267320364298,0.130040175956473,41.3807895471506
"GSM672796",7.327306506,11.64984052,7.022507807,7.075526766,7.303023978,7.265292565,7.283749814,7.266283271,7.402683457,7.517730112,7.200604461,7.444192193,0.256959287989626,0.652748273165026,49.5460746211399
"GSM672798",7.326832714,11.8141171,6.914249814,6.956875093,7.098571004,7.166906691,7.222447955,7.066749814,7.216507249,7.371171004,7.031287732,7.216507249,0.263910651874146,0.631335310374024,49.2115801941338
"GSM672799",7.248830483,11.79090335,6.939026766,6.842628253,7.077814498,7.127989963,7.156690706,7.103652416,7.234244238,7.279125651,7.05796171,7.340056877,0.287861464268681,0.559643058911622,48.091667045834
"GSM672800",7.27675632,11.85680372,7.047502974,6.965320818,7.129661338,7.214778439,7.243707063,7.233129368,7.21919368,7.311718959,6.939026766,7.386197398,0.240155655028467,0.705801948694939,50.3748323680317
"GSM672801",7.361776952,11.66081524,7.103652416,7.115281784,7.304376952,7.353961152,7.391549442,7.338213011,7.40575539,7.455511152,7.251828625,7.482289963,0.103623541364441,1.26117144926947,59.0503250910396
"GSM672802",7.439755019,11.73466357,7.047502974,6.928560223,7.314648699,7.345710781,7.337719888,7.233129368,7.218219331,7.384224535,7.034201115,7.231006691,0.368163046886142,0.336722508701036,44.6093987376892
"GSM672803",7.284734201,11.38512714,7.111310409,7.228956877,7.18144684,7.319405948,7.236266543,7.34665948,7.230496283,7.342844981,7.079829368,7.185085502,0.00335755422355213,2.71065189130185,81.6928306913388
"GSM672804",7.219695725,11.67069814,7.001856877,6.914249814,7.193237918,7.256120446,7.215920818,7.226811896,7.279613197,7.325028996,7.095920446,7.327780297,0.163114143568809,0.981739323838679,54.6852827755333
"GSM672805",7.170605948,11.67967361,6.965320818,6.956875093,7.089604089,7.222447955,7.17327026,7.237896283,7.310779182,7.332467658,7.009724907,7.40575539,0.302665102996039,0.516750689835876,47.4216402701391
"GSM672806",7.501630112,11.79238513,7.022507807,7.064322677,7.136520074,7.274337546,7.256120446,7.332940706,7.371171004,7.398698141,7.135171747,7.422534201,0.330260188984146,0.439194820184083,46.2101308478633
"GSM672807",7.302495911,12.01111041,6.939026766,6.956875093,7.174337918,7.229985874,7.307651301,7.272425279,7.301544238,7.437034201,7.028367658,7.397816729,0.42219131067524,0.196290723988516,42.415697201879
"GSM672809",7.417417844,12.30192082,7.015959108,7.257305576,7.291402602,7.312733086,7.413121933,7.359909665,7.428180669,7.45163513,7.338213011,7.497289219,0.142089074355944,1.07098060890875,56.0793314555857
"GSM672811",7.336825465,12.07589257,6.842628253,7.034201115,7.141876952,7.245240149,7.338213011,7.239541264,7.347610037,7.305377323,7.114518587,7.418300743,0.414922464059644,0.214900457591961,42.7064020538502
"GSM672812",7.597465056,12.03948625,6.978382528,7.174947026,7.114518587,7.280977695,7.297434572,7.240568401,7.370159108,7.392457621,7.214778439,7.365495911,0.364405435184932,0.346707772548411,44.7653797264825
"GSM672813",7.314648699,11.64867435,6.914249814,7.015959108,7.05796171,7.268254275,7.304376952,7.247768401,7.366461338,7.350514126,7.053049071,7.39422342,0.397375452233296,0.26014632634742,43.413193126691
"GSM672814",7.213489591,11.71712751,6.965320818,6.993476952,7.114518587,7.177962454,7.322290706,7.336825465,7.329580297,7.351365799,7.147453903,7.379622677,0.258508170129583,0.64795146834226,49.4711431650723
