"","putB","putC","putP","codY","putR","spo0A"
"putB",1,0.986211505837131,0.952539710542158,0.122587128442668,0.447872350604738,0.0810563821453038
"putC",0.986211505837131,1,0.95017975147683,0.181121401846417,0.397937804877532,0.0677322399978941
"putP",0.952539710542158,0.95017975147683,1,0.0751375670512592,0.445587676746119,0.151856700573945
"codY",0.122587128442668,0.181121401846417,0.0751375670512592,1,-0.402205305522334,-0.405456122922115
"putR",0.447872350604738,0.397937804877532,0.445587676746119,-0.402205305522334,1,0.471909010543553
"spo0A",0.0810563821453038,0.0677322399978941,0.151856700573945,-0.405456122922115,0.471909010543553,1
