"","etfA","ccpA","fadR","etfB","exuR","exuT","fadB","kdgA","kdgR","kdgK","kdgT","kduD","kduI","lcfA","lcfB","nagA","nagR","nagB","pchR","rhaA","rhaR","rhaB","rhaEW","rhaM","uxaA","uxaB","uxaC","uxuA","yjmB","yjmC","yjmD","yjmF","yvmA","pval","z","inv_cof_var"
"GSM672572",10.98158476,11.99907435,12.10844647,11.74338513,10.17872528,7.489437175,11.94402528,9.110960595,10.17985465,9.761062825,9.216207063,10.58636245,10.62734349,12.31592825,9.773924535,10.50383271,9.873116357,10.75712379,8.695480297,9.431632528,10.10459219,10.30404015,9.312601859,10.09834833,7.400432342,7.377762825,7.66687881,7.868662639,7.551989219,7.779197026,7.859383271,7.628094052,8.428883643,0.479041535431429,0.0525592688159514,6.35713663129862
"GSM672573",11.32697918,12.08217398,12.30672212,11.97502342,10.1033316,7.960021933,12.02192007,9.356207435,10.27928476,9.857714498,9.42066803,10.76898067,10.90512491,12.49718067,9.780388104,10.68777323,9.99890223,10.83579108,8.65536171,9.571112639,10.36235093,10.30466134,9.650143866,10.53918104,7.457263941,7.395085502,7.842649442,8.414241264,7.711228253,8.490633829,8.543721933,8.163278439,8.489474349,0.298944205621743,0.527439511723516,6.71941590859194
"GSM672574",11.44888067,12.11117286,11.92156208,11.99250855,10.11830706,7.791298513,11.99639963,9.080512639,10.31281784,10.11712491,9.373756506,11.4039948,11.04224089,12.28226617,10.22354126,10.72067398,10.07806877,11.11582156,8.67227658,9.662597398,10.35518699,10.37092045,9.59959145,10.6097052,7.54200855,7.462750558,8.000223048,8.383326394,7.683959851,8.581058364,8.530658364,8.298687732,8.371718216,0.292094389103971,0.547276511656898,6.73454926927996
"GSM672598",10.74038885,13.2749487,11.8141171,11.52100074,9.982824907,7.159424535,11.68854647,8.636723792,9.572453532,9.242672119,8.951537918,10.08104591,10.29119926,9.777935316,9.586639777,11.67574201,11.14584424,11.79984164,10.62261115,8.590889591,10.73825836,9.883156134,10.42071691,9.1897829,8.56752974,8.530658364,7.83697658,7.34618513,7.150183271,7.395965799,7.357145725,7.282736059,10.24398885,0.495288248372661,0.0118108844435222,6.32605027750355
"GSM672600",11.2363461,13.5115052,12.50189554,12.18015093,10.01140335,7.667759108,12.36217918,9.963668216,10.44045019,10.17872528,10.02884981,10.31102435,10.60630929,10.70532379,10.29002602,11.83474164,11.17064349,11.81669368,10.2401855,9.611350558,11.0330539,10.3261487,11.09389405,10.21896468,8.766517844,8.835132714,9.997590706,8.037214126,8.194155019,8.000223048,8.154679926,7.779686989,9.876702974,0.0732792239250857,1.45179559952676,7.42459381492195
"GSM672601",10.52265576,13.37237472,11.65105948,11.31214572,10.05217361,7.582311152,11.51852045,9.09434684,9.763730112,9.470373234,9.363718587,9.879227881,10.05097732,10.1489197,9.61009368,11.7543855,11.06789331,11.69346877,10.40392714,8.536673606,10.25863271,9.512559851,9.83934684,9.079373606,8.604154275,8.566478067,9.144256877,7.710728625,7.411239405,7.379622677,7.516815242,7.585147955,9.75460855,0.121940092243857,1.16534298882469,7.20606325625196
"GSM672602",11.06212491,13.66292007,12.31169033,12.03546171,9.965484758,7.557595911,12.27727844,9.799172862,10.57679554,10.43461636,9.912310037,10.45966691,10.38775948,10.84732714,9.932549814,11.96838401,11.18252342,11.98045539,10.54747175,9.928841264,11.39465613,10.8426684,11.38512714,10.65413829,8.70822974,8.784041078,9.998246468,8.028971747,8.445764684,7.88627026,8.099839405,7.76787026,10.01376952,0.0923243733537672,1.3265767026981,7.32906612741741
"GSM672604",10.30981766,13.44724164,11.72085651,11.10549071,10.0087881,7.419142751,11.60144089,7.902549071,9.789263569,9.146624535,8.680669517,9.932549814,9.969389963,9.503286989,9.63347026,11.61378959,11.03410706,11.61139071,10.67743309,8.23825223,10.8312829,9.912310037,10.51542156,9.006797026,8.747633457,8.71195948,7.96097026,7.503384387,7.095104089,7.235277695,7.416600743,7.443320074,10.07193197,0.411956807676639,0.222514206399896,6.48679279804786
"GSM672605",10.14216097,13.53887881,11.50178625,10.83819963,9.94911487,7.185085502,11.39101301,8.270104089,9.719782342,9.144256877,8.740119703,9.808316357,9.796913383,9.38253829,9.299215242,11.13242119,10.74155985,11.29289665,10.61900669,8.831322305,10.63032751,9.766249071,10.45007435,9.062107435,8.538096654,8.356076394,8.074649442,7.280100743,7.158062082,7.261334201,7.176684387,7.296956877,10.06085762,0.272408088707477,0.605546139247048,6.77900232641761
"GSM672606",9.249828996,13.2139171,10.61440372,10.47503271,9.928841264,7.001856877,10.73702082,7.227946097,9.1231,8.425394052,7.478656877,11.09271227,9.99890223,9.585373606,7.714724907,10.17751747,8.713237546,9.657711524,9.307943123,7.573260223,8.538096654,8.207724907,8.274050558,7.855413383,7.333413755,7.354395539,7.27630855,7.135171747,7.197662082,7.665011524,7.297434572,7.131196654,9.032881413,0.289331042365762,0.555340057274144,6.74070083174706
