"","abn2","acoR","acuA","acuB","acuC","amyC","amyD","bglH","bglP","bglS","cimH","crh","csbX","cstA","dctP","dprA","drm","galK","galT","glmR","hbuT","ldt","melA","mmgA","mmgB","mmgC","mmgD","mmgE","mmgF","msmE","msmR","msmX","mtlR","odhA","odhB","pupG","rsbR","rsbS","rsbT","rsbU","rsbV","rsbX","sacA","sacP","scoA","scoB","sspH","sucC","sucD","topA","whiA","yesL","yesM","yesN","yhaR","ylbP","yopL","ypiF","ysfE","yvcI","yvcJ","yvcN","ywdA","yxiE","yxjF","yxkF","ccpA"
"cimH",-0.00726768030286208,0.049352532104772,0.370699875267944,0.414006816710024,0.682763405590916,-0.117285424082562,-0.0203737673554668,0.616823435792905,0.659173830635956,0.216447124397335,1,0.45668568060182,0.550064590037354,0.0148935046455305,0.463554924539914,0.184713989480852,-0.0231130160409996,0.706191773389721,0.661194748803708,0.583293775202353,-0.725618395132617,-0.640388609091314,-0.132951743091613,-0.725611183969141,-0.731027984976331,-0.71579629007019,-0.721711780734902,-0.711430135367246,-0.720554490988423,-0.0377277187677363,0.251224288400483,0.280977567921204,0.207806139727926,0.613534476988796,0.665495542884568,-0.0430191641335018,0.614672328462731,0.690784060405605,0.687028037543556,0.699739073519167,0.72088862599327,0.66579677808922,0.459719506917895,0.44769609224543,-0.722153569816163,-0.727528826614744,-0.524862919918775,0.476402269730555,0.532807816695619,0.355408394260197,0.502841965627546,-0.0157805681091451,-0.244012681811081,-0.337781350080937,0.0473403337282879,0.283828438270094,0.243510823734482,0.115855327284489,0.00980545145929955,0.440145708647594,0.530942599755537,0.399183423587043,0.127026964423454,0.636990901704379,-0.745094618525006,0.610157749858745,0.0253736779777911
"crh",-0.0906245213957449,0.287913487948166,0.326154256447754,0.486972180023125,0.584991474456739,-0.065245480540668,0.0534100537183231,0.350358382854103,0.333436460657333,0.425150680699902,0.45668568060182,1,0.594712137005806,0.195471157569646,0.507414176889665,-0.111877435008794,0.630973878879946,0.668954942168447,0.759336064400604,0.956257620648576,-0.605577347441121,-0.184238336878928,0.00179151511223559,-0.646300213730438,-0.634462519677369,-0.640669795319491,-0.640372558790235,-0.636529799836524,-0.545890498824312,0.0445687582357512,0.446797699563169,0.241302398243425,0.451970397323882,0.403585488495995,0.452091152546292,0.747269622700763,0.605603266073792,0.674428472882704,0.715026068721229,0.711740818282766,0.495161186304833,0.623126278643141,0.469491771121442,0.454428922044777,-0.623787128536596,-0.611851198437598,-0.269686439245559,0.318217691109413,0.387490733719879,0.230087864513809,0.969753542475389,0.151748586774197,0.0258494665324504,0.0141187701350886,0.220715149067986,-0.0264584179801627,0.0619852927533582,-0.133086035155084,0.266152586387964,0.820035295377857,0.950094503187916,0.958078320415475,0.415032583967492,0.519003551304626,-0.574283832611049,0.576439693361673,0.511110547710042
"csbX",0.22094665269468,0.464880547561738,0.593441142637385,0.694636238126906,0.778916444910099,0.13495334619717,0.263255330138835,0.470456080743928,0.410081918392347,0.417515584764857,0.550064590037354,0.594712137005806,1,0.509283994488036,0.372376100224978,0.225653457671543,0.384713333622114,0.722797104283346,0.755766539536509,0.644409854979345,-0.42382426253404,-0.405548754399783,0.121177072026856,-0.546480560482411,-0.534115767717972,-0.53620593671838,-0.539679066893103,-0.53686109146236,-0.476447278111423,0.228569745667532,0.384611035885009,0.409898584783604,0.534066167851749,0.515842871658649,0.571623190372605,0.333152555853531,0.462060219924231,0.471269683837496,0.512206041338326,0.512224963181133,0.47574571948972,0.539377655943448,0.487775204639015,0.408590309934249,-0.495655291464365,-0.510907927952754,-0.197455198236739,0.418629997366625,0.472513179415649,0.330151131607834,0.620306622015806,0.415954084502746,0.293890115331699,0.2910998024026,0.455558771262172,0.343244282653902,0.134227060725697,0.292551417661945,0.477229689254105,0.610827649638455,0.637562808986595,0.575243716420068,0.198321731386913,0.621185537776496,-0.491844709739497,0.766844315523736,0.228551454297575
"cstA",0.55320147517552,0.913376478828987,0.738311233339338,0.723611701946996,0.430571928289706,0.531669852663608,0.709590250929432,0.436457546508354,0.29752405044287,0.633840918996207,0.0148935046455305,0.195471157569646,0.509283994488036,1,0.275457442103057,-0.189737594384847,0.3577596522961,0.240487875513949,0.346583123697843,0.162406588741476,0.0678650867425726,0.0358441792840469,0.535468832373717,-0.0427187531304244,-0.013203983960409,-0.0348861150918758,-0.0271797004374757,-0.0237004081108525,0.0328982799344358,0.699327483078033,0.519052357111113,0.685737119274954,0.631903427120147,0.137543443868329,0.219836238751474,0.265048881791923,0.174586502822399,0.0218836857847006,0.0430070446750851,-0.0117815883566482,-0.0926896027996451,-0.100035692734016,0.392073769951551,0.294713636775719,-0.0505333646721374,-0.0349168285203002,0.387402805783553,-0.044314604602788,-0.0494394348279142,-0.201326681158856,0.177883527749859,0.848846958047114,0.816107419551042,0.724348983165044,0.795460487698951,0.61950717793497,-0.135082476326025,0.311083722626205,0.891593882817369,0.424684502452125,0.257290167576896,0.26905544274917,0.337326183692188,0.256722269080796,-0.00157086905823712,0.562708469627771,0.386597547948354
"dctP",-0.131007166597161,0.196921239768129,0.203080327902027,0.278616525885226,0.38442801376508,-0.152429502636329,0.0787731076143972,0.592229114388469,0.592102050722756,0.237324733449665,0.463554924539914,0.507414176889665,0.372376100224978,0.275457442103057,1,0.118814498415371,0.29930574206589,0.564935448065648,0.602661182585537,0.555112180878917,-0.690333390609098,-0.33077782964235,-0.135822425460312,-0.721696045693947,-0.71424941791393,-0.728971623416331,-0.715813258148416,-0.711613932790321,-0.678767458539367,0.0928998996008333,0.553969321884882,0.329416576287409,0.435441092715318,0.541547440531378,0.556378509188388,0.337998056472169,0.584100194347525,0.612581288444912,0.61869309943691,0.592597999638075,0.340748130088917,0.360667115164215,0.720790574482931,0.74202726894008,-0.716598920043203,-0.705017940640735,-0.363829251343361,0.450180742747837,0.496297304329029,0.168117513229053,0.529413277182816,0.102234295649598,-0.0314807269824237,-0.154400220991686,0.0428457646070276,-0.0745930125227026,0.314890426848312,0.0297651651655926,0.345871337101996,0.529098468418759,0.560023291933457,0.464129807232439,0.495895818952001,0.23362429124109,-0.681070133534418,0.474572626196066,0.694352809609271
"dprA",0.0193466333042623,-0.423292377279776,-0.0989067476022765,-0.113545815610274,0.240056792458652,-0.262287997871138,-0.201987823895703,-0.113983210026696,-0.0952314987584675,-0.387325647109194,0.184713989480852,-0.111877435008794,0.225653457671543,-0.189737594384847,0.118814498415371,1,-0.073459882134195,0.367251461249961,0.185829195474335,-0.0300563041675239,-0.269540786631918,-0.592210649447281,-0.398048772085211,-0.337395040918729,-0.359302364199147,-0.343877810421114,-0.366929171694878,-0.379887279665495,-0.432969784300088,-0.197585870036363,-0.0399367540984971,-0.397753453030846,-0.208673858740991,0.560216838720569,0.463750116103634,-0.219835830653924,0.253480547510264,0.252693070534341,0.301643807436923,0.364612883874095,-0.0165635804079268,0.0253805093850727,0.0682410478420941,0.113619202682096,-0.307075275928891,-0.349648517061653,-0.514804710980222,0.755658903505831,0.732473596151248,0.70880275950409,-0.0447298942381295,-0.232253502159934,-0.228954311098494,-0.173451253072572,-0.357996153985751,-0.213455670058618,0.749199715081608,0.585761656955091,-0.155151048910067,-0.162174025552153,-0.102144090534326,-0.232920517955066,-0.321268272986477,-0.1096112747573,-0.393532729321037,0.262114066571238,-0.0198926156596946
"drm",-0.105135127782359,0.305948204906233,0.120926272686072,0.227996571234987,0.337844864028682,0.092996472248829,0.177599732644476,0.209655642949199,0.11383377641287,0.269695335329001,-0.0231130160409996,0.630973878879946,0.384713333622114,0.3577596522961,0.29930574206589,-0.073459882134195,1,0.474973269883408,0.498263153755095,0.561668427862505,-0.177710394695853,-0.202242053655468,0.123106490485084,-0.309336152355778,-0.289167178849136,-0.302256689706135,-0.299513030726406,-0.307133187915931,-0.217005809249077,0.18757006998286,0.468939876088707,0.0982562885737654,0.18426690055574,0.416950478546263,0.410120634949401,0.911952981896078,0.444911911128976,0.435430860133546,0.460789952573049,0.457523284522014,0.0234014658438785,0.138830550938685,0.460202381519086,0.445391470766466,-0.232658136803725,-0.234083348613561,-0.0457192850496484,0.321660762598969,0.317889903624564,0.202387247767909,0.62208360153643,0.289613593413229,0.232038153751151,0.242380953919175,0.13833098535074,-0.142171817185965,0.12552003680689,0.0647073870955308,0.258332132534083,0.565188154240969,0.583429741891137,0.584078956470534,0.264239109871546,0.182830307901797,-0.187200772147128,0.508379374021038,0.554770551200002
"galK",0.112348407219083,0.153943273530287,0.388688112673278,0.489237244996805,0.839558884068325,-0.174423910218888,-0.00576695353397071,0.4386714745604,0.411100734579556,0.347170593475833,0.706191773389721,0.668954942168447,0.722797104283346,0.240487875513949,0.564935448065648,0.367251461249961,0.474973269883408,1,0.94978086077011,0.717289442516467,-0.666749986359855,-0.705702589010796,-0.185277508316819,-0.779010999983655,-0.780515848981221,-0.774686031372876,-0.788585210628814,-0.792533972981926,-0.764982235670789,0.00113432223573432,0.40731255049264,0.212488520350341,0.319785404839281,0.863088360970303,0.87777576892583,0.434017259001654,0.744368958034412,0.795938882937792,0.823873831735898,0.869861186938455,0.610199307320025,0.669219798188337,0.616833893356789,0.632610924996054,-0.71910964141653,-0.745739065785915,-0.480725302175184,0.757270462431412,0.786919992860146,0.629574248456723,0.713593634189982,0.154834939573985,-0.00825854662220373,-0.0132404951967884,0.170530596304582,0.096988648758532,0.456723922578087,0.334717926783071,0.300386474611988,0.603632099473977,0.700968987975723,0.566388873904356,0.316011367258304,0.564927482467651,-0.738101916780806,0.863355365623178,0.385973930015678
"galT",0.196058139611238,0.293366314113282,0.454447181747005,0.586798130498427,0.821479106367318,-0.111716573646362,0.0638073498555811,0.486973366009662,0.454821674507323,0.526858232682045,0.661194748803708,0.759336064400604,0.755766539536509,0.346583123697843,0.602661182585537,0.185829195474335,0.498263153755095,0.94978086077011,1,0.785082745903561,-0.628083352573765,-0.536577738431278,-0.0908334224456561,-0.726498281721693,-0.721764683400872,-0.721527689576399,-0.73103764375538,-0.733112553976369,-0.688405672408377,0.0533672524424981,0.445380196038458,0.366822445723906,0.518298318612325,0.725361635395689,0.775676575930998,0.533114880535766,0.685391727602796,0.746136493167939,0.782897614806172,0.805232509738652,0.664483181370331,0.730129050163005,0.644065500420211,0.643888533639885,-0.681888368023615,-0.694893547848991,-0.357794280898217,0.576906637032906,0.643493405771195,0.496038267965947,0.780248388495613,0.269828295790812,0.0939301244339632,0.0984530510799283,0.334021750107902,0.164390088824585,0.25644295958905,0.211705958398848,0.455276782498558,0.675944218691379,0.787635474994487,0.697568663145395,0.475031456314672,0.606137315356352,-0.676421668903904,0.818877561397734,0.454784019520689
"glmR",-0.120779333741806,0.222525819555399,0.331836496689374,0.487823095631637,0.602385684764471,-0.0634965962470599,0.0617291531971658,0.45249802496346,0.465619300085619,0.345353080886029,0.583293775202353,0.956257620648576,0.644409854979345,0.162406588741476,0.555112180878917,-0.0300563041675239,0.561668427862505,0.717289442516467,0.785082745903561,1,-0.697549265965176,-0.289857473178462,-0.0251931334595842,-0.739828712203038,-0.726116847181918,-0.733452384723284,-0.732090205471384,-0.730108789901901,-0.653693347310531,0.0476721652717147,0.487202476609736,0.280209933634827,0.443727779434058,0.469701962491685,0.506031599518871,0.641753139015931,0.668120652554888,0.732694403135946,0.771025762157241,0.763345483804223,0.579756907161789,0.668346750397345,0.53642443711369,0.527984413870776,-0.714790881174361,-0.70603264417631,-0.3987348576775,0.3892667576091,0.469165189251667,0.228817945150861,0.978170630566367,0.121265663842546,-0.0452146842838502,-0.105770759883831,0.161243732320278,-0.033135771453524,0.131471463886603,-0.057354159633767,0.205275005924494,0.872849770994446,0.97317901827595,0.903800170891741,0.341717326055757,0.60802633764354,-0.674243345254712,0.61072045963716,0.445951884527605
"hbuT",0.188605024084119,0.0774362255311713,-0.250192733607461,-0.320614882448165,-0.576102640346066,0.322383532427927,0.149416655104549,-0.445093845646111,-0.489042253552568,-0.103360259583217,-0.725618395132617,-0.605577347441121,-0.42382426253404,0.0678650867425726,-0.690333390609098,-0.269540786631918,-0.177710394695853,-0.666749986359855,-0.628083352573765,-0.697549265965176,1,0.562394424285175,0.317760399857973,0.941495235919566,0.946860352665355,0.940236425304628,0.944256378431946,0.940419315078494,0.935940957783711,0.14909981680975,-0.333830168380422,-0.0800748227101852,-0.240066276174358,-0.617163497572577,-0.634362563864025,-0.215683050275335,-0.779179356392247,-0.850795060655585,-0.846519524834451,-0.823158480677892,-0.554168973826105,-0.582983483568075,-0.569392854605683,-0.576660337055385,0.979819184255925,0.974933795123788,0.697416523887576,-0.579773227638253,-0.624074446229155,-0.399812752864355,-0.646785622387797,0.196052294923939,0.348608119862625,0.458774673037184,0.155397103092312,0.0999577100210645,-0.383972227447628,-0.0385293004907617,0.00517787264641967,-0.566497969863968,-0.661051481033744,-0.542617538333391,-0.266286018334463,-0.39804614677456,0.974260383253475,-0.504236908324832,-0.481526249478225
"ldt",0.071160723788018,0.164659566224087,-0.0822459055485112,-0.088145700407883,-0.571414188477117,0.26471592256541,0.165092198673163,-0.375368831031958,-0.343598711265253,0.058780918210652,-0.640388609091314,-0.184238336878928,-0.405548754399783,0.0358441792840469,-0.33077782964235,-0.592210649447281,-0.202242053655468,-0.705702589010796,-0.536577738431278,-0.289857473178462,0.562394424285175,1,0.338909200061686,0.621262791194947,0.635449515035983,0.618984169142472,0.634837487238968,0.642020489486985,0.683322505690044,0.137321234361083,-0.165491135071504,0.0489582287962964,0.0132270157624124,-0.836850357065374,-0.819268930949635,-0.0335910822783293,-0.630075141660551,-0.698097549551323,-0.659730461606498,-0.688371679300657,-0.462572857562768,-0.429507014793129,-0.442630739826582,-0.441330295647079,0.5866528696032,0.618990512615329,0.676298969113862,-0.764296776311095,-0.755912693031112,-0.682328006522315,-0.254808647704039,0.162079958055414,0.290543143081225,0.324780284134681,0.171955071650854,-0.00023170407723539,-0.623895103025235,-0.429124469660896,0.103924861590591,-0.211479377290544,-0.258878684719814,-0.0480965156486198,0.0564066821678145,-0.330415128196269,0.657608284511121,-0.596678146523229,-0.141093712264915
"melA",0.252122162322996,0.61244518937238,0.387991638481284,0.347651671692782,-0.0295868008205689,0.967441528714763,0.895417922834879,0.231812079935424,0.166043582548555,0.26505652202879,-0.132951743091613,0.00179151511223559,0.121177072026856,0.535468832373717,-0.135822425460312,-0.398048772085211,0.123106490485084,-0.185277508316819,-0.0908334224456561,-0.0251931334595842,0.317760399857973,0.338909200061686,1,0.278640127155667,0.308314725408994,0.285493870434055,0.295711771658087,0.302117346691295,0.370780069506339,0.840018460541691,0.493696206358486,0.569452314133155,0.151008114420581,-0.312594563975827,-0.266050515096325,0.0466665870272681,-0.235636335850141,-0.317916878821038,-0.326597049991119,-0.395118764937737,-0.184508006018304,-0.269063159083143,-0.00121774903777355,-0.0854016818813718,0.288466783622908,0.303824865791193,0.581862538282966,-0.356776409563619,-0.34329909763854,-0.530169151471011,-0.0276312897858433,0.57294459664407,0.580257153112075,0.485291530965329,0.503154088338951,0.473870939980925,-0.398020161144292,0.0530449523809063,0.421631292682872,0.18914242049968,0.0737898262135615,0.0716477132548994,-0.00946370386339401,0.280474011591095,0.317544567588808,0.120354857145712,-0.0416423938211448
