"","abn2","acoR","acuA","acuB","acuC","amyC","amyD","bglH","bglP","bglS","cimH","crh","csbX","cstA","dctP","dprA","drm","galK","galT","glmR","hbuT","ldt","melA","mmgA","mmgB","mmgC","mmgD","mmgE","mmgF","msmE","msmR","msmX","mtlR","odhA","odhB","pupG","rsbR","rsbS","rsbT","rsbU","rsbV","rsbX","sacA","sacP","scoA","scoB","sspH","sucC","sucD","topA","whiA","yesL","yesM","yesN","yhaR","ylbP","yopL","ypiF","ysfE","yvcI","yvcJ","yvcN","ywdA","yxiE","yxjF","yxkF","ccpA"
"abn2",1,0.50355280605849,0.627769173249707,0.580832049274656,0.342059857356861,0.281011470033723,0.366248116786575,-0.0512142926254462,-0.135241009311985,0.578163185173496,-0.00726768030286208,-0.0906245213957449,0.22094665269468,0.55320147517552,-0.131007166597161,0.0193466333042623,-0.105135127782359,0.112348407219083,0.196058139611238,-0.120779333741806,0.188605024084119,0.071160723788018,0.252122162322996,0.195400115435233,0.201567728437253,0.198730902927733,0.186185676409385,0.182377127507409,0.166599741689944,0.336627156738753,-0.00666384732748131,0.405283026141381,0.418189806015829,-0.059229273004908,-0.0104446040833562,-0.11901787273701,-0.0246931322938268,-0.108923882272618,-0.107003421324676,-0.121899751302968,-0.132539846096241,-0.134161284232896,-0.107366760003739,-0.144695393008355,0.11082744567051,0.11964131487575,0.351557714072741,-0.10566500096914,-0.108706055339008,-0.012459542790788,-0.10646841595467,0.686958851906685,0.705818295738382,0.70844506434561,0.741786530569239,0.639097627696979,-0.147085643760525,0.512048875193031,0.631903790584435,0.0185180462387528,-0.0640312236196341,-0.0102091391453818,0.193671277316302,0.125444598927868,0.118577497124808,0.278633916714612,-0.0454133685223042
"acoR",0.50355280605849,1,0.770326776268455,0.755102319629276,0.402724444261383,0.56833358842921,0.696788434479166,0.45242197730862,0.322836411282989,0.716943588405654,0.049352532104772,0.287913487948166,0.464880547561738,0.913376478828987,0.196921239768129,-0.423292377279776,0.305948204906233,0.153943273530287,0.293366314113282,0.222525819555399,0.0774362255311713,0.164659566224087,0.61244518937238,0.0267997203022331,0.0564569874476967,0.0378409801557765,0.045361846676484,0.0554448136694842,0.127575755183384,0.688627595700458,0.466686215560056,0.749752641685024,0.669103619527657,-0.0430115726182925,0.0707980802807044,0.273161239230778,0.158890578823634,0.0315928047721482,0.0265260124102991,-0.0524791569602852,0.0142085347318174,0.0223276982599959,0.264859926048905,0.154860754805405,-0.0106405223133049,0.0139010821040509,0.472081166165604,-0.254507450179711,-0.251729390030721,-0.333435428227861,0.239019001454582,0.815080059739612,0.793544579842362,0.687882644595698,0.833120263413755,0.722516411470605,-0.351928754340407,0.083947888132879,0.82252052618158,0.482607059445933,0.332368807623928,0.372030797825722,0.392333425048315,0.309960233344304,0.0518037795198277,0.500127449120585,0.31101763056403
"acuA",0.627769173249707,0.770326776268455,1,0.964057728810082,0.726324573832055,0.388222382708777,0.525742881094454,0.36625762141539,0.291321718790766,0.640543527939152,0.370699875267944,0.326154256447754,0.593441142637385,0.738311233339338,0.203080327902027,-0.0989067476022765,0.120926272686072,0.388688112673278,0.454447181747005,0.331836496689374,-0.250192733607461,-0.0822459055485112,0.387991638481284,-0.263332354075864,-0.252523406294705,-0.253652225588482,-0.260320724957777,-0.251911914533175,-0.207156736590026,0.484426885633556,0.331672178836741,0.597704309002276,0.52607485040573,0.199852011405587,0.303003861249947,0.0806935378123633,0.343972472899926,0.226248821515073,0.229042448330239,0.195094060373846,0.141198617570973,0.148721749700594,0.242669839678752,0.155440681822481,-0.333157878556224,-0.32453202432245,0.169404988915126,0.064016796435966,0.0710351462294192,-0.021640653438563,0.3185804684941,0.65735069033236,0.591335502944807,0.494399587337741,0.75069396101706,0.773110096467432,-0.116972961274533,0.318789263676795,0.697210871533158,0.528609741113953,0.394057372413583,0.391373123559027,0.247284568496588,0.460602706337729,-0.30335450916874,0.66396627685754,0.180036477152553
"acuB",0.580832049274656,0.755102319629276,0.964057728810082,1,0.793300735531966,0.327869274834965,0.474102274237134,0.404544100184483,0.3282379710626,0.701928912972121,0.414006816710024,0.486972180023125,0.694636238126906,0.723611701946996,0.278616525885226,-0.113545815610274,0.227996571234987,0.489237244996805,0.586798130498427,0.487823095631637,-0.320614882448165,-0.088145700407883,0.347651671692782,-0.351049541946791,-0.338201650922579,-0.340236331682101,-0.345173158999074,-0.336693173224498,-0.276296738292358,0.421435803952781,0.356587488087169,0.594292743575188,0.608705123929971,0.246268203614733,0.358467789760552,0.232318199468278,0.376372809947195,0.298721072668696,0.316668433211497,0.289195573774855,0.248793861631289,0.280799387441596,0.330082190331902,0.249548343594722,-0.403252784015596,-0.394191065117318,0.119427245527443,0.107815474503347,0.141417569704062,0.0432254923110134,0.474795532639965,0.625398714603366,0.536859755222694,0.471840738945756,0.764618963914975,0.702175938010887,-0.12257308592505,0.254977997248093,0.718651118550988,0.617732455258475,0.546879265652591,0.550359620889206,0.330610298805059,0.552763414011702,-0.365110106912285,0.701414576049052,0.253385687730966
"acuC",0.342059857356861,0.402724444261383,0.726324573832055,0.793300735531966,1,-0.0330697657954526,0.110104590406878,0.399953416796244,0.329680865696302,0.544023156397746,0.682763405590916,0.584991474456739,0.778916444910099,0.430571928289706,0.38442801376508,0.240056792458652,0.337844864028682,0.839558884068325,0.821479106367318,0.602385684764471,-0.576102640346066,-0.571414188477117,-0.0295868008205689,-0.644891562292687,-0.648202451031395,-0.631649168480742,-0.648702401670627,-0.644586028864464,-0.609390070034685,0.078407675646104,0.252875326002535,0.271613520002697,0.399183191183337,0.700256247777642,0.783068349575192,0.310511021655177,0.617232106912511,0.635560437678701,0.644345736313628,0.690017059611938,0.482947316102124,0.544648063716336,0.457826749788266,0.417244200184967,-0.644092905697626,-0.658534644477411,-0.259431526194098,0.565866830437021,0.585340911498808,0.557469224866549,0.591411692816047,0.276734602045061,0.152868051212095,0.16592424955084,0.439041639806181,0.4584248221293,0.247096662343111,0.323446196262325,0.449740954509577,0.550743824153311,0.605153376618451,0.550644830830799,0.264678344579189,0.581574153878529,-0.651474463493019,0.858830213920809,0.277173068366767
"amyC",0.281011470033723,0.56833358842921,0.388222382708777,0.327869274834965,-0.0330697657954526,1,0.92562211885693,0.215369276136433,0.163201307928251,0.166799164257746,-0.117285424082562,-0.065245480540668,0.13495334619717,0.531669852663608,-0.152429502636329,-0.262287997871138,0.092996472248829,-0.174423910218888,-0.111716573646362,-0.0634965962470599,0.322383532427927,0.26471592256541,0.967441528714763,0.272101835656505,0.299894057398806,0.275836712931361,0.285839790664551,0.288740595814479,0.348076889144347,0.882299124729799,0.524642127597052,0.568308184110014,0.0852617727855776,-0.259382554167858,-0.242165099032603,-0.0349557231715552,-0.221303872938438,-0.311390775161047,-0.324295804433444,-0.389851810728862,-0.239177947495299,-0.327151779400633,-0.0342498700358885,-0.107463403479978,0.280794970901042,0.29000575531499,0.538915285498201,-0.268128996016407,-0.26595871297788,-0.504541582422034,-0.0674421160940637,0.593445001061706,0.586511607758308,0.465783758331586,0.456594287368486,0.49268025869394,-0.282625885327573,0.214776769004703,0.396487521706359,0.156517773089721,0.0191722549157022,-0.0141584183084115,-0.128196954609066,0.252756729628461,0.298189894300698,0.153332779894613,-0.110242896422221
"amyD",0.366248116786575,0.696788434479166,0.525742881094454,0.474102274237134,0.110104590406878,0.92562211885693,1,0.370576690436102,0.311253993377381,0.284602731594813,-0.0203737673554668,0.0534100537183231,0.263255330138835,0.709590250929432,0.0787731076143972,-0.201987823895703,0.177599732644476,-0.00576695353397071,0.0638073498555811,0.0617291531971658,0.149416655104549,0.165092198673163,0.895417922834879,0.0658134752574111,0.0989188533517707,0.0669570072858406,0.0810220553414459,0.0849713624056215,0.146346059001295,0.97863667624773,0.713384962843578,0.675363771519422,0.275382185279442,-0.0958514500426808,-0.0771993590573497,0.0426494309562044,-0.0214963386638273,-0.149385130272808,-0.138022272483668,-0.222872883107272,-0.206955804767391,-0.285882764329151,0.211036329567578,0.133238853741924,0.0734426382453214,0.0884457271874561,0.41177912060858,-0.132526429926096,-0.129061191452948,-0.451099989690947,0.0594120016770058,0.719151864418542,0.69299963880815,0.540946398736419,0.546991063501961,0.522636000532919,-0.137390331601402,0.299471360630927,0.585650578062246,0.320872234580252,0.151471268593807,0.101808168526969,0.0356545022134577,0.2940290541208,0.10393209792038,0.334286463805872,0.151900896375403
"bglH",-0.0512142926254462,0.45242197730862,0.36625762141539,0.404544100184483,0.399953416796244,0.215369276136433,0.370576690436102,1,0.966039951836529,0.304049569439653,0.616823435792905,0.350358382854103,0.470456080743928,0.436457546508354,0.592229114388469,-0.113983210026696,0.209655642949199,0.4386714745604,0.486973366009662,0.45249802496346,-0.445093845646111,-0.375368831031958,0.231812079935424,-0.51121499853727,-0.485486997771755,-0.494989818243325,-0.480645135368699,-0.470614682179905,-0.450385270491088,0.356001771685744,0.527639206521898,0.580627564997656,0.509328595076373,0.355270355092065,0.429240367590652,0.149605027140064,0.462579043838327,0.467597183544242,0.461581844171227,0.381478374723051,0.506445898348774,0.406425596681988,0.749098289441484,0.677699426321344,-0.489040627320501,-0.465813077220586,-0.217824811522073,0.142411523584526,0.211313057232892,-0.0398798083125424,0.375635634339801,0.241842684128395,0.0553999858622869,-0.0946977560378309,0.235449124134196,0.340052036073604,-0.00987256155821122,-0.0414649665256033,0.345523896978434,0.515124092487368,0.483875230798884,0.331911143719533,0.380793943455104,0.577271308865451,-0.453850263229244,0.497304293162682,0.268992919903632
"bglP",-0.135241009311985,0.322836411282989,0.291321718790766,0.3282379710626,0.329680865696302,0.163201307928251,0.311253993377381,0.966039951836529,1,0.183759160088646,0.659173830635956,0.333436460657333,0.410081918392347,0.29752405044287,0.592102050722756,-0.0952314987584675,0.11383377641287,0.411100734579556,0.454821674507323,0.465619300085619,-0.489042253552568,-0.343598711265253,0.166043582548555,-0.5468952519414,-0.52502089137182,-0.535550828822893,-0.520070692090023,-0.511134237941419,-0.501549751065529,0.300033580534613,0.524637602607661,0.536735078940521,0.413576107292266,0.33094679622613,0.384294561963687,0.0653507445646872,0.467097418551564,0.47559965219815,0.483210675684113,0.397501428079547,0.549343701727134,0.437105603644579,0.721368002393302,0.674776527081165,-0.522341495374608,-0.500509589899992,-0.311653969131695,0.152501850645122,0.230376278736234,-0.0609533147052051,0.37451120051842,0.149592435862023,-0.0565795901244292,-0.218811094124035,0.105575847098694,0.253504205739675,0.025380944861613,-0.0906612905183685,0.22081897234799,0.510220984172123,0.473821250113227,0.308373261173032,0.321855318396406,0.557341750181318,-0.492640875016374,0.42376926021257,0.207176375289819
"bglS",0.578163185173496,0.716943588405654,0.640543527939152,0.701928912972121,0.544023156397746,0.166799164257746,0.284602731594813,0.304049569439653,0.183759160088646,1,0.216447124397335,0.425150680699902,0.417515584764857,0.633840918996207,0.237324733449665,-0.387325647109194,0.269695335329001,0.347170593475833,0.526858232682045,0.345353080886029,-0.103360259583217,0.058780918210652,0.26505652202879,-0.0928134222221527,-0.0764542826968839,-0.07754577926104,-0.0803393816843579,-0.072838782019947,-0.0330531997043036,0.244439694245971,0.187603388458937,0.536519455746352,0.748394976720735,0.0676214232985803,0.216209242652017,0.393400432782389,0.21509149453286,0.18128600181768,0.188050750617915,0.182721912970139,0.288860012550783,0.329605679703945,0.298244003806645,0.241040749971573,-0.153586207221316,-0.126656252757393,0.308744761886458,-0.170360564749954,-0.132612613766188,0.0181774820430191,0.367112069076107,0.599990523608369,0.549183869199927,0.56453349327641,0.788442143373275,0.552251448285043,-0.433698461607941,-0.0776527801519318,0.706651089501218,0.409568335762054,0.411546021140938,0.500871010303369,0.682396827432144,0.369656023539422,-0.0961660853549545,0.430596746342501,0.330901513839331
