"","frlB","frlD","frlM","frlN","frlO","yurJ","codY","frlR"
"frlB",1,0.982554932605455,0.983444258631101,0.986697178715724,0.991370371471282,0.945328991418363,-0.232763028107248,0.337473260714267
"frlD",0.982554932605455,1,0.995062973757013,0.993443212870139,0.989180687853986,0.971152551225612,-0.277204305446158,0.288671813083173
"frlM",0.983444258631101,0.995062973757013,1,0.998260242963938,0.992062117772355,0.974062705577151,-0.25164404447667,0.299043159136141
"frlN",0.986697178715724,0.993443212870139,0.998260242963938,1,0.993825406334147,0.970700710129401,-0.244772848399786,0.32547842613456
"frlO",0.991370371471282,0.989180687853986,0.992062117772355,0.993825406334147,1,0.956965343243972,-0.246315461897979,0.31864339452771
"yurJ",0.945328991418363,0.971152551225612,0.974062705577151,0.970700710129401,0.956965343243972,1,-0.234363507587436,0.313425473917017
"codY",-0.232763028107248,-0.277204305446158,-0.25164404447667,-0.244772848399786,-0.246315461897979,-0.234363507587436,1,-0.131071172067012
"frlR",0.337473260714267,0.288671813083173,0.299043159136141,0.32547842613456,0.31864339452771,0.313425473917017,-0.131071172067012,1
