"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ","pval","z","inv_cof_var"
"GSM672625",13.2291658,12.98548327,14.61673569,12.233029,14.06186803,12.18422007,9.837497398,12.80153755,14.07067323,13.9974171,14.61295725,14.08209294,13.91315353,14.70664796,14.58155874,14.30353717,14.53674944,14.10146097,14.43607286,14.28199294,14.24770112,13.07284758,14.11328476,0.24481179761873,0.690907623111249,12.1640211657278
"GSM672626",13.30210743,13.04114164,14.74487584,12.27070223,14.09866691,12.28154684,9.934946097,12.83418104,14.06186803,14.13102342,14.70484052,13.91831896,14.16637026,14.6741539,14.51807323,14.40126208,14.56695242,14.21958662,14.54011041,14.48155167,14.29400892,13.04813494,13.82289926,0.233697144540354,0.726725238859694,12.2650195132101
"GSM672627",13.01521004,12.52257955,14.3837368,11.89681338,13.52142082,11.51478885,9.09434684,12.52395651,13.34507323,13.41578699,14.26946022,13.1395539,13.37237472,14.12469963,13.9054052,13.6246145,13.94112825,13.4302974,13.63843383,13.73822305,13.80827249,12.73507807,13.58615465,0.314525903204226,0.483061870531044,11.5779386724301
"GSM672628",12.79327175,12.34786914,14.47804424,11.90186766,13.68413234,11.28562714,9.025208922,12.43471264,13.37626729,13.33340483,14.06484089,12.99596394,13.16499442,13.96823197,13.74743383,13.50399368,13.7497,13.20505651,13.6081974,13.57092379,13.72369888,12.77709554,13.88738959,0.341655524554796,0.407949093338169,11.3661360101711
"GSM672629",13.04626283,12.86961896,14.35976208,11.95485762,13.68668848,11.81923755,9.206534201,12.76305799,13.48236691,13.5255539,14.16068439,13.21222714,13.3970368,14.05355316,13.80583271,13.79624275,13.92068736,13.4345881,13.73590855,13.81818216,13.69645948,13.06929071,13.93337732,0.239452547187102,0.708064676314376,12.212400545119
"GSM672634",13.27671636,12.95918996,14.34591822,12.10715093,14.02124647,12.39001859,9.832570632,13.03748513,13.82567398,14.07067323,14.74487584,13.92297026,13.87415316,14.72779442,14.55602639,14.40469851,14.57775836,14.0958948,14.52209926,14.44320929,14.3805052,13.18693197,13.69896357,0.232665517750458,0.730096770100234,12.2745265414325
"GSM672635",13.1376223,12.76305799,14.46736729,11.88260409,13.94112825,12.08414498,9.592969888,13.06405353,13.88999294,13.86665948,14.64045799,13.87415316,13.28452677,14.75366506,14.51807323,13.85909405,14.53294684,13.98971487,14.45389294,14.39777584,14.37000297,13.05512156,13.8485,0.316978939459049,0.476163530715871,11.5584867656757
"GSM672636",13.10047026,13.12244907,14.52588253,12.19107955,13.9254487,12.3046145,9.788014126,13.10225725,13.61170316,14.07896877,14.72338401,13.8692948,14.00730093,14.54790446,14.39460335,14.28505874,14.34591822,14.04552862,14.30992379,14.37716803,14.3805052,13.36243383,13.82848513,0.204674155786364,0.825041004329758,12.5422498546622
"GSM672637",13.1633513,13.06405353,14.5706171,12.12010818,13.81582714,12.49420967,9.681794424,13.22549963,13.8509658,14.09866691,14.79863755,14.02572788,13.89249665,14.84014647,14.58543234,14.44658587,14.72338401,14.34949888,14.5439829,14.64447732,14.63204387,13.32318773,13.97367398,0.286972418377564,0.562251266306126,11.8012365649415
"GSM672638",13.07957993,13.10225725,14.55602639,12.30338885,13.92297026,12.41094461,9.838756506,13.23891599,13.92068736,14.23481264,14.84911041,14.17215799,14.00590855,14.74027026,14.58155874,14.53294684,14.73557435,14.22263903,14.60915242,14.5706171,14.58946431,13.33822528,13.7935658,0.247630449531169,0.681965290040707,12.138805616231
"GSM672639",13.36243383,12.94794461,14.98879926,12.46005688,13.6081974,12.65748922,9.904658736,13.57645651,13.77875762,14.25115204,14.75811599,14.52209926,13.76194498,15.07704164,14.71080558,14.26317249,14.90230818,14.44320929,14.86847249,14.88755316,14.69494015,13.46987881,13.82056989,0.266295550826684,0.624055553941113,11.9755120098035
"GSM672640",13.04626283,13.0743855,14.26946022,12.05679591,13.51702342,12.30598216,9.151350929,13.34864684,13.15417807,13.63389182,14.47120892,13.54336506,13.44724164,14.49293792,14.17215799,13.82848513,14.41200297,13.68882788,14.17513717,14.27227695,14.11871338,13.35817584,13.69645948,0.281692578708944,0.577820730972196,11.8451392695073
"GSM672641",12.9007197,12.71191784,14.50400372,12.03148699,13.84343978,12.04601524,9.344704833,13.06929071,13.47612974,13.7522145,14.39777584,13.52764833,13.57540669,14.61673569,14.16922491,13.99478104,14.37361413,13.80343717,14.13993457,14.29400892,14.21381301,13.14143123,13.77875762,0.301508012632992,0.520068223375957,11.6822890152875
"GSM672643",13.10225725,12.84075093,14.57775836,12.17600892,13.61745502,11.85551673,9.156086245,12.80470855,13.34864684,13.60618996,14.21381301,13.59734461,13.15065688,14.30992379,14.10461152,13.64276654,14.17513717,13.48706506,13.87665688,14.09040223,13.92068736,12.7318948,14.00590855,0.299606099567513,0.525533748082502,11.6977006766153
"GSM672645",13.28644796,12.96507435,14.6741539,12.34942305,13.97082379,12.3842197,9.928207063,13.22730074,13.80827249,14.26317249,15.02109257,14.21958662,13.75453086,15.01087881,14.69494015,14.34591822,14.8169052,14.43607286,14.70104777,14.68655279,14.52209926,13.25369033,13.84343978,0.268872949456088,0.616225199656621,11.9534320129525
"GSM672646",12.28581264,11.94543792,13.4345881,11.23750149,12.7521803,10.45131152,7.650009665,12.10715093,12.04739517,12.40194684,13.12244907,12.06771041,11.69219926,13.11887398,12.5479145,12.3842197,12.84824535,12.24736022,12.49802138,12.6866171,12.89143773,12.0179461,13.24788216,0.498506251673515,0.00374428053924012,10.2263611456514
"GSM672648",12.26726022,12.01236766,13.41130855,11.49827212,13.04813494,10.10210855,7.927261338,11.5933277,11.31557286,11.95485762,12.69559926,11.56554647,11.59652825,12.82796729,12.19107955,12.22536784,12.43780892,11.77964126,12.13914164,12.46961654,12.42432045,11.68608067,13.06752156,0.439753678680493,0.151593757417169,10.6432664177855
"GSM672655",12.71656803,12.84362528,14.52209926,11.97097658,13.59499257,11.98850669,8.906881413,12.99076729,13.45025502,13.75689926,14.5149171,13.82289926,13.62222788,14.66569628,14.23797286,14.28826431,14.58349554,13.91315353,14.06186803,14.39777584,14.43977026,12.88276766,14.10461152,0.451624148944854,0.121558984825461,10.5585745047314
"GSM672656",13.24435279,13.10225725,14.99403494,12.38492955,13.6722223,12.51217212,9.702426022,13.15322658,14.06780892,14.5973803,14.98879926,14.3392342,14.55173829,15.15962193,14.94091933,14.7149948,15.10605167,14.3805052,14.70664796,14.87743532,14.9261052,13.34708364,13.96540669,0.377242840750139,0.312730157622585,11.0976380949597
"GSM672657",13.38265911,13.35817584,14.26004424,12.56009368,13.90030558,12.95834721,10.80887472,13.02025465,14.20152714,14.13102342,14.63629591,14.05925799,14.09866691,14.35301933,14.41869665,14.47804424,14.22263903,14.11328476,14.5439829,14.28826431,14.14266803,13.06929071,14.12176357,0.0214050644007367,2.02555771138143,15.9274613212416
"GSM672658",13.83597807,13.2749487,14.8536461,12.57725279,14.11871338,12.90826059,10.50263755,13.82567398,14.71898885,14.72779442,15.1410658,14.78475056,14.37716803,15.28884089,15.15316729,14.51143346,14.97813903,14.91167472,15.24369703,14.84428699,14.78927807,13.45721859,14.23481264,0.177265154867804,0.925837742300831,12.8264760309154
"GSM672659",13.56426171,12.82099442,14.5931777,12.35485911,14.13993457,12.28661636,10.80887472,13.02025465,14.6242052,14.40126208,14.98879926,14.77594758,14.01388922,15.06041338,14.99943048,14.38725613,14.8074855,14.73161599,15.02706357,14.78045019,14.52209926,12.80470855,13.87665688,0.213589514947881,0.794028173743597,12.454800018192
"GSM672660",12.80470855,12.13786729,13.77427435,11.38266952,13.52764833,12.09641227,8.502789963,12.89065985,13.69896357,13.56877881,14.19217844,13.33519294,13.42601599,14.05645093,13.85627844,13.79624275,13.90805539,13.60160558,13.98436729,13.87665688,13.68882788,12.89221561,12.80614647,0.43984727598666,0.151356436693478,10.6425972219048
"GSM672661",13.04813494,12.14741227,13.90805539,11.51739071,13.43859219,11.75807658,8.518662454,12.97950725,13.56651933,13.52997026,14.05925799,13.05679517,13.33925093,13.95716766,13.66527955,13.63154052,13.76680818,13.50188959,13.80343717,13.76423197,13.58176394,12.97704498,13.13574721,0.400270344800759,0.252647410922926,10.928217043277
"GSM672662",12.9736632,12.10021896,13.63154052,11.28562714,13.39879777,11.41278104,8.106679554,12.54641822,13.14873532,13.15971115,13.76919963,12.86008625,12.79327175,13.67938253,13.56539052,13.26739145,13.58176394,13.18693197,13.46987881,13.54336506,13.39298996,12.56328699,12.6482026,0.464720465008812,0.0885482587351337,10.4654910117449
"GSM672663",12.91488662,11.90698848,13.66987732,11.24960967,13.55765056,11.64412119,8.284689219,12.55561822,13.23309777,13.4593829,13.96283048,12.90368476,13.59032751,13.89249665,13.57313309,13.89762082,13.62101933,13.17256729,13.71375353,13.55030911,13.64276654,12.67092974,12.99944721,0.482066951792014,0.0449666348362518,10.342599749934
"GSM672664",13.19629331,12.58602528,14.23157435,11.44763792,13.71644461,12.41490743,9.226846097,13.11539071,14.45389294,14.13440409,14.52209926,13.55765056,13.80343717,14.42209108,14.04023532,14.43607286,14.35464554,13.90293309,14.34949888,14.26634535,14.20445688,13.08133792,13.11887398,0.382339411889584,0.299342377118179,11.0598872933179
"GSM672665",13.08894033,12.48971413,13.7522145,11.34212082,13.84114201,12.67875353,9.187238662,13.20315836,14.26160836,14.26160836,14.6741539,13.27297993,14.04023532,14.15794052,13.87933941,14.45026283,13.99347658,13.66292007,13.93621227,14.3002197,14.15158996,13.14143123,13.02196208,0.361013982716744,0.355749774742954,11.2189446126519
"GSM672667",12.83733197,12.59049108,14.02572788,12.10844647,13.48023494,11.35176059,8.727996283,12.54327509,12.86639294,13.53679182,14.35801691,13.4367223,12.99247212,14.32645576,14.07757751,13.23891599,14.2410829,13.7405171,14.12176357,14.07336952,14.00869331,12.47327881,13.15597175,0.45191574239628,0.120822681097874,10.5564982788806
"GSM672668",12.62237993,12.80153755,13.97636729,12.01920743,13.40275985,11.6064513,8.952978439,12.74756208,13.12244907,13.53679182,14.17513717,13.31737249,13.33142937,14.18104015,13.82056989,13.61520669,14.01388922,13.57540669,14.10146097,13.91563829,13.7405171,12.76007472,13.59952639,0.320050036119234,0.467558885942491,11.5342234280798
"GSM672669",12.76934647,12.87633978,13.92068736,11.99779554,13.39879777,11.71235911,8.844527881,12.75841524,13.22549963,13.56426171,14.30353717,13.28255242,13.51044907,14.26317249,13.96540669,13.78374796,14.14266803,13.52142082,14.0958948,14.02274981,13.95989033,12.9397052,13.49568401,0.355057090289029,0.371702745573577,11.2639287261295
"GSM672670",12.61667063,12.70912007,13.87172416,12.04352379,13.02507807,11.59898848,8.895476208,12.55718141,13.03222825,13.45721859,14.14266803,13.08627212,13.32938104,14.01974312,13.76919963,13.61745502,13.85627844,13.35442714,13.83597807,13.81311004,13.70641859,12.67714424,13.57313309,0.303217335806683,0.515169369075008,11.6684752485525
