"","fadA","fadE","fadN","ccpA","fadR","sdpR"
"fadA",1,0.999125672596324,0.999205320707206,-0.673895803851372,0.981190556926734,0.286091535057682
"fadE",0.999125672596324,1,0.998977400098841,-0.672286619603567,0.979262331650089,0.279238527509739
"fadN",0.999205320707206,0.998977400098841,1,-0.676314740862829,0.979557395078113,0.289716133322557
"ccpA",-0.673895803851372,-0.672286619603567,-0.676314740862829,1,-0.696048210354764,-0.409681728846344
"fadR",0.981190556926734,0.979262331650089,0.979557395078113,-0.696048210354764,1,0.305437531594113
"sdpR",0.286091535057682,0.279238527509739,0.289716133322557,-0.409681728846344,0.305437531594113,1
