"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA","pval","z","inv_cof_var"
"GSM672564",12.90971413,12.66205019,13.30210743,14.04813494,14.63629591,13.83360706,13.55136803,13.15227509,11.50178625,13.43859219,13.03394164,13.2786855,10.29722862,13.39298996,13.59952639,12.79137658,9.174298141,13.81818216,13.32734535,13.4450803,12.04601524,11.79360967,13.90293309,12.95834721,13.25773792,14.10146097,10.8370197,14.52588253,13.04444907,14.27576691,12.40042639,13.49977695,8.710594424,10.75493755,0.473891003552544,0.0654923374040717,8.99680712627079
"GSM672565",12.88900186,13.31737249,14.37361413,13.73114758,14.42209108,13.11539071,12.6482026,12.53408699,11.97502342,14.17513717,13.5191461,13.68413234,11.4102803,13.90293309,14.14266803,13.39298996,10.15888587,13.71904721,12.50036468,15.06617509,11.76959033,11.87881301,14.43247509,13.60618996,13.46569219,14.18951673,11.60144089,14.36337323,13.63642639,15.15962193,12.57880929,12.53718401,8.70175539,11.54940074,0.340621489459443,0.410767564639795,9.48979512925832
"GSM672566",12.57725279,12.41861375,12.65458104,12.50036468,14.07067323,12.47473234,12.5394368,12.10981524,12.67875353,12.43780892,12.65911338,12.7318948,12.32160558,13.958529,14.43247509,12.95834721,8.901939033,12.79665613,12.49265874,14.37000297,10.15135502,11.30132639,13.15227509,13.09337732,12.96003271,13.68668848,12.25010112,14.32280074,12.13786729,13.2291658,11.62253309,12.34786914,7.882130855,11.76822193,0.434157510371952,0.165799142785974,9.14002635478938
"GSM672567",12.47178253,11.9588368,12.41698625,12.61808885,13.80104535,12.92828178,12.47327881,12.10308439,12.80924201,13.12063532,12.59489368,12.91488662,12.00305651,14.1456342,14.55173829,13.37626729,8.552971004,12.87794796,12.72872639,14.31970743,10.2305684,11.4645171,13.42815502,12.9632026,12.80310595,13.55030911,12.15595799,13.99609907,12.60668736,13.70641859,11.70109888,12.28023792,7.885181041,11.76959033,0.494591922021196,0.0135564563902673,8.92265246863903
"GSM672568",12.90673086,12.09511747,12.58894312,12.55092639,13.76194498,12.89897175,12.31318253,12.09219442,13.0393197,12.93148625,12.5077974,12.77412974,12.04739517,14.03156208,14.5149171,12.89221561,8.70175539,12.90826059,12.84514201,14.40469851,10.29234758,11.52100074,13.25572045,12.8679223,12.84992788,13.46569219,12.14592454,13.94912751,12.44216766,13.61280632,11.59397472,12.35485911,8.024810037,11.8217948,0.405636830803311,0.238783246824369,9.24423391114314
"GSM672569",11.7195487,13.55356059,13.47812268,13.93093309,14.60915242,13.63389182,12.9736632,12.85502825,11.69730632,12.74293383,13.08627212,13.0917539,11.37209145,14.50400372,14.86360112,12.6866171,10.65138476,13.31143866,13.20139963,14.1456342,10.15011822,10.89382342,13.70143383,13.88212491,13.66292007,14.16637026,12.87947621,14.48566134,11.72085651,13.13193197,10.85501041,13.31340074,8.710594424,11.6620948,0.464991382207323,0.0878665230270278,9.02875324988076
"GSM672570",11.66456952,13.39879777,13.4345881,13.83360706,14.57414535,13.65160669,13.14873532,12.71352639,11.72211413,12.61808885,13.00986097,13.05331524,11.2785487,13.96283048,14.45737881,12.50852342,10.69138996,13.25572045,13.24257695,14.10303625,10.15378364,11.08210335,13.2291658,13.94912751,13.7522145,14.42209108,12.90368476,14.5973803,11.50890743,12.99247212,10.76314907,13.22730074,8.80799777,11.37927323,0.423752824089613,0.192302004703846,9.17786745064485
"GSM672571",11.65592045,13.15417807,13.1468632,13.59734461,14.5076632,13.40385539,13.25168253,12.38281004,11.78200855,12.56009368,13.11887398,13.03570706,11.11236022,14.42909851,14.53484814,12.35485911,10.51542156,13.57540669,13.10592714,14.13102342,10.0564355,10.8312829,13.42404535,13.8485,13.79981822,14.23797286,12.80310595,14.56695242,11.39223755,12.89984572,10.80641041,13.26433011,8.748798513,11.39588067,0.494299672293764,0.0142890888412938,8.92369852981129
"GSM672598",12.70161301,12.08541747,12.94794461,14.21381301,14.58155874,14.29121375,13.06929071,12.66502602,12.36217918,13.26346171,12.58323271,12.68944535,12.27727844,13.77427435,14.01974312,14.43247509,10.39436654,13.38472454,13.73361487,14.37361413,11.40160372,11.62737993,15.00514164,13.52142082,13.6722223,14.13993457,13.17780409,14.73557435,12.70912007,13.70641859,12.11117286,13.53679182,7.733788104,11.49708959,0.420896852314721,0.199599646042517,9.1882871082
"GSM672599",13.24606989,12.35341599,13.20690632,14.11029777,14.55987026,14.16922491,13.16499442,13.18166543,12.47040149,13.15227509,12.50487918,12.70631673,12.29913829,13.49977695,13.95421375,14.72338401,10.44395465,13.38685874,13.64726729,14.41536729,11.56494721,11.48265204,14.98879926,13.44091413,13.62914721,14.1456342,13.20315836,14.64045799,13.33519294,13.86138401,12.10715093,13.20505651,7.66687881,11.36494387,0.402487100374572,0.246914750129164,9.25584416655478
"GSM672600",12.68798067,12.1703171,12.98202045,14.25402268,14.26634535,14.20445688,13.05331524,12.63741822,12.16102881,13.49333755,12.76934647,12.88436691,12.09641227,13.92820372,14.03459963,14.33130985,11.28675688,13.30389257,13.56426171,14.58946431,11.35176059,11.77196952,14.91633309,13.61520669,13.59499257,14.01692193,13.02354647,14.38725613,12.75389331,13.97636729,11.95485762,13.33519294,8.281063941,11.66081524,0.196795783902096,0.853122152668781,10.1213941776775
"GSM672601",12.64338773,11.87618959,12.81874535,14.09040223,14.60915242,14.31640743,12.97704498,12.41567323,12.04992751,13.15065688,12.41094461,12.45103717,11.76822193,13.65388439,13.83597807,14.37000297,10.57109665,13.08627212,13.48706506,14.42209108,11.36849442,11.70990037,14.98879926,13.45520892,13.47196803,13.86138401,12.8679223,14.77223197,12.48666022,13.75962305,12.03685651,13.16499442,8.006855762,11.25331078,0.393009327695278,0.271484193164875,9.2909247043439
"GSM672602",12.71507175,12.14044424,13.17062045,14.29121375,14.49691561,14.47120892,12.92910465,12.56009368,12.36000818,13.56203011,12.74603086,12.78510967,12.17875688,13.84114201,13.89516245,14.46736729,11.41637175,13.34303457,13.68668848,14.35627175,11.34337435,11.84500446,15.06617509,13.59499257,13.65857993,13.64514461,13.02672268,14.51807323,12.45830409,13.47612974,12.14299442,13.51702342,7.963007807,11.89014201,0.239456461522428,0.70805206924899,9.91426141784718
"GSM672603",13.0917539,12.23579331,13.05860929,14.21381301,14.7149948,14.29121375,13.00986097,12.62693755,12.54327509,13.2786855,12.57565725,12.60530818,12.12215242,13.50622305,13.80104535,14.54790446,10.59812825,13.37626729,13.72151636,14.177971,11.49097026,11.82445613,15.26837881,13.49568401,13.51480558,13.7109197,12.97873309,14.71080558,13.09848885,14.32645576,12.23710446,13.54736245,7.739739777,11.58383606,0.378275451195043,0.310013221054187,9.34593690046429
"GSM672604",13.05860929,12.28366413,13.12800297,14.22852825,14.41869665,14.2572026,12.93638178,12.48055799,12.5077974,13.27297993,12.54249219,12.60668736,12.16308104,13.66987732,13.89382955,14.47455279,10.64676803,13.42184944,13.76680818,14.11328476,11.55800706,11.98183086,15.13492268,13.46987881,13.61520669,13.72863755,13.04626283,14.61673569,13.12244907,14.39777584,12.16812268,13.62670483,8.169930112,11.53395353,0.255014077067685,0.65879385457434,9.84392996349524
"GSM672605",13.23499331,12.41861375,13.13574721,14.27893866,14.47455279,14.26004424,13.00295056,12.83257361,12.53718401,13.28071041,12.80542751,12.77089368,12.22386022,13.70143383,13.9974171,14.44658587,10.66314126,13.34708364,13.78840558,14.26946022,11.32936877,11.73350112,15.30855836,13.47812268,13.50188959,13.92068736,12.88900186,14.61295725,13.35631375,14.53294684,12.00707993,13.6561342,7.793164312,11.32364052,0.392754199616013,0.272147771031949,9.29187216857449
"GSM672608",12.80232175,13.28071041,14.18951673,12.76007472,14.08497249,12.29166617,12.66355688,12.48356283,12.31870483,13.35045167,13.1136368,13.02196208,11.88390743,13.77660149,14.02859517,12.25213532,11.24703346,13.68413234,12.76305799,15.46632379,11.38209033,11.33162788,12.97704498,13.55765056,13.76680818,14.65334089,13.31830613,13.93093309,12.35779405,13.16865353,11.40160372,12.41256617,8.211057249,11.61259814,0.225425762995921,0.753996162573451,9.97986093101943
"GSM672609",12.71507175,13.2291658,13.93337732,12.99944721,13.97636729,12.45247361,12.67568848,12.09768922,12.3463026,13.46152045,13.07116617,13.0743855,11.99250855,13.93093309,14.17215799,12.40656468,11.50417435,13.73822305,12.79137658,15.38340149,11.64603123,11.58947138,12.94794461,13.53224944,13.74295651,14.28199294,13.2692461,13.91315353,12.04223755,13.04989703,11.46098476,12.34492491,8.468954647,11.66571561,0.114546069650942,1.20270076107261,10.6205265985693
"GSM672610",12.78510967,13.14873532,13.7405171,12.66355688,14.55173829,12.52103866,12.76934647,12.36989182,12.53577732,12.65748922,12.57725279,12.80470855,11.27490967,13.87665688,14.33589145,12.42150967,9.556754275,13.78122565,12.86164312,14.49861152,11.00720223,10.82642677,13.32734535,13.37430892,13.55989331,14.50400372,12.39912119,14.08497249,11.72211413,12.8108052,11.45253383,12.13388587,8.316217472,11.64984052,0.407586969699658,0.233756606339748,9.23705681513747
"GSM672611",12.76756729,13.0917539,13.50083327,12.60364461,14.31325613,12.29611413,12.92992751,12.40805911,12.30054126,12.69864721,12.5655013,12.78510967,11.19995948,14.10461152,14.25115204,12.6482026,9.215022305,13.5984355,12.60668736,14.41869665,11.01971134,10.74508104,13.24788216,13.37237472,13.36832156,14.55602639,12.15447286,14.17513717,11.64603123,12.87633978,11.23069257,12.01371413,8.321933829,11.53395353,0.464599285425573,0.0888532081931419,9.0301620504875
"GSM672612",12.00437026,14.35976208,13.19793569,11.84500446,14.74947249,11.3084513,13.47196803,12.90971413,12.17875688,11.85276729,11.97618699,12.33317249,10.63955428,12.99944721,13.0393197,11.04578699,14.83115242,14.13993457,12.93638178,12.70310595,10.45367881,9.859080669,11.93222788,14.16922491,14.14860818,15.01592007,12.14741227,14.97813903,12.23579331,13.30005502,11.27143494,12.57254721,15.41281338,11.25813941,0.494882881462714,0.0128270657487703,8.92161103616028
"GSM672613",12.39153123,14.39460335,13.65388439,11.94935167,14.76273346,11.57041264,12.99944721,13.05512156,12.40194684,11.84635353,11.54112342,12.24009331,10.31645688,12.97032825,13.27106394,10.86867993,14.86847249,14.0958948,12.72569926,12.79327175,10.76431338,9.745832714,11.61139071,14.01120595,14.06186803,14.961471,11.89151413,14.58543234,12.46461859,13.20690632,11.08095762,12.26005576,14.56695242,10.73348922,0.478470919107957,0.0539916232131056,8.98038627219641
"GSM672615",12.48666022,14.28666152,13.53679182,12.20653755,14.87743532,11.8064539,12.99767955,12.63599665,12.18289145,12.00570595,11.71712751,12.33017993,10.3503487,12.9331223,13.28163141,10.85080967,14.73161599,14.00869331,12.92673643,12.70631673,10.42834387,10.03850483,11.96003271,14.12791078,14.09040223,14.88252156,11.73722937,14.961471,12.26289851,13.35817584,11.21065762,12.52257955,14.43977026,11.01789926,0.409688818020258,0.228345524215953,9.22933080886831
"GSM672616",12.80000632,13.80104535,13.6049855,11.79868662,14.13440409,11.01078959,12.8108052,13.02025465,12.38124796,11.95744758,10.93447918,12.1883777,11.12166803,12.97032825,13.66527955,11.52813271,13.08627212,14.34210483,12.4632171,12.52835316,11.37077807,10.51542156,11.88511933,13.48023494,13.66069851,14.94641301,11.77964126,13.65388439,11.74700781,12.18972751,11.12637026,11.8179803,13.29238922,10.54862454,0.0771757415513882,1.42432821661229,10.9369688686634
"GSM672617",12.46005688,13.63515911,13.31923978,11.74700781,14.44658587,11.19147212,12.98028141,12.90509033,12.34201004,12.01236766,11.34454126,12.25424572,10.81730223,13.25572045,13.79624275,11.96838401,12.88900186,14.23481264,12.44963011,12.58602528,11.20569219,10.53004981,12.45414126,13.31550074,13.69896357,14.79863755,11.68671264,13.84114201,11.57396654,12.24615948,11.12871487,12.0542368,13.1376223,10.88695465,0.0430228957636986,1.71663550208195,11.3543286256205
"GSM672624",12.02055242,12.75551227,13.11539071,13.2139171,14.12176357,12.71352639,13.42184944,12.68047472,11.57153606,12.98548327,12.5897171,12.49718067,10.92964758,14.88252156,14.88755316,13.36438513,10.44165911,13.25572045,13.0917539,13.95716766,10.36235093,11.06917918,14.31640743,13.37237472,13.50188959,13.60378104,12.83022305,14.16637026,12.00570595,13.68882788,11.43214164,13.01521004,8.272876208,11.66334796,0.435432033010067,0.162561037998945,9.1354029509466
