"","cgeC","gerE","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","gerR","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","spoIIID","pval","z","inv_cof_var"
"GSM672597",13.67938253,16.26199628,11.02488141,11.69867212,13.06752156,14.65737807,14.49293792,11.64867435,10.09954424,16.23596914,14.2572026,14.23797286,14.09040223,14.12469963,14.19545279,14.42209108,14.29400892,14.47120892,14.45737881,14.55602639,14.67824238,14.6242052,16.32106729,16.28856134,16.16017398,13.72863755,13.95159331,13.60378104,13.7935658,13.7086368,15.84610186,13.63843383,14.97281599,14.64447732,15.10605167,13.30005502,15.06617509,15.22313234,16.33439926,16.19371115,15.90234647,0.0194383328880018,2.06548994686152,9.98395725076156
"GSM672609",7.411239405,9.788014126,9.164875465,11.19026506,8.01150855,7.730020074,7.611296654,7.295504833,11.57506468,8.116738662,8.924918587,7.62020948,7.650818216,7.875115242,7.915737175,7.934310781,7.92102974,8.147725651,9.014144981,9.076839777,9.052309665,8.625594052,8.196510409,8.460543123,10.25008439,8.917146097,7.966381413,7.737322862,7.66687881,7.610263941,8.778986803,9.675759108,7.612225279,7.237405204,7.193237918,7.909552788,7.62020948,8.397859108,8.215446097,7.301544238,7.182719331,0.38132571134019,0.302000839900912,8.2039865210907
"GSM672610",7.111310409,9.481560223,8.382762082,9.82232974,8.422989219,7.515012639,7.469724535,7.122063197,12.25859294,7.075526766,8.596839033,7.646154275,7.706005204,7.778707063,7.887707435,7.925253903,7.8573171,8.051954647,8.555434201,8.526891822,8.685659851,8.493610595,7.085886989,7.198866171,9.698559851,8.499108178,7.563181041,7.452099257,7.368476952,7.208010781,8.219970632,9.1231,7.812289591,7.509637546,7.21709368,7.703069517,7.425346468,7.792295911,7.251828625,7.05796171,7.264803346,0.446068275005845,0.135601208528291,8.03603171371354
"GSM672611",7.089604089,9.423149442,8.425394052,9.837497398,8.297544238,7.522116729,7.391549442,7.35901487,12.27877435,7.214778439,8.678208922,7.456380669,7.605464312,7.735995539,7.919,7.83154052,7.907455762,7.902549071,8.634157249,8.590889591,8.699295911,8.525015985,7.372210409,7.280977695,9.611350558,8.484646468,7.520043494,7.437034201,7.271315613,7.245731599,8.205537918,9.120642751,7.680215613,7.298382528,7.193237918,7.646154275,7.347610037,7.96097026,7.280100743,7.068984758,7.222985502,0.440284344342836,0.150248340292841,8.05081573801606
"GSM672613",7.143272862,9.166081041,7.706005204,9.947730112,8.447001487,7.316581784,7.257305576,7.493678439,12.07855874,8.104676952,11.05172937,7.482289963,7.339555948,7.528486617,7.481363197,7.591762082,7.589801115,7.810275465,8.130766914,8.91457658,9.293330483,9.352210781,8.831322305,8.212000372,9.363718587,9.184917472,7.700126394,7.240568401,7.095104089,7.106628996,9.662597398,8.976527138,7.847688476,7.633748327,7.909552788,7.332467658,7.860385502,8.089684015,8.296347212,8.028971747,11.6522461,0.449682644846891,0.126463184308281,8.02680828524186
"GSM672615",7.399576208,9.110960595,7.92877658,10.16816171,8.71819145,7.623303717,7.437914498,7.391147398,12.36369665,8.327762825,10.92904517,7.504303346,7.571387732,7.606937732,7.835530855,7.80720632,7.849694796,8.129672119,8.688081413,9.272026208,9.376255762,9.509933457,7.78546171,7.533066543,9.595648699,9.068281041,7.665011524,7.323299257,7.186222677,7.236266543,8.640388476,9.183775093,8.004321933,7.521367658,7.695330483,7.491115242,7.983840149,7.99810855,7.554816729,8.156835688,11.7111632,0.466200856552872,0.084823496809435,7.98477943196001
"GSM672618",15.63961115,15.66117193,12.84362528,12.74905093,14.16068439,14.14860818,13.90030558,14.16357621,11.48512491,16.22890372,13.29824572,14.60165465,14.56330743,14.50030743,14.5973803,14.74487584,14.62074498,14.89277844,14.78475056,14.64878104,14.66993086,14.60915242,16.1452197,16.28248513,15.58130781,14.83115242,14.91633309,14.87297918,14.8536461,14.85846468,13.73822305,13.84114201,12.48742621,11.80505465,14.71898885,14.72779442,12.51953383,14.55987026,16.3629342,14.94641301,14.24448885,1.03998566275914e-06,4.74549492146142,12.6890096331842
"GSM672619",15.58944684,15.13492268,12.59922416,12.44216766,14.19849442,14.10461152,13.85627844,13.70143383,11.41145911,16.26530651,13.1395539,14.37361413,14.19217844,14.29703011,14.47455279,14.45026283,14.5149171,14.68655279,14.61295725,14.65737807,14.51143346,14.34591822,16.32825874,16.4191316,15.95731301,14.73161599,14.82635502,14.61673569,14.5973803,14.47120892,13.59032751,13.28452677,12.64033755,12.00980706,13.90030558,14.56695242,12.61107732,14.46409554,16.4320948,15.97278996,14.50030743,3.12758841855536e-05,4.00297177045556,11.9395468382757
"GSM672620",14.66993086,14.6242052,12.40805911,12.22466394,13.11002677,12.96003271,12.67092974,12.71507175,11.31335911,16.15247212,12.85840781,13.54336506,13.60618996,13.7086368,13.86269442,13.94912751,14.00300297,14.13993457,14.13102342,14.0958948,14.18951673,14.04280037,15.84610186,16.05834275,14.28826431,13.95159331,14.10146097,14.03156208,13.99217212,13.91315353,12.30054126,13.0393197,10.99658662,10.54498996,13.47612974,14.18383309,11.66900595,13.01151115,16.13797361,14.36693011,15.15962193,0.0049265213178794,2.58094448004046,10.5042292376501
"GSM672621",14.94091933,15.0717881,12.6418026,12.42726766,13.21777212,13.14322714,12.80753569,12.47687807,11.07624796,15.77650855,13.10414349,13.75453086,13.72616989,13.81937602,13.93093309,14.2077948,14.05076654,14.19697361,14.26317249,14.30353717,14.28826431,14.13993457,15.62225242,16.07966952,14.46409554,14.05645093,14.04023532,14.12791078,14.23157435,13.96823197,12.31027584,13.01324461,11.52583048,10.66912045,13.84114201,14.35976208,11.81923755,13.32523234,15.98922119,14.70303309,15.57326431,0.00108964244883859,3.06464502163424,10.9924504591845
"GSM672622",11.71712751,12.63599665,8.927639405,10.23546394,9.946295911,10.32859814,10.2305684,8.339630112,10.7172513,14.04280037,12.65605019,10.4978948,10.49909703,10.46688848,10.61145855,10.9565684,10.77818476,11.12529665,11.03188587,11.8064539,11.73846877,11.76055242,13.19629331,13.49877379,12.83584424,10.75825539,10.64563569,10.50820223,10.47153086,10.46929405,9.45124052,10.43819554,9.602318959,8.892368959,11.89681338,11.00960112,10.25371375,10.69941338,13.1376223,13.40705576,14.6741539,0.308415607818794,0.500346360344724,8.40418578478777
"GSM672623",11.68608067,12.94628513,9.013538662,10.2952948,9.723099628,10.21035353,10.3563777,8.674690335,9.671051487,14.40469851,12.86331896,11.09271227,10.82410781,10.46197286,11.05971004,11.03646654,11.16841784,11.27025613,11.29289665,11.78525279,11.9607671,11.82445613,13.48460855,13.80583271,12.83418104,10.91329926,11.08451636,10.80278067,10.79974312,11.04224089,9.519147584,10.67743309,9.888286245,9.225162454,11.8387684,11.35825762,10.39560743,10.68536877,13.57959368,13.39496283,15.08894944,0.338128533750298,0.417576108863053,8.32064196002392
"GSM672624",8.746243494,10.60271673,8.94377881,10.29585874,8.590303903,8.96372119,9.014144981,7.287647584,12.05132193,10.92041933,8.56395316,8.80037881,8.608751673,8.580458364,8.71819145,8.699295911,8.71195948,9.059653903,9.326156134,9.206534201,9.383746097,9.168436059,10.8370197,8.890312639,11.63750186,8.517363569,8.510088476,7.658371375,7.66315539,7.733788104,8.387723048,9.397619331,9.018973606,8.230542007,10.50714535,8.169930112,8.455767286,9.298148699,8.572614126,11.67702007,7.94674684,0.398635479548569,0.256880584494365,8.15844457040786
"GSM672625",8.768963569,10.77255948,8.984360223,10.28045836,8.645266171,8.976527138,9.045071375,7.224612639,12.10715093,10.92964758,8.543721933,8.80799777,8.550620446,8.539452788,8.724292565,8.596839033,8.688081413,8.972713011,9.340096654,9.290828625,9.369321375,9.142003346,10.90965465,8.937118216,11.63001524,8.499108178,8.526891822,7.667759108,7.684879182,7.673636059,8.364326022,9.207155948,9.127955762,8.270647955,10.36729665,8.238844238,8.470127138,9.243945353,8.592207063,11.92944684,7.989135316,0.454365225732989,0.114640027530908,8.01487462888245
"GSM672626",7.14393829,10.02264535,9.137415985,10.45909944,8.313920074,7.733788104,7.533066543,7.345710781,12.13914164,7.280977695,8.596839033,7.506534758,7.469724535,7.612225279,7.802120446,7.772822305,7.862260595,8.065120818,8.868964684,8.745098513,8.67227658,8.474272119,7.249794424,7.547315613,9.286335316,8.097211524,7.652643494,7.428180669,7.408428625,7.444192193,8.230542007,9.415497026,7.927261338,7.544337732,7.20119777,7.76787026,7.953687361,8.199758736,7.533924535,7.154222305,7.095104089,0.410559691953066,0.226105478231051,8.12738183906748
"GSM672627",7.195415613,10.42009851,8.806852788,10.1266829,8.175404461,7.681131227,7.404819331,7.363712268,11.87752714,7.372210409,8.395967286,7.39422342,7.332467658,7.563633457,7.72549145,7.730965428,7.777772862,7.862260595,8.576081413,8.43369145,8.431318959,8.369905204,7.236835874,7.510571747,9.71651487,7.901559108,7.618400372,7.253958364,7.148817472,7.385176952,8.308172862,9.299215242,7.684879182,7.292366914,7.168733457,8.117831227,7.726288476,7.922566729,7.571387732,7.301544238,7.233686803,0.318504193643347,0.471885683642164,8.37545911373705
