"","hemZ","rex","lctP","ldh","ywcJ","pval","z","inv_cof_var"
"GSM672549",11.33162788,12.97873309,12.20520706,12.87464238,9.798108922,0.273848421714761,0.601214927265786,8.69087825843281
"GSM672560",11.78835316,12.79829665,15.10096468,15.84610186,13.15322658,0.444024229627052,0.140774030673205,7.56800612753862
"GSM672562",11.32758364,12.35195651,11.26048625,12.28023792,9.211330855,0.296832159410233,0.533533512823249,8.52582434028733
"GSM672563",11.15301375,12.22038662,12.41567323,13.40495093,9.89214461,0.426242806847005,0.185947906028387,7.67817115861254
"GSM672565",10.93927732,12.27143792,9.923634944,11.14367621,8.908124535,0.133080119056775,1.11194862975721,9.93639889980075
"GSM672569",9.109746468,12.58170112,7.79415316,8.008369145,7.445860967,0.0490770103463237,1.65386955032169,11.2579754655523
"GSM672570",9.020110409,12.86961896,7.754774349,7.952664312,7.455511152,0.0298865682620338,1.88246331324379,11.8154445513372
"GSM672571",9.168436059,12.49265874,7.817295911,7.970501487,7.454666543,0.0653569588237067,1.51129260334508,10.910274639121
"GSM672572",8.937742751,12.51518699,7.688649814,8.241036059,9.142003346,0.0114402511666484,2.27542407802357,12.7737536298127
"GSM672600",11.70220223,13.11278271,9.669020446,10.09429981,8.668460967,0.383848596211333,0.295388401592321,7.94506248683599
"GSM672601",11.77574349,12.63741822,10.29002602,10.93189145,8.659134201,0.391414238767589,0.275634930971053,7.8968899161256
"GSM672602",11.90698848,13.1633513,9.098998885,9.763730112,9.167288104,0.441106608540957,0.148164158326621,7.58602835025425
"GSM672612",9.572453532,13.24788216,7.427298885,8.009399628,7.17857881,0.457367442854898,0.107068186297247,7.48580805699775
"GSM672613",9.637282528,13.08133792,7.381439405,9.192094796,8.054964684,0.331225010639583,0.436533055871888,8.28927039688064
"GSM672614",9.458850929,13.01695428,7.163301115,7.612225279,8.628068773,0.3798411263805,0.305898073580322,7.97069230787816
"GSM672624",10.15888587,11.64474981,8.162204833,8.534192193,7.790382156,0.329547971051673,0.441161694778978,8.30055820747959
"GSM672625",10.12191822,11.61139071,8.111744238,8.611122677,7.854380669,0.293433261671224,0.543382425688179,8.54984277535136
"GSM672626",10.24510112,11.62737993,8.397209294,8.898016357,8.150184387,0.170828180928211,0.950897596859249,9.54364552400134
"GSM672627",9.745832714,12.10581004,8.218820074,8.539452788,8.194155019,0.0286158206860223,1.90153753156616,11.8619606369657
"GSM672628",9.696065428,11.88757881,8.30290316,8.898016357,8.472410781,0.00205886804270267,2.86899860977965,14.2212972868811
"GSM672629",9.712572491,11.93482268,7.8193171,8.037214126,7.72153197,0.247068470393562,0.68374383079552,8.89214058428739
"GSM672631",9.206534201,12.83902974,7.403995539,8.448307063,7.263282528,0.25897502179864,0.646508578066148,8.80133538456247
"GSM672632",9.265559851,12.90509033,7.694331227,8.495408178,7.429891078,0.136482028189636,1.09626217725056,9.89814452126343
"GSM672634",10.02264535,11.92018364,8.723092565,9.898328625,8.494200372,0.0306867467567988,1.87079505346344,11.7869892950376
"GSM672637",9.982824907,12.11117286,7.858394796,8.263677323,7.750881041,0.34962778938267,0.386325552153259,8.16682991189197
"GSM672638",10.03007658,12.05679591,7.800219703,7.973584015,7.609332714,0.47014803948363,0.0748977346707894,7.40735433180315
"GSM672640",9.57370223,12.48356283,7.500678067,7.652643494,7.407572119,0.408804070801468,0.230622428800806,7.78711842405611
"GSM672641",9.813261338,12.20520706,8.088671747,10.22599703,8.285950558,0.304187170820983,0.512395354387699,8.47427494669229
"GSM672643",9.799172862,12.36067658,7.941649071,8.214330483,7.827565799,0.207550856175118,0.814948635117573,9.21210829198435
"GSM672654",9.197054275,12.33457361,7.117533829,7.141876952,7.480480297,0.403761155979779,0.24362364751516,7.81882435259122
"GSM672656",9.975315242,12.48971413,7.496847212,8.148339963,7.603278625,0.499234225075305,0.00191951425699699,7.22938315141644
"GSM672660",9.491711524,12.19544498,10.83366729,10.77706283,10.42730372,4.81711289112746e-05,3.89962382082954,16.7346716101634
"GSM672661",9.485410037,12.42726766,10.87436729,10.99318253,11.14255428,0.00328179864937598,2.71821096846878,13.8535731308293
"GSM672662",9.613957249,12.25278848,10.42009851,10.75005539,10.45493383,5.32954941914255e-09,5.71989326860727,21.1737426152664
"GSM672666",9.839937175,11.39588067,7.624310781,7.906473978,7.46099777,0.46508810872765,0.0876231304382214,7.43838761396291
"GSM672667",9.827327509,11.47064201,7.790382156,8.113799628,7.351365799,0.433755652638299,0.166820478100078,7.63152531130547
"GSM672668",9.769912639,11.69346877,7.856371375,8.123189219,7.479533457,0.341113363485656,0.409426457180004,8.22316583392871
"GSM672669",9.769912639,11.86596059,7.983840149,8.415459851,7.465363941,0.297916178910075,0.530403272122256,8.51819065685011
"GSM672670",9.748265056,11.98320223,8.12799145,8.517363569,7.577777323,0.206983676041911,0.816931890274958,9.21694483443998
"GSM672671",9.704783271,12.32301375,8.062080297,8.582377695,7.545562825,0.211791155946548,0.800221781878252,9.17619407758555
"GSM672672",9.530714498,11.8469671,7.935463197,8.341881784,7.55573197,0.150422565851969,1.03462273618161,9.74782509687604
"GSM672673",9.356781413,12.40504387,8.084459108,8.462952416,7.488408178,0.079350153903202,1.40945622810462,10.661927395175
"GSM672674",8.939422491,12.53718401,8.62324461,9.314887361,7.205772862,0.203119864612897,0.830529051904873,9.2501040823836
"GSM672675",8.780972862,12.71191784,7.861794238,8.198600743,7.401328996,0.00318579350209471,2.72801935151863,13.8774927262808
"GSM672676",8.71195948,12.67413941,7.645181784,8.058956134,7.130428996,0.0304294191355796,1.87451963547505,11.796072392067
"GSM672677",8.940002974,12.76461152,7.841605948,8.721894796,7.206927881,0.112113177397856,1.21536645862152,10.1886028172388
"GSM672678",8.985678439,12.65290223,7.598236431,7.936460595,7.431591822,0.0414987958894229,1.73355206580898,11.4522963363141
"GSM672679",9.201721561,12.68047472,7.361776952,7.802120446,7.085886989,0.320123831935372,0.467352551574767,8.36442956078002
"GSM672692",9.598244981,11.99124944,7.420795167,7.583214498,7.306538662,0.480960202100922,0.0477438280189038,7.34113439945148
"GSM672697",9.715221933,11.89151413,9.947730112,11.11236022,8.887666543,0.0714582193048835,1.46501641750234,10.7974214156314
"GSM672701",10.01882751,11.71712751,8.15352119,8.517363569,7.603724535,0.331189394637223,0.436631258754057,8.28950988316515
"GSM672702",9.970596283,11.75743327,8.103662082,8.611122677,7.482289963,0.364376238363306,0.34678549273319,8.0704040055373
"GSM672703",9.911007435,11.57506468,8.186486989,8.450677695,7.620645725,0.265547112616529,0.626336538293282,8.75214205388341
"GSM672704",10.56574944,11.91770855,8.35060855,8.577357993,7.897266914,0.455078692167594,0.112840026609374,7.49988378024132
"GSM672705",10.49963327,11.97239591,8.372318216,8.645266171,7.97259145,0.386832595093954,0.287584004796561,7.92602999053679
"GSM672706",10.41153829,11.74586245,8.245984201,8.572614126,7.638837361,0.487497835751211,0.0313434096535957,7.3011388802574
"GSM672708",10.38541896,12.60530818,8.215446097,8.524420446,7.695807993,0.465916409133556,0.0855390921922794,7.43330529290194
"GSM672709",10.17246059,12.35006059,8.089684015,8.556642751,7.526581784,0.447936258389172,0.130877117213286,7.54387063395356
"GSM672710",9.464062082,11.86338253,8.38646803,8.661983643,7.544768401,0.073862606262116,1.44761336043064,10.754980772494
"GSM672711",9.347269517,11.81292007,8.077768773,8.523889219,7.357145725,0.128073263495835,1.13554622144804,9.99394608612139
"GSM672712",9.350366729,11.86661506,8.050930112,8.708798885,7.209154275,0.222085138020422,0.765170075957094,9.09071386935375
"GSM672713",8.108623048,12.75065836,8.285950558,8.886296654,7.367472119,0.00848242217899652,2.38746876352751,13.0469957672906
"GSM672714",8.270647955,12.69237249,7.847688476,8.821174721,7.152958364,0.0434660510923758,1.71180775649531,11.399268729265
"GSM672715",8.239889591,12.79503234,8.257919703,8.986883643,7.053049071,0.114237459552621,1.2042967067637,10.1616071356018
"GSM672716",9.975315242,12.08541747,7.88676171,8.169343866,7.610263941,0.394806822844401,0.266812349024552,7.87537438294085
"GSM672717",9.919852788,12.12529108,7.83154052,8.016636059,7.55573197,0.416004920143433,0.212124584712768,7.74200793590922
"GSM672718",10.00012416,12.13522082,7.843184944,7.958960223,7.515012639,0.47567194541449,0.0610192343153542,7.37350898621581
"GSM672719",8.894226394,12.15595799,7.872061338,7.943737175,7.070077323,0.0805118322524706,1.40163702596931,10.6428587932577
"GSM672720",8.883541264,12.28581264,7.818343866,7.846815613,7.001856877,0.108787095153219,1.23300421847244,10.2316158274526
"GSM672721",8.979176952,12.17460074,7.970501487,7.991175093,6.993476952,0.141062070245722,1.07555987544304,9.84765804641497
"GSM672724",11.40038773,13.16499442,9.313763941,9.913620818,8.436023792,0.401919427771752,0.248382004745787,7.83042850583358
"GSM672736",9.210145725,13.60160558,8.915866543,11.40038773,8.494200372,0.483204071577636,0.0421135942325047,7.32740401047876
"GSM672758",10.17489219,12.01111041,8.373463569,8.764030483,7.612225279,0.356194204281763,0.36865028606512,8.12372543563153
"GSM672759",10.26107435,11.87881301,8.464214126,9.062107435,7.624310781,0.37754535696124,0.311933958681371,7.98541195423322
"GSM672760",9.959482156,11.86197993,8.651625279,9.298148699,7.749934201,0.179737703386482,0.916365151540584,9.45943163086781
"GSM672761",10.51776357,11.78330967,8.891684015,9.464062082,8.122149442,0.212817726167239,0.796682495939868,9.16756286004408
"GSM672762",10.45007435,11.57506468,8.671066914,9.084210409,8.083214498,0.231349822995053,0.734408765676888,9.01569660160224
"GSM672763",10.29061264,11.59268067,8.566478067,8.966280669,8.000223048,0.20966468375045,0.807585272824851,9.19415134165834
"GSM672764",10.31645688,11.68223941,8.460543123,8.770366914,7.984951301,0.258298455051006,0.648600070240592,8.80643588343658
"GSM672765",10.32496394,11.76055242,8.503986617,8.803594052,7.957765056,0.26248802375565,0.635693755134175,8.77496139528233
"GSM672766",10.59128327,11.61633606,8.647807807,9.175440149,7.888650743,0.38137089563151,0.301882297302241,7.9608990786061
"GSM672767",10.05462639,11.752071,8.525611524,9.2522,7.812289591,0.202311297571553,0.833393933204957,9.25709063677959
"GSM672768",10.1452829,12.09898662,8.524420446,8.822447584,7.88463829,0.198006023638775,0.848765039491478,9.29457598397154
"GSM672769",10.2214171,12.03426766,8.17870632,8.908124535,7.702029368,0.379365037152216,0.307148853035479,7.97374256992587
"GSM672770",10.2305684,12.16173569,8.849630483,9.432344238,8.005370632,0.153015801626147,1.02358442833295,9.72090609739703
"GSM672771",10.53120149,11.83996506,9.084210409,9.780388104,8.446383086,0.08725279119135,1.35786797026079,10.5361196803458
"GSM672772",10.81124015,11.49590892,8.926239777,9.559210037,8.405745725,0.222464791098293,0.763895394491209,9.08760531773638
"GSM672773",10.60271673,11.82952268,8.71819145,9.277469145,8.34082119,0.193990405557907,0.8632849603572,9.32998555467555
"GSM672774",10.42480074,11.7060368,8.80615,9.283050743,7.962027881,0.249522529474594,0.675993047968844,8.87323883578266
"GSM672775",10.58157807,11.82700706,8.468954647,9.402522677,7.697311524,0.492668843626079,0.0183775182498125,7.26951910404453
"GSM672776",10.54625725,11.75559182,8.34510632,8.91187026,8.134901115,0.340034275544798,0.412369587090929,8.23034321234804
"GSM672778",9.89214461,12.03948625,8.236467658,8.713237546,7.847688476,0.14749298293852,1.04724636562949,9.77861020263587
"GSM672779",10.01882751,12.04472491,8.231637918,8.715765799,7.827565799,0.216702751083742,0.783377436437981,9.13511595833505
"GSM672780",9.980197026,12.01517881,8.607624907,9.220974721,7.832513011,0.148151423225646,1.04439463138248,9.77165570981307
"GSM672781",10.16753123,11.93087695,8.751308178,9.428277695,7.871095539,0.20245271261219,0.832892384152011,9.25586751464166
"GSM672782",10.38045316,11.58188532,8.680669517,9.263217472,8.053334201,0.21006307175454,0.806202420128461,9.19077899405543
"GSM672783",10.3503487,11.61507807,8.680669517,9.437442007,7.993102602,0.233302634627989,0.728013586739847,9.00010074933624
"GSM672784",10.32126059,11.82046914,8.736597398,9.520383643,7.92674777,0.249614492280466,0.675703387872716,8.87253244490431
"GSM672785",10.16816171,11.73118327,8.60996171,9.367478067,7.696285502,0.302569031754315,0.517025922093247,8.48556746103073
"GSM672786",10.2203197,11.54112342,8.175404461,8.762066543,7.792295911,0.34506310041041,0.398683807103182,8.19696785179359
"GSM672787",10.17872528,11.59519071,8.114809665,8.96372119,7.846297398,0.320493111146312,0.466320339185505,8.36191231582275
"GSM672788",10.24267955,11.72211413,8.069927509,8.476170632,7.782479554,0.402079095741255,0.247969259493338,7.82942194854346
"GSM672789",10.42480074,12.38281004,8.285950558,8.622026766,7.88627026,0.398254359847787,0.257868080889008,7.85356209499038
"GSM672790",10.1254855,11.77697584,8.424176208,8.7329829,7.890224164,0.206914514063102,0.817173948317577,9.21753513871601
"GSM672791",10.26853903,11.57153606,8.454589219,8.62690223,7.980865428,0.249504958689237,0.676048398050932,8.87337381741674
"GSM672792",10.26853903,11.76691301,8.329036803,8.646530112,7.824440149,0.330030330986153,0.43982941436891,8.29730918995297
"GSM672793",10.29473086,11.4657,8.169930112,8.479710781,7.74787026,0.417871452836441,0.207341833307189,7.73034429286173
"GSM672794",10.27928476,11.88390743,8.281063941,8.62324461,7.670738662,0.405138153370255,0.240069592365727,7.81015711753784
"GSM672795",9.887065428,11.99907435,7.746923792,7.966381413,7.350939963,0.487823716316791,0.0305261572453164,7.29914585583243
"GSM672796",9.987783271,11.69867212,8.167665428,8.864891078,7.716571004,0.261851649118054,0.637647299745324,8.77972548295689
"GSM672797",10.54625725,12.51146599,8.422378067,8.93649368,7.923060595,0.394858674927005,0.266677667881224,7.8750459375236
"GSM672798",10.50141338,12.42432045,8.404481041,8.730405576,8.023792937,0.35494967199126,0.371991277047185,8.13187307345235
"GSM672799",10.45367881,11.60519591,8.608751673,9.011796654,8.138221933,0.226287467275718,0.751129149269653,9.05647241646386
"GSM672800",10.41638848,11.69090818,8.674690335,8.930201115,8.161189963,0.192540181983846,0.868573664993322,9.34288306028024
"GSM672801",10.49909703,11.79238513,8.296347212,8.905109108,8.008369145,0.371574994773838,0.327684810186517,8.02382338189715
"GSM672802",10.37931041,11.9466974,8.431318959,8.876988848,7.875115242,0.332560129055473,0.432854801128724,8.28030027764929
"GSM672803",10.58518067,11.74700781,8.715765799,9.142003346,7.978735688,0.329937202316189,0.440086575315182,8.29793632551338
"GSM672804",10.38901375,11.82298996,8.625594052,9.192094796,8.092948327,0.206701715923733,0.817919014969139,9.21935212453305
"GSM672805",10.40149368,11.8179803,8.406797398,8.740119703,7.86312974,0.360849462164716,0.3561891400345,8.09333657638742
"GSM672806",9.557981784,11.96963309,7.812289591,7.945713755,7.602376952,0.211739877450048,0.800398836506995,9.17662585875384
"GSM672807",10.60630929,12.48895316,8.579858364,8.934030483,8.285950558,0.262900796441358,0.634427920782062,8.77187441902363
"GSM672808",10.66433346,12.25859294,8.419263569,9.074196283,8.165575836,0.361858268201177,0.353496120862551,8.08676914026582
"GSM672809",10.39560743,11.85426952,8.481003346,9.162560223,8.313920074,0.16399966626529,0.978151636012353,9.6101096483782
"GSM672810",10.7218171,11.9097197,8.811955762,9.687145353,8.05742119,0.356800422797195,0.36702436249426,8.11976031377074
"GSM672811",10.45007435,11.89925465,8.71819145,9.254644238,8.290675465,0.143967679652492,1.06266177987847,9.81620360316669
"GSM672812",10.46318996,11.70109888,8.62324461,9.228067658,8.237660223,0.187054929849989,0.888801332371981,9.39221204938737
"GSM672813",10.54625725,11.86000874,8.871863197,9.313763941,8.375895167,0.128656302560047,1.13276582841623,9.98716557233242
"GSM672814",10.64563569,11.8217948,9.069464312,9.448824164,8.503986617,0.0972295868555003,1.29750009133346,10.3889012005141
"GSM672815",10.32191208,11.74211264,8.402105204,8.676886989,7.876136059,0.321337425579338,0.463962167510581,8.35616146859517
"GSM672816",9.656692193,11.68967509,7.750881041,8.038151301,7.546432714,0.288198250973454,0.558656017031308,8.58709031392751
"GSM672817",10.07056989,11.80505465,8.368715242,8.906881413,7.74390632,0.247908985007118,0.681084585585579,8.88565551235405
